NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BALIMELA,462.08,459.49,2.676,2.196,2016-10-27,82,71,69,-,360,18.2296614,82.0630683
BALIMELA,462.08,456.62,2.676,1.777,2020-12-16,66,85,74,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,452.66,2.676,1.259,2015-07-22,47,47,12,-,360,18.2296614,82.0630683
BALIMELA,462.08,461.89,2.676,2.638,2018-10-03,99,40,48,-,360,18.2296614,82.0630683
BALIMELA,462.08,446.41,2.676,0.588,2017-06-08,22,35,18,-,360,18.2296614,82.0630683
BALIMELA,462.08,449.76,2.676,0.921,2021-03-25,34,54,51,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,457.69,2.676,1.924,2020-02-06,72,73,54,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,451.13,2.676,1.073,2017-08-31,40,64,41,-,360,18.2296614,82.0630683
BALIMELA,462.08,453.88,2.676,1.419,2023-10-26,53.0,47.0,47.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,450.28,2.676,0.978,2016-05-11,37,52,18,-,360,18.2296614,82.0630683
BALIMELA,462.08,441.9,2.676,0.215,2018-05-30,8,25,13,-,360,18.2296614,82.0630683
BALIMELA,462.08,458.91,2.676,2.1,2016-12-21,78,68,61,-,360,18.2296614,82.0630683
BALIMELA,462.08,452.2,2.676,1.202,2021-11-25,45.0,71.0,67.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,441.41,2.676,0.179,2022-06-09,7.0,21.0,26.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,447.66,2.676,0.705,2022-08-18,26.0,23.0,43.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,451.35,2.676,1.099,2021-11-17,41.0,72.0,71.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,448.79,2.676,0.818,2022-08-25,31.0,25.0,48.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,448.64,2.676,0.805,2023-09-06,30.0,31.0,47.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,442.14,2.676,0.233,2018-05-23,9,29,14,-,360,18.2296614,82.0630683
BALIMELA,462.08,445.25,2.676,0.486,2020-07-22,18,9,21,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,457.47,2.676,1.894,2015-12-02,71,93,64,-,360,18.2296614,82.0630683
BALIMELA,462.08,455.07,2.676,1.572,2021-01-21,59,78,71,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,447.02,2.676,0.645,2021-08-05,24,17,29,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,457.14,2.676,1.847,2015-12-17,69,89,66,-,360,18.2296614,82.0630683
BALIMELA,462.08,450.65,2.676,1.019,2021-03-18,38,56,50,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,449.58,2.676,0.9,2017-08-24,34,63,34,-,360,18.2296614,82.0630683
BALIMELA,462.08,461.68,2.676,2.599,2018-10-11,97,45,46,-,360,18.2296614,82.0630683
BALIMELA,462.08,444.83,2.676,0.449,2023-05-04,17.0,15.0,39.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,452.78,2.676,1.274,2024-01-04,48.0,36.0,51.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,452.23,2.676,1.206,2016-07-27,45,47,16,-,360,18.2296614,82.0630683
BALIMELA,462.08,451.53,2.676,1.122,2016-07-13,42,49,13,-,360,18.2296614,82.0630683
BALIMELA,462.08,457.32,2.676,1.872,2020-09-24,70,87,67,0,360.0,18.2296614,82.0630683
BALIMELA,462.08,445.74,2.676,0.529,2020-07-09,20,12,15,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,454.18,2.676,1.458,2016-02-16,54,74,49,-,360,18.2296614,82.0630683
BALIMELA,462.08,453.97,2.676,1.431,2023-10-19,53.0,45.0,72.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,450.16,2.676,0.965,2016-05-04,36,54,25,-,360,18.2296614,82.0630683
BALIMELA,462.08,452.63,2.676,1.255,2019-04-10,47,14,28,-,360,18.2296614,82.0630683
BALIMELA,462.08,440.53,2.676,0.112,2022-06-22,4.0,22.0,21.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,459.21,2.676,2.149,2016-12-07,80,70,61,-,360,18.2296614,82.0630683
BALIMELA,462.08,453.21,2.676,1.331,2019-04-03,50,14,32,-,360,18.2296614,82.0630683
BALIMELA,462.08,466.29,2.676,0.577,2021-06-16,22,21,23,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,446.14,2.676,0.563,2021-06-03,21,24,24,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,450.89,2.676,1.045,2017-04-26,39,37,26,-,360,18.2296614,82.0630683
BALIMELA,462.08,453.73,2.676,1.4,2016-02-24,52,73,48,-,360,18.2296614,82.0630683
BALIMELA,462.08,446.84,2.676,0.628,2021-08-12,23,21,28,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,451.29,2.676,1.092,2024-03-14,41.0,22.0,34.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,450.74,2.676,1.034,2024-03-28,39.0,20.0,34.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,444.73,2.676,0.441,2017-06-21,16,36,17,-,360,18.2296614,82.0630683
BALIMELA,462.08,453.05,2.676,1.311,2023-12-21,49.0,39.0,54.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,452.51,2.676,1.239,2024-01-11,46.0,35.0,52.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,444.79,2.676,0.446,2023-05-11,17.0,13.0,34.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,453.36,2.676,1.35,2015-07-08,50,41,11,-,360,18.2296614,82.0630683
BALIMELA,462.08,457.05,2.676,1.834,2015-09-29,69,76,56,-,360,18.2296614,82.0630683
BALIMELA,462.08,458.49,2.676,2.036,2019-01-24,76,30,49,-,360,18.2296614,82.0630683
BALIMELA,462.08,454.15,2.676,1.455,2019-08-13,54,47,35,-,360,18.2296614,82.0630683
BALIMELA,462.08,453.09,2.676,1.313,2017-11-02,49,81,59,-,360,18.2296614,82.0630683
BALIMELA,462.08,452.69,2.676,1.263,2017-11-16,47,83,65,-,360,18.2296614,82.0630683
BALIMELA,462.08,450.04,2.676,0.951,2022-03-17,36.0,38.0,49.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,461.13,2.676,2.494,2019-11-20,93,88,68,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,448.61,2.676,0.801,2020-05-20,30,31,30,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,457.44,2.676,1.889,2015-10-28,71,99,64,-,360,18.2296614,82.0630683
BALIMELA,462.08,457.69,2.676,1.924,2015-10-14,72,89,65,-,360,18.2296614,82.0630683
BALIMELA,462.08,460.22,2.676,2.32,2018-12-12,87,44,55,-,360,18.2296614,82.0630683
BALIMELA,462.08,447.1,2.676,0.74,2024-04-25,28.0,17.0,17.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,444.98,2.676,0.462,2020-07-29,17,15,23,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,451.81,2.676,1.155,2022-11-17,43.0,45.0,71.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,454.61,2.676,1.513,2017-03-16,57,43,42,-,360,18.2296614,82.0630683
BALIMELA,462.08,456.16,2.676,1.715,2017-03-01,64,50,43,-,360,18.2296614,82.0630683
BALIMELA,462.08,457.32,2.676,1.872,2015-12-09,70,91,64,-,360,18.2296614,82.0630683
BALIMELA,462.08,452.54,2.676,1.21,2022-11-03,46.0,45.0,76.0,0,360.0,18.2296614,82.0630683
BALIMELA,462.08,453.42,2.676,1.358,2023-09-29,51.0,37.0,64.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,451.47,2.676,1.114,2022-01-06,42.0,62.0,66.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,451.53,2.676,1.122,2022-01-13,42.0,61.0,62.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,457.47,2.676,1.894,2020-09-30,71,93,70,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,450.98,2.676,1.055,2023-09-14,39.0,34.0,57.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,457.99,2.676,1.966,2020-10-14,73,98,77,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,458.42,2.676,2.024,2020-10-28,76,99,76,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,455.19,2.676,1.588,2019-03-18,59,16,40,-,360,18.2296614,82.0630683
BALIMELA,462.08,446.23,2.676,0.572,2021-05-26,21,27,20,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,448.82,2.676,0.821,2024-04-17,31.0,17.0,25.0,0.0,360.0,18.2296614,82.0630683
BALIMELA,462.08,460.25,2.676,2.325,2018-12-06,87,45,56,-,360,18.2296614,82.0630683
BALIMELA,462.08,457.84,2.676,1.945,2016-09-14,73,49,52,-,360,18.2296614,82.0630683
BALIMELA,462.08,457.75,2.676,1.932,2017-01-11,72,63,56,-,360,18.2296614,82.0630683
BALIMELA,462.08,456.16,2.676,1.715,2016-08-31,64,46,40,-,360,18.2296614,82.0630683
BALIMELA,462.08,458.69,2.676,2.065,2016-09-28,77,68,59,-,360,18.2296614,82.0630683
