NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BANSAGAR,341.64,341.58,5.166,5.166,2016-10-27,100,58,65,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,339.86,5.166,4.367,2020-12-17,85,90,75,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,336.23,5.166,2.93,2015-07-23,57,53,24,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,341.46,5.166,5.166,2018-10-04,100,75,75,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,335.47,5.166,2.665,2017-06-08,52,36,27,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,335.43,5.166,2.636,2021-03-25,51,74,59,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,339.49,5.166,4.204,2020-02-06,81,76,56,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,338.62,5.166,3.828,2017-08-31,74,98,65,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,340.83,5.166,4.807,2023-10-26,93.0,100.0,89.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,333.01,5.166,1.925,2016-05-12,37,61,27,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,334.03,5.166,2.224,2018-05-31,43,53,31,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,340.16,5.166,4.506,2016-12-22,87,51,56,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,339.61,5.166,4.258,2021-11-25,82.0,90.0,92.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,335.01,5.166,2.504,2022-06-09,48.0,39.0,50.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,334.78,5.166,2.436,2022-08-18,47.0,63.0,82.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,339.64,5.166,4.313,2021-11-18,83.0,90.0,87.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,338.28,5.166,3.665,2022-08-25,71.0,68.0,83.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,340.04,5.166,4.449,2023-09-06,86.0,87.0,86.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,334.13,5.166,2.252,2018-05-24,44,54,28,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,338.47,5.166,3.749,2020-07-23,73,53,45,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,335.93,5.166,2.823,2015-12-03,55,86,53,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,338.49,5.166,3.758,2021-01-21,73,84,69,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,335.89,5.166,2.804,2021-08-05,54,78,62,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,335.56,5.166,2.696,2015-12-17,52,84,51,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,335.7,5.166,2.735,2021-03-18,53,74,61,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,338.29,5.166,3.689,2017-08-24,71,94,62,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,341.19,5.166,5.046,2018-10-11,98,74,72,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,337.01,5.166,3.209,2023-05-04,62.0,53.0,52.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,339.19,5.166,4.068,2024-01-04,79.0,88.0,74.0,488.0,425.0,24.18925565,81.2871821733634
BANSAGAR,341.64,336.29,5.166,2.952,2016-07-28,57,58,32,488,425,24.18925565,81.2871821733634
BANSAGAR,341.64,334.77,5.166,2.438,2016-07-13,47,54,23,488,425,24.18925565,81.2871821733634
