NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BARGI,422.76,422.35,3.18,3.091,2016-10-27,97,87,89,157,90,22.59238445,79.189308180866
BARGI,422.76,421.8,3.18,2.954,2020-12-17,93,93,81,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,413.05,3.18,1.065,2015-07-23,33,34,34,157,90,22.59238445,79.189308180866
BARGI,422.76,421.8,3.18,2.954,2018-10-04,93,88,92,157,90,22.59238445,79.189308180866
BARGI,422.76,410.7,3.18,0.759,2017-06-08,24,28,14,157,90,22.59238445,79.189308180866
BARGI,422.76,418.25,3.18,2.005,2021-03-25,63,70,50,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,420.75,3.18,2.66,2020-02-06,84,58,61,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,418.9,3.18,2.148,2017-08-31,68,96,80,157,90,22.59238445,79.189308180866
BARGI,422.76,422.35,3.18,3.091,2023-10-26,97.0,100.0,95.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,413.7,3.18,1.15,2016-05-12,36,27,20,157,90,22.59238445,79.189308180866
BARGI,422.76,415.35,3.18,1.416,2018-05-31,45,26,18,157,90,22.59238445,79.189308180866
BARGI,422.76,419.75,3.18,2.38,2016-12-22,75,78,71,157,90,22.59238445,79.189308180866
BARGI,422.76,422.51,3.18,3.125,2021-11-25,98.0,97.0,88.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,413.48,3.18,1.117,2022-06-09,35.0,41.0,26.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,421.65,3.18,2.912,2022-08-18,92.0,71.0,83.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,422.5,3.18,3.125,2021-11-18,98.0,98.0,90.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,421.8,3.18,2.954,2022-08-25,93.0,78.0,87.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,421.75,3.18,2.941,2023-09-06,92.0,100.0,93.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,415.8,3.18,1.502,2018-05-24,47,27,20,157,90,22.59238445,79.189308180866
BARGI,422.76,414.9,3.18,1.334,2020-07-23,42,40,43,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,420.7,3.18,2.646,2015-12-02,83,89,79,157,90,22.59238445,79.189308180866
BARGI,422.76,420.6,3.18,2.618,2021-01-21,82,88,70,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,418.75,3.18,2.015,2021-08-05,63,44,64,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,420.3,3.18,2.534,2015-12-17,80,83,73,157,90,22.59238445,79.189308180866
BARGI,422.76,418.4,3.18,2.038,2021-03-18,64,70,52,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,418.05,3.18,1.961,2017-08-24,62,95,76,157,90,22.59238445,79.189308180866
BARGI,422.76,421.4,3.18,2.842,2018-10-11,89,88,92,157,90,22.59238445,79.189308180866
BARGI,422.76,416.65,3.18,1.67,2023-05-04,53.0,45.0,39.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,420.45,3.18,2.576,2023-12-28,81.0,94.0,83.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,418.85,3.18,2.137,2016-07-28,67,38,38,157,90,22.59238445,79.189308180866
BARGI,422.76,416.25,3.18,1.59,2016-07-14,50,31,19,157,90,22.59238445,79.189308180866
BARGI,422.76,422.8,3.18,3.18,2020-09-24,100,100,97,157,90.0,22.59238445,79.189308180866
BARGI,422.76,413.32,3.18,1.1,2020-07-09,35,40,25,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,417.95,3.18,1.939,2016-02-18,61,59,50,157,90,22.59238445,79.189308180866
BARGI,422.76,422.5,3.18,3.125,2023-10-19,98.0,100.0,96.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,414.25,3.18,1.23,2016-05-05,39,30,23,157,90,22.59238445,79.189308180866
BARGI,422.76,415.3,3.18,1.407,2019-04-11,44,60,40,157,90,22.59238445,79.189308180866
BARGI,422.76,412.85,3.18,1.037,2022-06-23,33.0,41.0,24.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,420.55,3.18,2.604,2016-12-08,82,82,76,157,90,22.59238445,79.189308180866
BARGI,422.76,415.5,3.18,1.445,2019-04-04,45,61,42,157,90,22.59238445,79.189308180866
BARGI,422.76,414.85,3.18,1.326,2021-06-17,42,31,22,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,415.05,3.18,1.36,2021-06-03,43,34,25,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,413.35,3.18,1.091,2017-04-27,34,42,28,157,90,22.59238445,79.189308180866
BARGI,422.76,417.6,3.18,1.866,2016-02-25,59,55,47,157,90,22.59238445,79.189308180866
BARGI,422.76,419.4,3.18,2.282,2021-08-12,72,52,80,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,417.32,3.18,1.803,2024-03-14,57.0,64.0,58.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,416.8,3.18,1.7,2024-03-28,53.0,61.0,55.0,157.0,90.0,22.59238445,79.189308180866
BARGI,422.76,409.95,3.18,0.669,2017-06-22,21,25,11,157,90,22.59238445,79.189308180866
BARGI,422.76,420.65,3.18,2.632,2023-12-21,83.0,95.0,85.0,157.0,90.0,22.59238445,79.189308180866
