NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BARNA DAM,348.55,347.8,0.456,0.404,2016-10-27,89,70,73,546,-,23.0524678,78.0640063
BARNA DAM,348.55,347.45,0.456,0.382,2020-12-17,84,89,62,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,343.39,0.456,0.155,2015-07-23,34,73,37,546,-,23.0524678,78.0640063
BARNA DAM,348.55,345.15,0.456,0.243,2018-10-04,53,57,82,546,-,23.0524678,78.0640063
BARNA DAM,348.55,342.62,0.456,0.126,2017-06-08,28,5,13,546,-,23.0524678,78.0640063
BARNA DAM,348.55,344.65,0.456,0.216,2021-03-25,47,54,22,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,346.71,0.456,0.336,2020-02-06,74,16,39,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,345.53,0.456,0.264,2017-08-31,58,100,77,546,-,23.0524678,78.0640063
BARNA DAM,348.55,347.12,0.456,0.362,2023-10-26,79.0,98.0,86.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,339.29,0.456,0.028,2016-05-12,6,23,14,546,-,23.0524678,78.0640063
BARNA DAM,348.55,339.17,0.456,0.025,2018-05-31,5,28,15,546,-,23.0524678,78.0640063
BARNA DAM,348.55,346.72,0.456,0.337,2016-12-22,74,50,52,546,-,23.0524678,78.0640063
BARNA DAM,348.55,347.19,0.456,0.366,2021-11-25,80.0,92.0,82.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,343.59,0.456,0.163,2022-06-05,36.0,41.0,22.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,347.25,0.456,0.37,2022-08-18,81.0,55.0,72.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,347.27,0.456,0.371,2021-11-18,81.0,94.0,84.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,347.65,0.456,0.395,2022-08-25,87.0,57.0,76.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,346.53,0.456,0.325,2023-09-06,71.0,95.0,88.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,339.3,0.456,0.028,2018-05-24,6,29,15,546,-,23.0524678,78.0640063
BARNA DAM,348.55,345.18,0.456,0.245,2020-07-23,54,2,41,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,345.77,0.456,0.278,2015-12-03,61,63,63,546,-,23.0524678,78.0640063
BARNA DAM,348.55,348.4,0.456,0.445,2022-11-10,8.0,81.0,84.0,546,0.0,23.0524678,78.0640063
BARNA DAM,348.55,346.66,0.456,0.333,2021-01-21,73,80,48,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,344.12,0.456,0.187,2021-08-05,41,50,63,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,345.05,0.456,0.237,2015-12-17,52,56,57,546,-,23.0524678,78.0640063
BARNA DAM,348.55,344.74,0.456,0.221,2021-03-18,48,54,23,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,345.03,0.456,0.236,2017-08-24,52,95,75,546,-,23.0524678,78.0640063
BARNA DAM,348.55,344.49,0.456,0.207,2018-10-11,45,51,79,546,-,23.0524678,78.0640063
BARNA DAM,348.55,345.14,0.456,0.242,2023-05-04,53.0,36.0,25.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,346.23,0.456,0.305,2024-01-04,67.0,85.0,66.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,347.3,0.456,0.373,2016-07-28,82,56,44,546,-,23.0524678,78.0640063
BARNA DAM,348.55,347.0,0.456,0.355,2016-07-13,78,23,24,546,-,23.0524678,78.0640063
BARNA DAM,348.55,348.58,0.456,0.456,2020-09-24,100,98,88,546,0.0,23.0524678,78.0640063
BARNA DAM,348.55,345.6,0.456,0.268,2020-07-07,59,0,22,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,341.7,0.456,0.096,2016-02-18,21,32,30,546,-,23.0524678,78.0640063
BARNA DAM,348.55,347.29,0.456,0.373,2023-10-19,82.0,100.0,87.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,339.32,0.456,0.028,2016-05-05,6,24,17,546,-,23.0524678,78.0640063
BARNA DAM,348.55,338.41,0.456,0.008,2019-04-11,2,9,21,546,-,23.0524678,78.0640063
BARNA DAM,348.55,343.17,0.456,0.146,2022-06-23,32.0,43.0,19.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,347.14,0.456,0.363,2016-12-08,80,58,60,546,-,23.0524678,78.0640063
BARNA DAM,348.55,338.41,0.456,0.008,2019-04-04,2,9,19,546,-,23.0524678,78.0640063
BARNA DAM,348.55,344.22,0.456,0.193,2021-06-17,42,48,17,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,344.09,0.456,0.186,2021-06-03,41,49,20,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,343.01,0.456,0.139,2017-04-27,30,7,17,546,-,23.0524678,78.0640063
BARNA DAM,348.55,341.08,0.456,0.076,2016-02-25,17,28,26,546,-,23.0524678,78.0640063
BARNA DAM,348.55,345.16,0.456,0.243,2021-08-12,53,51,74,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,344.4,0.456,0.202,2024-03-14,44.0,57.0,34.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,343.94,0.456,0.178,2024-03-28,39.0,55.0,31.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,342.54,0.456,0.124,2017-06-22,27,5,14,546,-,23.0524678,78.0640063
BARNA DAM,348.55,346.55,0.456,0.326,2023-12-21,71.0,89.0,71.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,346.18,0.456,0.302,2024-01-11,66.0,83.0,60.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,345.14,0.456,0.242,2023-05-11,53.0,35.0,24.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,341.89,0.456,0.102,2015-07-09,22,33,24,546,-,23.0524678,78.0640063
BARNA DAM,348.55,347.15,0.456,0.364,2015-09-29,80,88,82,546,-,23.0524678,78.0640063
BARNA DAM,348.55,341.75,0.456,0.097,2019-01-24,21,24,46,546,-,23.0524678,78.0640063
BARNA DAM,348.55,343.72,0.456,0.169,2019-08-14,37,27,64,546,-,23.0524678,78.0640063
BARNA DAM,348.55,344.88,0.456,0.228,2017-11-02,50,89,75,546,-,23.0524678,78.0640063
BARNA DAM,348.55,344.8,0.456,0.224,2017-11-16,49,88,72,546,-,23.0524678,78.0640063
BARNA DAM,348.55,344.12,0.456,0.188,2022-03-17,41.0,49.0,30.0,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,348.02,0.456,0.418,2019-11-21,92,43,74,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,344.89,0.456,0.229,2020-05-21,50,1,17,546.0,0.0,23.0524678,78.0640063
BARNA DAM,348.55,346.41,0.456,0.317,2015-10-28,70,69,73,546,-,23.0524678,78.0640063
