NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BARVI DAM,72.6,72.1,0.339,0.321,2023-10-26,95.0,95.0,71.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,61.35,0.339,0.117,2022-06-09,35.0,76.0,23.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,72.59,0.339,0.338,2022-08-18,100.0,40.0,59.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,72.44,0.339,0.333,2022-08-25,98.0,40.0,60.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,72.45,0.339,0.333,2023-09-06,98.0,99.0,72.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,71.,5.0,0.33,0.317,2022-11-10,4.0,3.0,67.0,0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,62.62,0.339,0.135,2023-05-04,40.0,44.0,32.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,69.74,0.339,0.26,2024-01-04,77.0,78.0,55.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,72.38,0.339,0.331,2023-10-19,98.0,96.0,71.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,60.56,0.339,0.107,2022-06-23,32.0,40.0,19.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,65.71,0.339,0.18,2024-03-14,53.0,54.0,39.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,64.79,0.339,0.166,2024-03-28,49.0,50.0,35.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,70.4,0.339,0.276,2023-12-20,81.0,83.0,61.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,69.38,0.339,0.251,2024-01-11,74.0,76.0,58.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,62.04,0.339,0.127,2023-05-11,37.0,42.0,25.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,66.93,0.339,0.198,2022-03-17,58.0,76.0,39.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,62.61,0.339,0.135,2024-04-25,40.0,42.0,31.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,71.72,0.339,0.31,2022-11-17,91.0,93.0,66.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,72.08,0.33,0.321,2022-11-03,5.0,3.0,68.0,0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,72.66,0.339,0.339,2023-09-27,100.0,97.0,73.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,68.6,0.339,0.233,2022-01-05,69.0,76.0,53.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,68.6,0.339,0.233,2022-01-12,69.0,76.0,52.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,72.36,0.339,0.33,2023-09-14,97.0,98.0,72.0,0.0,1.1,19.1881163,73.3362814
BARVI DAM,72.6,63.12,0.339,0.142,2024-04-18,42.0,44.0,32.0,0.0,1.1,19.1881163,73.3362814
