NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BHADAR,107.89,101.68,0.188,0.024,2016-10-27,13,79,76,27,-,23.5779856,77.9285465333822
BHADAR,107.89,107.57,0.188,0.173,2020-12-17,92,94,52,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,106.68,0.188,0.014,2015-07-22,7,19,35,27,-,23.5779856,77.9285465333822
BHADAR,107.89,105.12,0.188,0.09,2018-10-03,48,95,68,27,-,23.5779856,77.9285465333822
BHADAR,107.89,97.79,0.188,0.0,2017-06-08,0,6,12,27,-,23.5779856,77.9285465333822
BHADAR,107.89,105.22,0.188,0.092,2021-03-25,49,53,25,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,106.82,0.188,0.143,2020-02-06,76,14,26,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,106.36,0.188,0.128,2017-08-31,68,5,55,27,-,23.5779856,77.9285465333822
BHADAR,107.89,107.44,0.188,0.168,2023-10-26,89.0,98.0,76.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,101.22,0.188,0.018,2016-05-11,10,16,21,27,-,23.5779856,77.9285465333822
BHADAR,107.89,101.96,0.188,0.027,2018-05-31,14,1,13,27,-,23.5779856,77.9285465333822
BHADAR,107.89,101.01,0.188,0.016,2016-12-22,9,41,55,27,-,23.5779856,77.9285465333822
BHADAR,107.89,107.9,0.188,0.188,2021-11-25,100.0,99.0,55.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,103.7,0.188,0.056,2022-06-09,30.0,29.0,12.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,106.41,0.188,0.13,2022-08-18,69.0,22.0,41.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,107.9,0.188,0.188,2021-11-18,100.0,99.0,56.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,106.92,0.188,0.146,2022-08-25,78.0,29.0,48.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,107.62,0.188,0.176,2023-09-05,94.0,82.0,57.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,102.14,0.188,0.03,2018-05-24,16,1,15,27,-,23.5779856,77.9285465333822
BHADAR,107.89,104.18,0.188,0.066,2020-07-23,35,9,31,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,105.58,0.188,0.103,2015-11-30,55,38,69,27,-,23.5779856,77.9285465333822
BHADAR,107.8,107.68,0.188,0.17,2022-11-10,5.0,100.0,63.0,27,0.0,23.5779856,77.9285465333822
BHADAR,107.89,106.79,0.188,0.142,2021-01-21,76,82,40,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,103.14,0.188,0.044,2021-08-05,23,39,39,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,104.91,0.188,0.084,2015-12-17,45,35,61,27,-,23.5779856,77.9285465333822
BHADAR,107.89,105.31,0.188,0.095,2021-03-18,51,54,26,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,105.79,0.188,0.11,2017-08-24,59,5,51,27,-,23.5779856,77.9285465333822
BHADAR,107.89,104.94,0.188,0.084,2018-10-10,45,94,69,27,-,23.5779856,77.9285465333822
BHADAR,107.89,103.6,0.188,0.053,2023-05-04,28.0,46.0,22.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,105.93,0.188,0.114,2024-01-04,61.0,72.0,56.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,99.21,0.188,0.005,2016-07-28,3,8,35,27,-,23.5779856,77.9285465333822
BHADAR,107.89,99.49,0.188,0.006,2016-07-12,3,81,30,27,-,23.5779856,77.9285465333822
BHADAR,107.89,107.9,0.188,0.188,2020-09-24,100,100,63,27,0.0,23.5779856,77.9285465333822
BHADAR,107.89,103.81,0.188,0.058,2020-07-09,31,6,15,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,102.87,0.188,0.039,2016-02-18,21,27,34,27,-,23.5779856,77.9285465333822
BHADAR,107.89,107.5,0.188,0.171,2023-10-19,91.0,100.0,76.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,101.38,0.188,0.02,2016-05-04,11,16,22,27,-,23.5779856,77.9285465333822
BHADAR,107.89,100.77,0.188,0.014,2019-04-09,7,23,21,27,-,23.5779856,77.9285465333822
BHADAR,107.89,103.3,0.188,0.047,2022-06-23,25.0,23.0,13.0,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,101.19,0.188,0.018,2016-12-08,10,50,61,27,-,23.5779856,77.9285465333822
BHADAR,107.89,100.96,0.188,0.015,2019-04-03,8,24,22,27,-,23.5779856,77.9285465333822
BHADAR,107.89,103.26,0.188,0.046,2021-06-17,24,24,11,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,103.93,0.188,0.061,2021-06-03,32,28,13,27.0,0.0,23.5779856,77.9285465333822
BHADAR,107.89,99.24,0.188,0.005,2017-04-27,3,100,31,27,-,23.5779856,77.9285465333822
BHADAR,107.89,102.75,0.188,0.038,2016-02-25,20,26,31,27,-,23.5779856,77.9285465333822
