NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BHADRA,657.76,647.43,1.785,0.779,2016-10-27,44,62,91,106,39,29.1012943,75.1675355
BHADRA,657.76,655.73,1.785,1.555,2020-12-17,87,93,78,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,650.82,1.785,1.064,2015-07-22,60,56,61,106,39,29.1012943,75.1675355
BHADRA,657.76,657.45,1.785,1.749,2018-10-04,98,68,86,106,39,29.1012943,75.1675355
BHADRA,657.76,631.9,1.785,0.009,2017-06-08,1,6,22,106,39,29.1012943,75.1675355
BHADRA,657.76,648.97,1.785,0.901,2021-03-25,50,57,44,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,654.63,1.785,1.437,2020-02-06,81,71,67,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,649.99,1.785,0.988,2017-08-31,55,51,87,106,39,29.1012943,75.1675355
BHADRA,657.76,648.52,1.785,0.865,2023-10-26,48.0,99.0,88.0,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,637.87,1.785,0.21,2016-05-11,12,34,31,106,39,29.1012943,75.1675355
BHADRA,657.76,635.02,1.785,0.101,2018-05-30,6,0,20,106,39,29.1012943,75.1675355
BHADRA,657.76,645.02,1.785,0.605,2016-12-22,34,58,87,106,39,29.1012943,75.1675355
BHADRA,657.76,657.73,1.785,1.782,2021-11-25,100.0,90.0,79.0,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,646.99,1.785,0.746,2022-06-09,42.0,28.0,16.0,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,657.08,1.785,1.707,2022-08-18,96.0,98.0,83.0,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,657.76,1.785,1.785,2021-11-18,100.0,92.0,78.0,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,657.48,1.785,1.752,2022-08-25,98.0,98.0,82.0,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,650.67,1.785,1.048,2023-09-06,59.0,98.0,85.0,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,634.74,1.785,0.091,2018-05-23,5,0,22,106,39,29.1012943,75.1675355
BHADRA,657.76,647.88,1.785,0.844,2020-07-23,47,28,53,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,650.43,1.785,1.028,2015-12-02,58,90,91,106,39,29.1012943,75.1675355
BHADRA,657.76,654.84,1.785,1.459,2021-01-21,82,89,73,106.0,39.0,29.1012943,75.1675355
BHADRA,657.76,657.19,1.785,1.719,2021-08-05,96,49,63,106.0,39.0,29.1012943,75.1675355
