NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BHAMA ASKHED,671.5,671.36,0.217,0.216,2023-10-26,100.0,100.0,100.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,669.96,0.217,0.194,2023-09-06,89.0,97.0,96.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,661.43,0.217,0.091,2023-05-04,42.0,41.0,43.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,668.3,0.217,0.171,2024-01-04,79.0,86.0,88.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,671.66,0.217,0.217,2023-10-19,100.0,100.0,100.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,664.18,0.217,0.12,2024-03-14,55.0,65.0,70.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,662.12,0.217,0.098,2024-03-28,45.0,65.0,66.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,669.24,0.217,0.184,2023-12-21,85.0,90.0,92.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,667.78,0.217,0.164,2024-01-11,76.0,85.0,88.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,661.25,0.217,0.089,2023-05-11,41.0,39.0,39.0,29.007,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,657.44,0.217,0.058,2024-04-25,27.0,44.0,47.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,671.73,0.217,0.217,2023-09-29,100.0,100.0,100.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,671.22,0.217,0.213,2023-09-14,98.0,100.0,98.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,657.65,0.217,0.059,2024-04-18,27.0,45.0,50.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,666.72,0.217,0.217,2024-03-07,100.0,65.0,71.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,659.37,0.217,0.073,2023-07-13,34.0,55.0,47.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,658.56,0.217,0.066,2023-07-06,30.0,29.0,38.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,669.4,0.217,0.186,2023-08-24,86.0,97.0,94.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,657.44,0.217,0.057,2023-06-08,26.0,34.0,32.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,669.84,0.217,0.192,2023-08-31,88.0,96.0,95.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,667.17,0.217,0.156,2024-02-08,72.0,81.0,79.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,666.68,0.217,0.15,2024-02-22,69.0,81.0,77.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,657.05,0.217,0.055,2023-06-22,25.0,33.0,34.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,661.82,0.217,0.095,2023-04-27,44.0,47.0,45.0,29.01,0.0,18.8382955,73.725155
BHAMA ASKHED,671.5,655.09,0.217,0.042,2024-05-16,19.0,38.0,34.0,29.01,0.0,18.8382955,73.725155
