NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BHANDARDARA,342.5,342.5,0.304,0.304,2016-10-27,100,92,92,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,744.53,0.304,0.299,2020-12-17,98,99,78,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,338.81,0.304,0.129,2015-07-23,50,54,46,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2018-10-04,100,100,97,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,716.11,0.304,0.039,2017-06-08,13,1,10,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,739.62,0.304,0.214,2021-03-25,70,82,50,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.39,0.304,0.296,2020-02-06,97,40,68,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2017-08-30,100,95,94,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,744.48,0.304,0.298,2023-10-25,98.0,100.0,95.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,336.04,0.304,0.02,2016-05-12,23,33,35,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,725.2,0.304,0.082,2018-05-31,27,17,13,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,744.45,0.304,0.297,2016-12-21,98,29,78,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2021-11-24,100.0,99.0,85.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,724.74,0.304,0.079,2022-06-09,26.0,48.0,17.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2022-08-18,100.0,86.0,93.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.67,0.304,0.303,2021-11-18,100.0,100.0,86.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2022-08-25,100.0,88.0,94.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.18,0.304,0.29,2023-09-06,95.0,99.0,95.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,725.67,0.304,0.085,2018-05-23,28,21,16,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,731.88,0.304,0.132,2020-07-23,43,42,52,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,340.68,0.304,0.119,2015-12-03,73,80,85,70,-,19.5551306,73.7558419
BHANDARDARA,1,744.73,0.304,0.304,2022-11-10,100.0,100.0,86.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.36,0.304,0.295,2021-01-21,97,98,77,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,742.87,0.304,0.267,2021-08-05,88,51,80,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,340.05,0.304,0.091,2015-12-17,65,71,79,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,740.61,0.304,0.229,2021-03-18,75,84,54,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2017-08-23,100,95,92,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,744.33,0.304,0.294,2018-10-11,97,100,97,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,737.31,0.304,0.185,2023-05-03,61.0,48.0,32.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,737.24,0.304,0.184,2024-01-04,61.0,98.0,84.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,341.24,0.304,0.181,2016-07-28,81,54,54,70,-,19.5551306,73.7558419
BHANDARDARA,342.5,338.99,0.304,0.143,2016-07-13,52,51,40,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2020-09-24,100,100,100,64,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,727.6,0.304,0.098,2020-07-09,32,24,26,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,337.6,0.304,0.068,2016-02-18,37,44,52,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,744.73,0.304,0.304,2023-10-19,100.0,100.0,95.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,336.15,0.304,0.028,2016-05-05,24,34,36,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,715.47,0.304,0.037,2019-04-10,12,55,41,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,720.62,0.304,0.058,2022-06-23,19.0,47.0,16.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,342.5,341.38,0.304,0.299,2016-12-08,83,70,79,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,715.5,0.304,0.037,2019-04-04,12,60,45,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,732.84,0.304,0.14,2021-06-17,46,29,12,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,733.89,0.304,0.149,2021-06-03,49,32,14,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,729.81,0.304,0.116,2017-04-26,38,12,34,63.74,46,19.5551306,73.7558419
BHANDARDARA,342.5,337.32,0.304,0.068,2016-02-25,35,41,49,70,-,19.5551306,73.7558419
BHANDARDARA,744.91,742.91,0.304,0.267,2021-08-12,88,69,89,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,733.05,0.304,0.142,2024-03-14,47.0,94.0,63.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,732.98,0.304,0.141,2024-03-28,46.0,84.0,56.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,716.6,0.304,0.042,2017-06-21,14,1,9,63.74,46,19.5551306,73.7558419
BHANDARDARA,744.91,737.31,0.304,0.185,2023-12-19,61.0,99.0,81.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,737.21,0.304,0.184,2024-01-11,61.0,98.0,79.0,63.74,46.0,19.5551306,73.7558419
BHANDARDARA,744.91,736.18,0.304,0.173,2023-05-10,57.0,43.0,27.0,63.74,46.0,19.5551306,73.7558419
