NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BHATGHAR,623.28,622.97,0.673,0.656,2020-12-17,97,98,86,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,615.57,0.673,0.43,2021-03-25,64,66,46,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,619.17,0.673,0.536,2020-02-06,80,55,63,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.28,0.673,0.666,2023-10-19,99.0,99.0,95.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.07,0.673,0.659,2021-11-25,98.0,98.0,93.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,598.58,0.673,0.055,2022-06-09,8.0,6.0,7.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.28,0.673,0.666,2022-08-18,99.0,89.0,92.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.1,0.673,0.66,2021-11-18,98.0,99.0,94.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.28,0.673,0.666,2022-08-25,99.0,91.0,93.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,622.4,0.673,0.644,2023-09-06,96.0,99.0,94.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,608.89,0.673,0.251,2020-07-23,37,5,46,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,622.7,0.673,0.647,2021-01-21,96,93,70,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,619.93,0.673,0.56,2021-08-05,83,56,78,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,616.73,0.673,0.464,2021-03-18,69,69,49,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,603.89,0.673,0.144,2023-05-04,21.0,43.0,19.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,617.62,0.673,0.497,2024-01-04,74.0,94.0,74.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.28,0.673,0.666,2020-09-24,99,99,96,61,14.09,22.3578313,91.7843113
BHATGHAR,623.28,606.03,0.673,0.182,2020-07-09,27,5,21,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.28,0.673,0.666,2023-10-19,99.0,99.0,95.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,597.77,0.673,0.047,2022-06-23,7.0,13.0,11.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,597.83,0.673,0.047,2021-06-17,7,26,8,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,597.37,0.673,0.043,2021-06-03,6,27,8,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,620.75,0.673,0.585,2021-08-12,87,74,87,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,611.52,0.673,0.326,2024-03-14,48.0,51.0,48.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,607.36,0.673,0.221,2024-03-28,33.0,38.0,44.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,617.73,0.673,0.493,2023-12-21,73.0,97.0,85.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,616.57,0.673,0.459,2024-01-11,68.0,89.0,72.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,602.88,0.673,0.118,2023-05-11,18.0,36.0,15.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.22,0.673,0.664,2019-08-14,99,99,88,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,617.22,0.673,0.478,2022-03-17,71.0,69.0,51.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.15,0.673,0.661,2019-11-21,98,89,93,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,607.34,0.673,0.213,2020-05-21,32,5,9,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,599.99,0.673,0.072,2024-04-25,11.0,27.0,24.0,60.66,14.09,22.3578313,91.7843113
BHATGHAR,623.28,609.35,0.673,0.262,2020-07-30,39,5,59,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.22,0.673,0.664,2022-11-17,99.0,98.0,94.0,60.656,14.09,22.3578313,91.7843113
BHATGHAR,623.28,623.05,0.673,0.665,2023-09-29,99.0,99.0,96.0,60.66,14.09,22.3578313,91.7843113
