NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BHATSA,142.07,140.98,0.942,0.912,2016-10-26,97,80,92,29.378,15,19.3256654,73.1931999
BHATSA,142.07,136.6,0.942,0.798,2020-12-17,85,86,81,29.38,15.0,19.3256654,73.1931999
BHATSA,142.07,110.8,0.942,0.307,2015-07-15,33,26,46,29.378,15,19.3256654,73.1931999
BHATSA,142.07,139.8,0.942,0.88,2018-10-04,93,99,95,29.378,15,19.3256654,73.1931999
BHATSA,142.07,112.84,0.942,0.333,2017-06-08,35,30,30,29.378,15,19.3256654,73.1931999
BHATSA,142.07,123.9,0.942,0.519,2021-03-25,55,59,54,29.38,15.0,19.3256654,73.1931999
BHATSA,142.07,131.15,0.942,0.67,2020-02-06,71,60,64,29.378,15.0,19.3256654,73.1931999
BHATSA,142.07,140.37,0.942,0.895,2017-08-30,95,92,86,29.378,15,19.3256654,73.1931999
BHATSA,142.07,140.35,0.942,0.895,2023-10-26,95.0,99.0,94.0,29.38,15.0,19.3256654,73.1931999
BHATSA,142.07,113.33,0.942,0.34,2016-05-11,36,43,40,29.378,15,19.3256654,73.1931999
BHATSA,142.07,112.78,0.942,0.332,2018-05-31,35,37,32,29.378,15,19.3256654,73.1931999
BHATSA,142.07,135.56,0.942,0.773,2016-12-21,82,68,79,29.378,15,19.3256654,73.1931999
BHATSA,142.07,138.76,0.942,0.853,2021-11-25,91.0,91.0,87.0,29.378,15.0,19.3256654,73.1931999
BHATSA,142.07,112.4,0.942,0.326,2022-06-09,35.0,33.0,32.0,29.378,15.0,19.3256654,73.1931999
BHATSA,142.07,140.8,0.942,0.907,2022-08-18,96.0,86.0,86.0,29.378,15.0,19.3256654,73.1931999
BHATSA,142.07,139.3,0.942,0.867,2021-11-18,92.0,92.0,88.0,29.378,15.0,19.3256654,73.1931999
BHATSA,142.07,141.06,0.942,0.915,2022-08-25,97.0,90.0,89.0,29.378,15.0,19.3256654,73.1931999
BHATSA,142.07,139.45,0.942,0.871,2023-09-06,92.0,99.0,95.0,29.38,15.0,19.3256654,73.1931999
BHATSA,142.07,114.16,0.942,0.353,2018-05-23,37,39,34,29.378,15,19.3256654,73.1931999
BHATSA,142.07,120.72,0.942,0.461,2020-07-23,49,62,60,29.378,15.0,19.3256654,73.1931999
BHATSA,142.07,131.63,0.942,0.681,2015-12-02,72,83,86,29.378,15,19.3256654,73.1931999
