NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BHIMA(UJJANI),496.83,497.33,1.517,1.517,2016-10-26,100,14,83,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,497.18,1.517,1.517,2020-12-16,100,100,70,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,489.18,1.517,0.0,2015-07-22,0,0,26,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.8,1.517,1.505,2018-10-04,99,100,79,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,488.28,1.517,0.0,2017-06-08,0,0,3,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,494.69,1.517,0.861,2021-03-25,57,52,30,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.26,1.517,1.33,2020-02-06,88,24,54,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.9,1.517,1.517,2017-08-31,100,62,65,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,494.71,1.517,0.867,2023-10-26,57.0,100.0,88.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,486.54,1.517,0.0,2016-05-11,0,0,11,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.58,1.517,0.0,2018-05-31,0,0,3,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.79,1.517,1.504,2016-12-21,99,0,71,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,497.04,1.517,1.517,2021-11-25,100.0,100.0,74.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.65,1.517,0.0,2022-06-09,0.0,0.0,0.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.84,1.517,1.517,2022-08-17,100.0,62.0,52.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.83,1.517,1.517,2021-11-18,100.0,100.0,76.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.79,1.517,1.504,2022-08-25,99.0,62.0,63.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,492.36,1.517,0.28,2023-09-06,18.0,100.0,82.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,491.08,1.517,0.01,2018-05-24,1,0,4,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,491.14,1.517,0.022,2020-07-22,1,0,8,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.69,1.517,0.0,2015-12-02,0,81,86,125,12,18.0713009,75.1195389
BHIMA(UJJANI),4,7.33,1.517,1.517,2022-11-10,100.0,100.0,84.0,125,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.99,1.517,1.517,2021-01-21,100,98,67,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,494.73,1.517,0.872,2021-08-05,57,13,35,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.62,1.517,0.0,2015-12-17,0,79,83,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,495.01,1.517,0.952,2021-03-18,63,58,33,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,495.17,1.517,0.997,2017-08-24,66,61,57,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.77,1.517,1.497,2018-10-09,99,100,82,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,491.16,1.517,0.025,2023-05-04,2.0,23.0,6.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,492.09,1.517,0.221,2024-01-04,15.0,100.0,78.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,488.53,1.517,0.0,2016-07-27,0,0,26,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,486.96,1.517,0.0,2016-07-13,0,0,17,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,497.23,1.517,1.517,2020-09-24,100,100,80,125,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.2,1.517,0.0,2020-07-08,0,0,4,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,489.16,1.517,0.0,2016-02-17,0,48,59,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,494.83,1.517,0.9,2023-10-19,59.0,100.0,90.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,486.73,1.517,0.0,2016-05-04,0,0,16,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,488.66,1.517,0.0,2019-04-09,0,33,24,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.65,1.517,0.0,2022-06-23,0.0,0.0,0.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.98,1.517,1.517,2016-12-07,100,0,75,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,488.9,1.517,0.0,2019-04-04,0,38,27,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,489.63,1.517,0.0,2021-06-17,0,0,1,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.5,1.517,0.0,2021-06-03,0,0,1,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,491.06,1.517,0.005,2017-04-27,0,0,17,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,489.04,1.517,0.0,2016-02-24,0,42,55,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,494.99,1.517,0.946,2021-08-12,62,29,51,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,489.19,1.517,0.0,2024-03-14,0.0,57.0,47.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,487.83,1.517,0.0,2024-03-28,0.0,31.0,35.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,488.7,1.517,0.0,2017-06-22,0,0,5,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,492.47,1.517,0.304,2023-12-21,20.0,100.0,80.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,491.7,1.517,0.139,2024-01-11,9.0,100.0,77.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.75,1.517,0.0,2023-05-11,0.0,16.0,5.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,489.93,1.517,0.0,2015-07-08,0,0,20,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,491.34,1.517,0.062,2015-09-29,4,100,88,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,493.0,1.517,0.426,2019-01-23,28,90,64,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,496.83,1.517,1.517,2019-08-14,100,35,44,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,497.33,1.517,1.517,2017-11-02,100,100,82,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,497.33,1.517,1.517,2017-11-16,100,100,79,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,495.45,1.517,1.079,2022-03-17,71.0,36.0,34.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,497.33,1.517,1.517,2019-11-21,100,62,75,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,490.58,1.517,0.0,2020-05-21,0,0,5,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,492.01,1.517,0.202,2015-10-29,13,100,91,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,492.03,1.517,0.206,2015-10-14,14,100,91,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,494.25,1.517,0.74,2018-12-11,49,100,76,125,12,18.0713009,75.1195389
BHIMA(UJJANI),496.83,487.27,1.517,0.0,2024-04-25,0.0,6.0,11.0,125.0,12.0,18.0713009,75.1195389
BHIMA(UJJANI),496.83,491.78,1.517,0.155,2020-07-30,10,0,16,125.0,12.0,18.0713009,75.1195389
