NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
BRAHMANI(GUJ),64.62,63.67,0.071,0.044,2020-12-17,62,70,41,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,62.21,0.071,0.028,2021-03-25,39,48,17,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,63.38,0.071,0.04,2020-02-06,56,6,15,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,62.3,0.071,0.029,2023-10-26,41.0,27.0,44.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,60.62,0.071,0.016,2021-11-24,23.0,69.0,52.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,56.87,0.071,0.001,2022-06-09,1.0,27.0,10.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,60.29,0.071,0.013,2022-08-18,18.0,23.0,32.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,60.68,0.071,0.016,2021-11-17,23.0,70.0,54.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,60.44,0.071,0.014,2022-08-25,20.0,21.0,32.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,61.66,0.071,0.023,2023-09-06,32.0,23.0,38.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,61.14,0.071,0.019,2020-07-23,27,1,17,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,63.12,0.071,0.037,2021-01-21,52,61,30,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,60.87,0.071,0.017,2021-08-05,24,27,30,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,62.3,0.071,0.029,2021-03-18,41,48,17,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,60.74,0.071,0.016,2023-05-04,23.0,4.0,17.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,61.87,0.071,0.027,2024-01-04,38.0,20.0,32.0,6.413,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,64.62,0.071,0.056,2020-09-24,79,69,41,6,0.0,21.2778977,85.0278819
BRAHMANI(GUJ),64.62,61.16,0.071,0.019,2020-07-09,27,7,4,6.413,0.0,21.2778977,85.0278819
