NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
CHANDAN DAM,152.39,147.89,0.14,0.08,2023-10-26,59.56,61.03,50.0,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,152.43,0.14,0.14,2021-11-25,100.0,58.82,45.59,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,146.21,0.14,0.07,2022-06-09,52.21,46.32,31.62,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,134.45,0.14,0.01,2022-08-18,10.29,100.0,66.91,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,152.43,0.14,0.14,2021-11-18,100.0,58.82,47.06,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,133.87,0.14,0.01,2022-08-25,9.56,100.0,66.91,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,133.13,0.14,0.01,2023-09-06,9.56,13.97,52.94,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.3,148.22,0.14,0.08,2022-11-10,61.03,100.0,51.47,75.00,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,135.79,0.14,0.02,2023-05-04,14.71,53.68,33.09,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,144.93,0.14,0.05,2024-01-04,37.5,50.0,46.32,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,150.02,0.14,0.1,2023-10-19,70.59,61.76,55.88,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,146.0,0.14,0.07,2022-06-23,51.47,46.32,38.24,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,134.02,0.14,0.01,2024-03-14,9.56,19.12,23.53,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,133.14,0.14,0.01,2024-03-28,7.35,18.38,31.62,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,145.39,0.14,0.07,2023-12-21,47.79,60.29,55.88,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,144.75,0.14,0.04,2024-01-11,30.15,44.12,47.79,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,135.48,0.14,0.02,2023-05-11,13.24,52.94,26.47,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,147.83,0.14,0.08,2022-03-17,59.56,46.32,25.74,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,131.22,0.14,0.0,2024-04-25,2.94,15.44,30.15,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,148.22,0.14,0.08,2022-11-17,61.03,100.0,52.21,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.3,148.26,0.14,0.08,2022-11-03,61.03,4.85,52.0,4,75.0,18.2454718,75.5261242
CHANDAN DAM,152.39,144.05,0.14,0.06,2023-09-29,42.65,52.94,56.62,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,151.06,0.14,0.11,2022-01-06,78.68,46.32,41.91,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,150.24,0.14,0.1,2022-01-13,72.79,46.32,38.97,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,134.84,0.14,0.02,2023-09-14,11.76,32.35,51.47,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,131.7,0.14,0.01,2024-04-18,3.68,16.18,30.88,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,141.18,0.14,0.04,2023-02-09,31.62,66.91,37.5,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,136.17,0.14,0.02,2023-02-23,15.44,64.71,30.88,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,134.45,0.14,0.01,2024-03-07,10.29,19.85,24.26,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,142.52,0.14,0.05,2023-07-13,36.03,50.74,68.38,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,145.97,0.14,0.07,2022-06-30,51.47,46.32,44.12,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,142.37,0.14,0.05,2023-07-06,35.29,50.74,61.03,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,133.32,0.14,0.01,2023-08-24,8.09,9.56,66.91,75.0,0.0,18.2454718,75.5261242
CHANDAN DAM,152.39,148.1,0.14,0.08,2022-12-22,60.29,99.26,52.21,75.0,0.0,18.2454718,75.5261242
