NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
CHASKAMAN,649.53,649.15,0.215,0.208,2023-10-26,97.0,100.0,96.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,633.42,0.215,0.028,2022-06-08,13.0,76.0,13.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.214,2022-08-18,100.0,76.0,90.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.214,2022-08-25,100.0,76.0,92.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.39,0.215,0.212,2023-09-06,99.0,100.0,94.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,64,0.53,0.215,0.214,2022-11-10,100.0,76.0,2.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,636.66,0.215,0.051,2023-05-04,24.0,34.0,27.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,647.28,0.215,0.176,2024-01-04,82.0,89.0,74.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.17,0.215,0.208,2023-10-18,97.0,100.0,96.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,631.32,0.215,0.016,2022-06-23,7.0,76.0,14.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,640.47,0.215,0.086,2024-03-14,40.0,47.0,41.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,639.31,0.215,0.074,2024-03-28,34.0,40.0,38.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,648.47,0.215,0.196,2023-12-20,91.0,96.0,78.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,646.73,0.215,0.167,2024-01-11,78.0,86.0,73.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,635.51,0.215,0.042,2023-05-11,20.0,32.0,23.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,644.13,0.215,0.129,2022-03-17,60.0,76.0,44.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,580.46,0.215,0.03,2024-04-25,14.0,27.0,27.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.215,2022-11-17,100.0,76.0,91.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,64.0,0.53,0.215,0.214,2022-11-03,100.0,76.0,3.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.214,2023-09-27,100.0,100.0,96.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.39,0.215,0.212,2023-09-06,99.0,100.0,94.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,636.45,0.215,0.049,2024-04-18,23.0,31.0,31.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,645.37,0.215,0.147,2023-02-09,68.0,83.0,60.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,643.94,0.215,0.126,2023-02-23,59.0,74.0,53.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,640.79,0.215,0.089,2024-03-07,41.0,50.0,43.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,635.77,0.215,0.087,2023-07-13,40.0,68.0,40.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,631.37,0.215,0.016,2022-06-30,7.0,76.0,16.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,634.16,0.215,0.033,2023-07-06,15.0,8.0,22.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.214,2023-08-24,100.0,100.0,92.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.07,0.215,0.206,2022-12-22,96.0,76.0,76.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,638.61,0.215,0.068,2022-05-11,32.0,76.0,20.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,631.54,0.215,0.017,2023-06-08,8.0,13.0,14.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.214,2023-08-31,100.0,100.0,95.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,64,0.53,0.215,0.214,2022-10-27,100.0,76.0,3,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,644.1,0.215,0.129,2024-02-08,60.0,68.0,62.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,642.54,0.215,0.109,2024-02-22,51.0,59.0,55.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,631.42,0.215,0.017,2023-06-22,8.0,7.0,14.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,637.65,0.215,0.059,2023-04-27,27.0,39.0,30.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.21,0.215,0.209,2022-12-08,97.0,76.0,82.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,646.25,0.215,0.16,2022-02-22,74.0,76.0,51.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,639.75,0.215,0.074,2022-05-05,34.0,76.0,24.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.3,0.215,0.211,2022-07-28,98.0,76.0,62.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,645.4,0.215,0.147,2022-07-14,68.0,76.0,35.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,631.0,0.215,0.017,2024-05-16,8.0,15.0,15.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,634.78,0.215,0.037,2024-05-01,17.0,24.0,22.0,55.21,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.214,2022-10-20,100.0,76.0,93.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,649.53,0.215,0.214,2022-09-15,100.0,76.0,93.0,55.214,3.0,18.9607567,73.7854046
CHASKAMAN,649.53,647.8,0.215,0.184,2023-01-12,86.0,76.0,71.0,55.21,3.0,18.9607567,73.7854046
