NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DAMANGANGA,79.86,80.05,0.502,0.486,2016-10-26,97,89,98,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,78.4,0.502,0.411,2020-12-17,82,85,82,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,72.75,0.502,0.203,2015-07-23,40,19,27,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,78.1,0.502,0.398,2018-10-04,79,96,96,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,66.3,0.502,0.055,2017-06-08,11,11,12,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,73.45,0.502,0.225,2021-03-25,45,49,44,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,76.85,0.502,0.346,2020-02-06,69,43,66,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,75.2,0.502,0.284,2017-08-31,57,67,64,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,79.86,0.502,0.478,2023-10-26,95.0,95.0,93.0,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,68.15,0.502,0.088,2016-05-12,18,20,41,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,69.3,0.502,0.112,2018-05-30,22,13,17,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,78.35,0.502,0.409,2016-12-20,81,80,87,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,79.55,0.502,0.463,2021-11-24,92.0,90.0,88.0,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,70.1,0.502,0.131,2022-06-08,26.0,19.0,21.0,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,74.15,0.502,0.247,2022-08-18,49.0,55.0,57.0,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,79.65,0.502,0.468,2021-11-17,93.0,91.0,91.0,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,75.55,0.502,0.296,2022-08-25,59.0,64.0,61.0,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,76.75,0.502,0.342,2023-09-06,68.0,76.0,73.0,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,69.6,0.502,0.119,2018-05-24,24,14,25,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,72.2,0.502,0.187,2020-07-23,37,40,34,51.0,1.0,20.3161771,72.8311695
DAMANGANGA,79.86,78.85,0.502,0.431,2015-12-03,86,81,92,51,1,20.3161771,72.8311695
DAMANGANGA,79.86,77.05,0.502,0.354,2021-01-20,71,73,70,51.0,1.0,20.3161771,72.8311695
