NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DANTIWADA,184.1,175.4,0.399,0.137,2016-10-27,34,83,50,45,-,24.3239388,72.3255763
DANTIWADA,184.1,177.19,0.399,0.179,2020-12-17,45,26,34,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,165.9,0.399,0.015,2015-07-22,4,1,8,45,-,24.3239388,72.3255763
DANTIWADA,184.1,172.26,0.399,0.077,2018-10-03,19,97,45,45,-,24.3239388,72.3255763
DANTIWADA,184.1,162.73,0.399,0.002,2017-06-08,1,2,1,45,-,24.3239388,72.3255763
DANTIWADA,184.1,168.93,0.399,0.036,2021-03-25,9,3,10,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,168.38,0.399,0.031,2020-02-06,8,8,18,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,183.48,0.399,0.369,2017-08-31,92,24,29,45,-,24.3239388,72.3255763
DANTIWADA,184.1,184.01,0.399,0.384,2023-10-26,96.0,92.0,49.0,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,164.09,0.399,0.009,2016-05-11,2,1,2,45,-,24.3239388,72.3255763
DANTIWADA,184.1,171.5,0.399,0.066,2018-05-31,17,1,1,45,-,24.3239388,72.3255763
DANTIWADA,184.1,170.98,0.399,0.059,2016-12-22,15,58,32,45,-,24.3239388,72.3255763
DANTIWADA,184.1,170.09,0.399,0.048,2021-11-25,12.0,54.0,43.0,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,167.76,0.399,0.026,2022-06-09,7.0,8.0,4.0,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,179.01,0.399,0.229,2022-08-18,57.0,7.0,28.0,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,170.12,0.399,0.049,2021-11-18,12.0,57.0,46.0,45.0,0.0,24.3239388,72.3255763
DANTIWADA,184.1,183.48,0.399,0.366,2022-08-25,92.0,7.0,29.0,45.0,0.0,24.3239388,72.3255763
