NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DARNA DAM,571.5,571.41,0.202,0.2,2023-10-26,99.0,100.0,71.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,570.66,0.202,0.179,2023-09-06,89.0,100.0,72.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,569.11,0.202,0.138,2023-05-04,68.0,49.0,33.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.07,0.202,0.112,2024-01-04,55.0,64.0,55.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.45,0.202,0.202,2023-10-19,100.0,100.0,71.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.58,0.202,0.056,2024-03-14,28.0,64.0,39.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.09,0.202,0.05,2024-03-28,25.0,64.0,35.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.51,0.202,0.123,2023-12-21,61.0,96.0,61.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.07,0.202,0.112,2024-01-11,55.0,85.0,58.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.83,0.202,0.131,2023-05-11,65.0,47.0,28.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,563.8,0.202,0.046,2024-04-25,23.0,67.0,31.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.5,0.202,0.202,2023-09-29,100.0,100.0,73.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.29,0.202,0.197,2023-09-14,98.0,100.0,72.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,563.94,0.202,0.048,2024-04-18,24.0,66.0,32.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,565.02,0.202,0.063,2024-03-07,31.0,84.0,40.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,567.78,0.202,0.107,2023-07-13,53.0,66.0,53.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,565.71,0.202,0.072,2023-07-06,36.0,22.0,35.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.04,0.202,0.19,2023-08-24,94.0,97.0,88.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,565.21,0.202,0.065,2023-06-08,32.0,22.0,18.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.2,0.202,0.194,2023-08-31,96.0,97.0,69.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,567.54,0.202,0.103,2024-02-08,51.0,84.0,50.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,566.68,0.202,0.088,2024-02-22,44.0,84.0,49.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,562.72,0.202,0.034,2023-06-22,17.0,16.0,16.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.98,0.202,0.135,2023-04-27,67.0,49.0,36.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.06,0.202,0.05,2024-05-16,25.0,56.0,26.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,563.89,0.202,0.047,2024-05-02,23.0,68.0,34.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.36,0.202,0.199,2023-11-02,99.0,100.0,70.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.23,0.202,0.195,2023-11-16,97.0,99.0,68.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,561.89,0.202,0.026,2023-06-30,13.0,14.0,24.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.86,0.202,0.133,2023-04-20,66.0,53.0,38.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.21,0.202,0.052,2024-05-09,26.0,65.0,32.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,569.37,0.202,0.145,2023-11-30,72.0,98.0,68.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.9,0.202,0.129,2023-03-30,64.0,69.0,44.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,570.98,0.202,0.188,2023-08-10,93.0,86.0,79.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.06,0.202,0.05,2023-06-15,25.0,19.0,16.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,565.68,0.202,0.071,2023-06-01,35.0,33.0,22.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,566.01,0.202,0.076,2024-02-29,38.0,84.0,42.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,567.08,0.202,0.095,2024-02-15,47.0,84.0,48.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,567.59,0.202,0.104,2024-02-01,51.0,84.0,49.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,569.0,0.202,0.132,2023-04-06,65.0,63.0,42.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.92,0.202,0.131,2023-04-13,65.0,57.0,41.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,570.59,0.202,0.177,2023-08-03,88.0,74.0,78.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.04,0.202,0.19,2023-08-17,94.0,97.0,86.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.2,0.202,0.194,2023-11-23,96.0,99.0,67.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,562.26,0.202,0.03,2024-05-30,15.0,45.0,29.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,563.95,0.202,0.049,2024-05-24,24.0,45.0,23.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.27,0.202,0.196,2023-11-09,97.0,100.0,69.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,557.78,0.202,0.007,2024-06-13,3.0,25.0,20.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.5,0.202,0.202,2023-10-12,100.0,100.0,74.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,558.09,0.202,0.009,2024-06-06,4.0,32.0,21.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,566.82,0.202,0.09,2023-05-25,45.0,34.0,25.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,567.73,0.202,0.106,2024-01-25,52.0,85.0,55.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,569.09,0.202,0.138,2023-07-20,68.0,67.0,64.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.5,0.202,0.202,2023-10-05,100.0,100.0,74.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.2,0.202,0.052,2024-03-21,26.0,64.0,37.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.13,0.202,0.113,2023-12-28,56.0,95.0,59.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,569.4,0.202,0.146,2023-12-07,72.0,97.0,65.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,567.76,0.202,0.107,2024-01-18,53.0,85.0,52.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,568.15,0.202,0.113,2023-05-18,56.0,41.0,27.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.06,0.202,0.05,2024-04-04,25.0,65.0,36.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,571.5,0.202,0.202,2023-09-21,100.0,100.0,75.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,569.4,0.202,0.146,2023-12-07,72.0,97.0,67.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,569.87,0.202,0.158,2023-07-27,78.0,72.0,75.0,87.0,0.0,19.7394692,73.6697073
DARNA DAM,571.5,564.03,0.202,0.049,2024-04-12,24.0,66.0,38.0,87.0,0.0,19.7394692,73.6697073
