NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DHOM,747.7,747.65,0.331,0.33,2016-10-26,100,54,88,36.2,2,,
DHOM,747.7,745.45,0.331,0.281,2020-12-17,85,91,74,36.2,2.0,,
DHOM,747.7,735.6,0.331,0.157,2015-07-22,47,21,45,36.2,2,,
DHOM,747.7,745.7,0.331,0.287,2018-10-03,87,95,88,36.2,2,,
DHOM,747.7,730.42,0.331,0.042,2017-06-08,13,9,20,36.2,2,,
DHOM,747.7,741.31,0.331,0.199,2021-03-25,60,61,41,36.2,2.0,,
DHOM,747.7,743.65,0.331,0.243,2020-02-05,73,40,49,36.2,2.0,,
DHOM,747.7,744.9,0.331,0.32,2017-08-30,97,100,81,36.2,2,,
DHOM,747.7,744.61,0.331,0.331,2023-10-26,100.0,100.0,92.0,36.2,2.0,,
DHOM,747.7,730.7,0.331,0.096,2016-05-11,29,40,32,36.2,2,,
DHOM,747.7,731.86,0.331,0.057,2018-05-31,17,16,21,36.2,2,,
DHOM,747.7,743.22,0.331,0.286,2016-12-21,86,45,69,36.2,2,,
DHOM,747.7,745.09,0.331,0.273,2021-11-25,82.0,96.0,85.0,36.2,2.0,,
DHOM,747.7,734.9,0.331,0.095,2022-06-09,29.0,27.0,16.0,36.2,2.0,,
DHOM,747.7,746.55,0.331,0.305,2022-08-18,92.0,85.0,80.0,36.2,2.0,,
DHOM,747.7,745.56,0.331,0.283,2021-11-18,85.0,99.0,86.0,36.2,2.0,,
DHOM,747.7,747.02,0.331,0.315,2022-08-25,95.0,86.0,82.0,36.2,2.0,,
DHOM,747.7,744.2,0.331,0.254,2023-09-06,77.0,95.0,88.0,36.2,2.0,,
DHOM,747.7,732.88,0.331,0.069,2018-05-23,21,20,24,36.2,2,,
DHOM,747.7,737.5,0.331,0.135,2020-07-23,41,27,44,36.2,2.0,,
DHOM,747.7,737.46,0.331,0.185,2015-12-02,56,86,81,36.2,2,,
DHOM,747.70,747.67,0.331,0.33,2022-11-10,100.0,0.0,87.0,36.2,2.0,,
DHOM,747.7,744.97,0.331,0.27,2021-01-21,82,79,63,36.2,2.0,,
DHOM,747.7,744.3,0.331,0.256,2021-08-05,77,47,71,36.2,2.0,,
DHOM,747.7,735.67,0.331,0.158,2015-12-17,48,82,75,36.2,2,,
DHOM,747.7,742.3,0.331,0.217,2021-03-18,66,66,47,36.2,2.0,,
DHOM,747.7,743.48,0.331,0.24,2017-08-23,73,100,79,36.2,2,,
DHOM,747.7,745.67,0.331,0.285,2018-10-09,86,96,89,36.2,2,,
DHOM,747.7,736.88,0.331,0.125,2023-05-04,38.0,40.0,32.0,36.2,2.0,,
DHOM,747.7,741.27,0.331,0.198,2024-01-04,60.0,82.0,74.0,36.2,2.0,,
DHOM,747.7,737.01,0.331,0.177,2016-07-27,53,53,52,36.2,2,,
DHOM,747.7,735.08,0.331,0.149,2016-07-13,45,44,34,36.2,2,,
DHOM,747.7,747.4,0.331,0.324,2020-09-24,98,100,89,36,2.0,,
DHOM,747.7,736.12,0.331,0.113,2020-07-07,34,5,21,36.2,2.0,,
DHOM,747.7,733.39,0.331,0.126,2016-02-17,38,67,50,36.2,2,,
DHOM,747.7,744.39,0.331,0.258,2023-10-19,78.0,100.0,92.0,36.2,2.0,,
DHOM,747.7,731.53,0.331,0.105,2016-05-04,32,59,36,36.2,2,,
DHOM,747.7,733.21,0.331,0.073,2019-04-04,22,44,36,36.2,2,,
DHOM,747.7,733.26,0.331,0.073,2022-06-23,22.0,34.0,19.0,36.2,2.0,,
DHOM,747.7,744.59,0.331,0.314,2016-12-07,95,53,76,36.2,2,,
