NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DIMBHE DAM,719.15,718.63,0.354,0.346,2023-10-26,98.0,100.0,94.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,688.6,0.354,0.023,2022-06-08,6.0,23.0,8.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,718.21,0.354,0.338,2022-08-18,95.0,28.0,80.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,718.44,0.354,0.342,2022-08-25,97.0,28.0,83.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,717.41,0.354,0.325,2023-09-06,92.0,100.0,94.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,71,0.15,0.354,0.354,2022-11-10,100.0,28.0,84.0,52.56,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,699.56,0.354,0.099,2023-05-04,28.0,16.0,19.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,715.56,0.354,0.294,2024-01-04,83.0,91.0,76.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,718.75,0.354,0.348,2023-10-19,98.0,100.0,95.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,688.01,0.354,0.02,2022-06-23,6.0,33.0,9.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,707.16,0.354,0.177,2024-03-14,50.0,56.0,48.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,407.0,0.354,0.142,2024-03-28,40.0,47.0,42.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,717.65,0.354,0.329,2023-12-21,93.0,100.0,86.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,714.52,0.354,0.279,2024-01-11,79.0,87.0,73.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,697.86,0.354,0.084,2023-05-11,24.0,14.0,16.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,705.92,0.354,0.162,2022-03-17,46.0,58.0,43.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,697.32,0.354,0.079,2024-04-25,22.0,32.0,26.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.15,0.354,0.354,2022-11-17,100.0,28.0,82.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,71.0,0.15,0.354,0.354,2022-11-03,100.0,28.0,85.0,52.56,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.15,0.354,0.354,2023-09-27,100.0,100.0,95.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,716.68,0.354,0.312,2022-01-06,88.0,94.0,76.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,716.68,0.354,0.312,2022-01-06,88.0,94.0,76.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,717.41,0.354,0.325,2023-09-06,92.0,100.0,94.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,699.19,0.354,0.095,2024-04-18,27.0,36.0,30.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,712.58,0.354,0.25,2023-02-09,71.0,63.0,58.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,711.73,0.354,0.238,2023-02-23,67.0,56.0,52.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,708.52,0.354,0.194,2024-03-07,55.0,61.0,51.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,691.94,0.354,0.042,2023-07-13,12.0,34.0,26.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,687.57,0.354,0.017,2022-06-30,5.0,28.0,10.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,689.63,0.354,0.028,2023-07-06,8.0,6.0,15.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,716.95,0.354,0.317,2023-08-24,90.0,97.0,86.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.15,0.354,0.354,2022-12-22,100.0,88.0,82.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,693.07,0.354,0.049,2022-05-12,14.0,36.0,15.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,692.14,0.354,0.043,2023-06-08,12.0,6.0,8.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,717.84,0.354,0.332,2023-08-31,94.0,97.0,93.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,71,0.15,0.354,0.354,2022-10-27,100.0,28.0,86,52.56,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,711.87,0.354,0.24,2024-02-08,68.0,71.0,62.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,711.22,0.354,0.23,2024-02-22,65.0,67.0,56.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,689.14,0.354,0.026,2023-06-22,7.0,6.0,8.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,701.18,0.354,0.114,2023-04-27,32.0,19.0,23.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.15,0.354,0.354,2022-12-08,100.0,88.0,87.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,708.91,0.354,0.199,2022-02-24,56.0,73.0,52.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,694.39,0.354,0.058,2022-05-05,16.0,37.0,19.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,714.68,0.354,0.281,2022-07-28,79.0,28.0,50.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,702.0,0.354,0.122,2022-07-14,34.0,28.0,25.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,691.07,0.354,0.037,2024-05-16,10.0,20.0,16.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,695.68,0.354,0.066,2024-05-01,19.0,28.0,23.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.45,0.354,0.354,2022-10-20,100.0,28.0,87.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.15,0.354,0.354,2022-09-15,100.0,28.0,85.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,716.32,0.354,0.307,2023-01-12,87.0,88.0,71.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,718.5,0.354,0.344,2022-09-01,97.0,28.0,84.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.15,0.354,0.354,2022-09-29,100.0,28.0,87.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,708.99,0.354,0.2,2023-03-16,56.0,46.0,44.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,711.07,0.354,0.228,2023-03-02,64.0,53.0,49.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,718.47,0.354,0.343,2023-11-02,97.0,100.0,94.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,718.25,0.354,0.339,2023-11-16,96.0,100.0,91.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,717.2,0.354,0.321,2023-01-05,91.0,88.0,77.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,688.44,0.354,0.022,2022-07-07,6.0,28.0,16.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,687.71,0.354,0.019,2023-06-30,5.0,5.0,11.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,702.5,0.354,0.126,2023-04-20,36.0,24.0,27.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,692.72,0.354,0.048,2024-05-09,14.0,24.0,18.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,719.15,0.354,0.354,2022-10-13,100.0,28.0,88.0,52.569,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,718.08,0.354,0.336,2023-11-30,95.0,100.0,82.0,52.57,5.0,19.096012,73.7440799
DIMBHE DAM,719.15,690.58,0.354,0.034,2022-05-26,10.0,30.0,11.0,52.569,5.0,19.096012,73.7440799
