NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DONKARAYI,316.08,311.32,0.376,0.258,2023-10-26,69.0,53.0,90.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,315.62,0.376,0.363,2022-06-09,97.0,97.0,62.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.59,0.376,0.243,2022-08-18,65.0,98.0,88.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.84,0.376,0.247,2022-08-25,66.0,97.0,92.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.57,0.376,0.287,2023-09-06,76.0,60.0,89.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,307.7,0.376,0.1,0.0,2022-11-10,51.0,8.0,2.0,0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,299.86,0.376,0.08,2023-05-04,21.0,93.0,62.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.42,0.376,0.283,2024-01-04,75.0,88.0,76.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,311.6,0.376,0.264,2023-10-19,70.0,63.0,91.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.04,0.376,0.32,2022-06-23,85.0,88.0,64.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.43,0.376,0.331,2024-03-14,88.0,41.0,59.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,313.24,0.376,0.302,2024-03-28,80.0,38.0,55.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.85,0.376,0.293,2023-12-21,78.0,61.0,78.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.76,0.376,0.291,2024-01-10,77.0,92.0,75.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,300.14,0.376,0.083,2023-05-11,22.0,87.0,63.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.79,0.376,0.208,2024-04-25,55.0,22.0,56.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.98,0.376,0.212,2022-11-17,56.0,95.0,92.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,306.2,0.376,0.166,2022-11-03,44.0,7.0,1.0,0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,315.19,0.376,0.352,2023-09-29,94.0,75.0,93.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,315.26,0.376,0.354,2023-09-14,94.0,65.0,91.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.12,0.376,0.196,2024-04-18,52.0,23.0,53.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.39,0.376,0.282,2023-02-09,75.0,83.0,70.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.32,0.376,0.237,2023-02-23,63.0,80.0,68.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,315.25,0.376,0.354,2024-03-07,94.0,48.0,62.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,297.64,0.376,0.056,2023-07-13,15.0,61.0,66.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.08,0.376,0.276,2022-06-30,73.0,86.0,64.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,298.49,0.376,0.065,2023-07-06,17.0,62.0,63.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.97,0.376,0.25,2023-08-24,66.0,66.0,89.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.53,0.376,0.242,2022-12-22,64.0,75.0,81.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,298.0,0.376,0.06,2023-06-08,16.0,78.0,62.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.51,0.376,0.285,2023-08-31,76.0,62.0,90.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,4,0.376,0.1,2.0,2022-10-27,51.0,5.0,3,0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.48,0.376,0.327,2024-02-08,87.0,76.0,71.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.98,0.376,0.346,2024-02-21,92.0,67.0,68.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,297.39,0.376,0.054,2023-06-22,14.0,87.0,66.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,300.26,0.376,0.085,2023-04-27,23.0,90.0,62.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,306.32,0.376,0.166,2022-12-08,44.0,84.0,87.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.77,0.376,0.246,2022-07-28,65.0,97.0,78.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,309.92,0.376,0.23,2022-07-14,61.0,90.0,68.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.92,0.376,0.211,2024-05-16,56.0,20.0,60.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,309.65,0.376,0.225,2024-05-01,60.0,21.0,56.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,309.95,0.376,0.23,2022-10-20,61.0,96.0,93.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.74,0.376,0.246,2022-09-15,65.0,98.0,95.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.98,0.376,0.346,2023-01-12,92.0,81.0,73.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.07,0.376,0.234,2022-09-01,62.0,96.0,93.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.36,0.376,0.282,2022-09-29,75.0,97.0,95.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,305.56,0.376,0.154,2023-03-16,41.0,80.0,62.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.49,0.376,0.203,2023-03-02,54.0,80.0,67.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,311.2,0.376,0.255,2023-11-02,68.0,44.0,90.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,311.6,0.376,0.264,2023-11-16,70.0,56.0,88.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.71,0.376,0.339,2023-01-05,90.0,82.0,75.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,309.71,0.376,0.226,2022-07-07,60.0,89.0,64.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,298.43,0.376,0.064,2023-06-30,17.0,73.0,64.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,299.8,0.376,0.08,2023-04-20,21.0,85.0,60.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,309.59,0.376,0.224,2024-05-09,60.0,23.0,58.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,311.29,0.376,0.257,2022-10-13,68.0,95.0,94.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.27,0.376,0.28,2023-11-30,74.0,50.0,86.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,304.56,0.376,0.139,2023-03-31,37.0,73.0,59.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,309.8,0.376,0.228,2023-08-10,61.0,60.0,79.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,297.52,0.376,0.055,2023-06-15,15.0,88.0,65.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,298.52,0.376,0.065,2023-06-01,17.0,67.0,60.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,315.01,0.376,0.347,2024-02-29,92.0,55.0,66.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.92,0.376,0.344,2024-02-15,91.0,74.0,70.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.67,0.376,0.335,2024-02-01,89.0,83.0,74.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,303.49,0.376,0.125,2023-04-06,33.0,76.0,58.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.33,0.376,0.281,2022-12-29,75.0,78.0,78.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,307.54,0.376,0.186,2022-12-01,49.0,89.0,89.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,306.93,0.376,0.176,2022-12-15,47.0,80.0,84.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,301.75,0.376,0.102,2023-04-13,27.0,82.0,59.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.38,0.376,0.239,2022-07-20,64.0,89.0,70.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,307.7,0.376,0.188,2023-08-03,50.0,58.0,76.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.04,0.376,0.232,2023-08-17,62.0,65.0,84.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,309.34,0.376,0.219,2022-09-08,58.0,92.0,92.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,304.86,0.376,0.143,2023-03-23,38.0,77.0,60.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,311.35,0.376,0.259,2023-11-23,69.0,54.0,88.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,305.07,0.376,0.147,2024-05-28,39.0,17.0,59.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,306.96,0.376,0.176,2024-05-21,47.0,19.0,60.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.93,0.376,0.249,2023-11-08,66.0,48.0,89.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,306.66,0.376,0.172,2023-03-09,46.0,80.0,65.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.68,0.376,0.338,2023-01-19,90.0,82.0,72.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.28,0.376,0.327,2023-01-25,87.0,82.0,71.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,311.99,0.376,0.273,2022-09-22,73.0,97.0,96.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.26,0.376,0.236,2024-06-13,63.0,15.0,63.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.7,0.376,0.207,2022-11-24,55.0,92.0,91.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,310.26,0.376,0.236,2022-08-11,63.0,96.0,83.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.98,0.376,0.212,2022-08-04,56.0,94.0,80.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.94,0.376,0.295,2023-10-11,78.0,70.0,91.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,308.52,0.376,0.203,2024-06-06,54.0,16.0,60.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,298.43,0.376,0.064,2023-05-25,17.0,69.0,60.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,313.61,0.376,0.31,2024-01-24,82.0,88.0,73.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,300.02,0.376,0.082,2023-07-20,22.0,64.0,69.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,314.19,0.376,0.325,2023-10-05,86.0,76.0,93.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,313.49,0.376,0.308,2024-03-21,82.0,37.0,56.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,312.54,0.376,0.286,2023-12-27,76.0,73.0,77.0,0.0,25.0,17.9273073,81.80064565
DONKARAYI,316.08,313.03,0.376,0.297,2023-12-14,79.0,46.0,80.0,0.0,25.0,17.9273073,81.80064565
