NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DOYANG HEP,333.0,323.6,0.535,0.379,2020-12-17,71,60,56,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,312.85,0.535,0.237,2021-03-25,44,34,38,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,313.7,0.535,0.248,2020-02-06,46,35,47,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,317.1,0.535,0.287,2023-10-26,54.0,61.0,62.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,317.6,0.535,0.295,2021-11-25,55.0,71.0,61.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.5,0.535,0.168,2022-06-09,31.0,31.0,33.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,313.0,0.535,0.24,2022-08-18,45.0,35.0,63.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,318.2,0.535,0.302,2021-11-18,56.0,71.0,61.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,314.0,0.535,0.252,2022-08-25,47.0,41.0,65.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,321.3,0.535,0.346,2023-09-06,65.0,50.0,62.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,321.4,0.535,0.347,2020-07-23,65,32,56,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,318.,1.0,0.535,0.312,2022-11-10,58.0,58.0,62.0,0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,322.6,0.535,0.364,2021-01-20,68,51,50,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,309.4,0.535,0.197,2021-08-05,37,64,65,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,315.65,0.535,0.271,2021-03-18,51,35,39,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.95,0.535,0.171,2023-05-04,32.0,35.0,34.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,314.25,0.535,0.254,2023-12-27,47.0,52.0,54.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,318.5,0.535,0.307,2020-09-24,57,58,66,0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,319.05,0.535,0.314,2020-07-09,59,32,48,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,317.6,0.535,0.295,2023-10-18,55.0,60.0,61.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,308.75,0.535,0.188,2022-06-23,35.0,32.0,38.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.45,0.535,0.167,2021-06-17,31,33,35,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.2,0.535,0.166,2021-06-03,31,31,33,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,307.6,0.535,0.176,2021-08-12,33,68,67,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,308.75,0.535,0.188,2024-03-14,35.0,36.0,41.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,308.4,0.535,0.184,2024-03-28,34.0,33.0,36.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,314.95,0.535,0.262,2023-12-19,49.0,54.0,56.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,312.95,0.535,0.238,2024-01-11,44.0,50.0,53.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.7,0.535,0.169,2023-05-11,32.0,36.0,34.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,314.42,0.535,0.257,2019-08-14,48,72,69,0,75,26.2323405,94.2608939305724
DOYANG HEP,333.0,309.55,0.535,0.198,2022-03-17,37.0,52.0,40.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,321.37,0.535,0.347,2019-11-20,65,50,60,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.05,0.535,0.165,2020-05-21,31,32,34,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,310.2,0.535,0.206,2024-04-24,39.0,33.0,34.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,321.1,0.535,0.343,2020-07-30,64,32,62,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,318.72,0.535,0.309,2022-11-17,58.0,56.0,61.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,318.68,0.535,0.308,2022-11-02,58.0,5.0,63.0,0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,319.9,0.535,0.326,2023-09-29,61.0,58.0,62.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,314.35,0.535,0.256,2022-01-06,48.0,69.0,53.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,314.1,0.535,0.253,2022-01-10,47.0,69.0,53.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,318.1,0.535,0.301,2020-10-01,56,61,64,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,321.2,0.535,0.344,2023-09-14,64.0,55.0,63.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,320.3,0.535,0.332,2020-10-15,62,60,63,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,322.9,0.535,0.368,2020-10-29,69,71,63,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.4,0.535,0.167,2021-05-27,31,31,33,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,307.6,0.535,0.176,2024-04-18,33.0,33.0,35.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,312.9,0.535,0.238,2023-02-09,44.0,43.0,47.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,315.13,0.535,0.265,2019-08-28,50,72,69,0,75,26.2323405,94.2608939305724
DOYANG HEP,333.0,311.55,0.535,0.222,2023-02-23,41.0,41.0,44.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,310.5,0.535,0.21,2021-04-12,39,32,36,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,312.3,0.535,0.231,2021-03-30,43,33,37,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,308.5,0.535,0.186,2021-04-29,35,31,34,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,309.05,0.535,0.192,2024-03-07,36.0,38.0,42.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.0,0.535,0.165,2021-06-10,31,31,33,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,313.25,0.535,0.242,2023-07-13,45.0,46.0,47.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,311.05,0.535,0.216,2022-06-30,40.0,31.0,39.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,311.05,0.535,0.216,2023-07-06,40.0,43.0,42.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,308.7,0.535,0.188,2021-07-22,35,65,55,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,322.05,0.535,0.356,2023-08-24,67.0,47.0,61.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,319.2,0.535,0.317,2019-09-19,59,61,67,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,319.55,0.535,0.322,2019-10-10,60,48,64,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,308.75,0.535,0.189,2020-03-19,35,33,39,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,316.87,0.535,0.285,2022-12-20,53.0,50.0,56.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,315.9,0.535,0.274,2021-12-15,51.0,71.0,57.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,317.2,0.535,0.29,2021-12-01,54.0,71.0,59.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,309.25,0.535,0.194,2022-05-12,36.0,32.0,35.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.1,0.535,0.165,2023-06-08,31.0,31.0,33.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,319.0,0.535,0.314,2021-10-07,59,59,62,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,321.75,0.535,0.351,2023-08-31,66.0,50.0,61.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,.,5.0,0.535,0.326,2022-10-26,61.0,5.0,63,0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,317.35,0.535,0.292,2020-01-09,55,41,52,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,310.65,0.535,0.211,2024-02-08,39.0,45.0,47.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,309.5,0.535,0.198,2024-02-22,37.0,42.0,45.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,322.85,0.535,0.367,2020-08-13,69,48,67,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,318.9,0.535,0.312,2021-09-30,58,56,64,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,315.46,0.535,0.269,2020-01-23,50,38,49,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,306.8,0.535,0.17,2023-06-22,32.0,32.0,37.0,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,323.75,0.535,0.381,2020-11-26,71,65,60,0.0,75.0,26.2323405,94.2608939305724
DOYANG HEP,333.0,319.0,0.535,0.314,2019-09-25,59,56,68,0.0,75.0,26.2323405,94.2608939305724
