NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DUDHAWA,425.1,424.71,0.284,0.269,2020-12-17,95,71,43,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.75,0.284,0.151,2021-03-25,53,52,30,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.47,0.284,0.177,2020-02-06,62,19,31,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.5,0.284,0.068,2023-10-26,24.0,95.0,58.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.04,0.284,0.059,2021-11-25,21.0,96.0,58.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.0,0.284,0.045,2022-06-08,16.0,31.0,21.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.81,0.284,0.273,2022-08-18,96.0,33.0,52.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.97,0.284,0.057,2021-11-18,20.0,98.0,60.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,425.08,0.284,0.284,2022-08-25,100.0,31.0,55.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.71,0.284,0.191,2023-09-06,67.0,96.0,65.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.11,0.284,0.284,2020-07-22,100,14,25,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.10,424.76,0.284,0.271,2022-11-10,5.0,20.0,52.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.46,0.284,0.259,2021-01-21,91,69,39,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.7,0.284,0.071,2021-08-05,25,80,45,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.82,0.284,0.153,2021-03-18,54,53,31,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.09,0.284,0.202,2023-05-04,71.0,16.0,22.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.36,0.284,0.066,2024-01-04,23.0,92.0,55.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,425.02,0.284,0.281,2020-09-24,99,92,78,325,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.65,0.284,0.184,2020-07-08,65,14,18,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,420.11,0.284,0.113,2023-10-19,40.0,95.0,61.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,415.96,0.284,0.044,2022-06-23,15.0,19.0,21.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,418.41,0.284,0.082,2021-06-17,29,48,22,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,418.6,0.284,0.086,2021-06-03,30,17,18,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.84,0.284,0.073,2021-08-12,26,79,50,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.91,0.284,0.057,2024-03-14,20.0,81.0,38.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.74,0.284,0.057,2024-03-28,20.0,79.0,37.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.36,0.284,0.07,2023-12-21,25.0,100.0,54.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.33,0.284,0.065,2024-01-10,23.0,90.0,54.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.95,0.284,0.196,2023-05-11,69.0,16.0,22.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.54,0.284,0.053,2022-03-17,19.0,54.0,33.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.47,0.284,0.217,2019-11-20,76,32,46,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.08,0.284,0.135,2020-05-20,48,15,18,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.12,0.284,0.047,2024-04-25,17.0,73.0,32.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.93,0.284,0.236,2020-07-29,83,14,30,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.73,0.284,0.269,2022-11-16,95.0,20.0,46.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.78,0.284,0.271,2022-11-03,5.0,1.0,56.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.04,0.284,0.204,2023-09-29,72.0,99.0,76.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.03,0.284,0.059,2022-01-06,21.0,94.0,47.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.06,0.284,0.06,2022-01-13,21.0,93.0,49.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,425.0,0.284,0.28,2020-10-01,99,89,75,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.66,0.284,0.184,2023-09-14,65.0,99.0,70.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.95,0.284,0.278,2020-10-15,98,76,62,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,425.01,0.284,0.281,2020-10-28,99,90,56,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,418.61,0.284,0.087,2021-05-27,31,47,23,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.14,0.284,0.047,2024-04-18,17.0,75.0,32.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.15,0.284,0.246,2023-02-09,87.0,20.0,39.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.03,0.284,0.24,2023-02-23,85.0,20.0,35.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,420.36,0.284,0.119,2021-04-14,42,51,28,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.57,0.284,0.147,2021-04-01,52,52,30,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,418.9,0.284,0.091,2021-04-29,32,49,26,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.93,0.284,0.057,2024-03-07,20.0,82.0,42.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,418.61,0.284,0.087,2021-06-10,31,47,21,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.76,0.284,0.189,2023-07-13,67.0,28.0,20.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,415.98,0.284,0.045,2022-06-29,16.0,19.0,19.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.62,0.284,0.183,2023-07-06,64.0,16.0,22.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.76,0.284,0.056,2021-07-22,20,71,31,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.32,0.284,0.211,2023-08-24,74.0,100.0,60.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.56,0.284,0.221,2019-10-09,78,90,64,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.72,0.284,0.15,2020-03-19,53,19,26,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,425.1,0.284,0.284,2022-12-22,100.0,21.0,37.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.1,0.284,0.06,2021-12-16,21.0,95.0,51.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.11,0.284,0.061,2021-12-02,21.0,96.0,58.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.0,0.284,0.045,2022-05-12,16.0,31.0,24.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.58,0.284,0.181,2023-06-08,64.0,16.0,20.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.2,0.284,0.138,2021-10-07,49,100,73,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.02,0.284,0.199,2023-08-31,70.0,100.0,61.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.10,424.73,0.284,0.26,2022-10-27,5.0,26.0,54,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.99,0.284,0.197,2020-01-06,69,29,35,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.13,0.284,0.061,2024-02-08,21.0,87.0,45.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,417.04,0.284,0.059,2024-02-22,21.0,85.0,40.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.65,0.284,0.225,2020-08-12,79,33,47,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.51,0.284,0.145,2021-09-30,51,99,77,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.94,0.284,0.195,2020-01-22,69,19,33,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,422.45,0.284,0.176,2023-06-22,62.0,15.0,18.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.84,0.284,0.274,2020-11-26,96,76,52,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.23,0.284,0.207,2023-04-27,73.0,16.0,24.0,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,424.6,0.284,0.264,2022-12-08,93.0,21.0,52.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.31,0.284,0.21,2021-02-11,74,59,36,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.66,0.284,0.149,2020-03-26,52,15,25,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,423.81,0.284,0.231,2021-02-04,81,62,37,324.5,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.88,0.284,0.056,2022-02-24,20.0,59.0,37.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,416.01,0.284,0.045,2022-05-05,16.0,31.0,24.0,324.54,0.0,20.30560355,81.784390153548
DUDHAWA,425.1,421.64,0.284,0.148,2022-07-28,52.0,20.0,36.0,324.54,0.0,20.30560355,81.784390153548
