NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
DUDHGANGA,646.0,646.0,0.664,0.664,2016-10-26,100,75,97,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,643.83,0.664,0.607,2020-12-17,91,96,85,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,633.34,0.664,0.35,2015-07-22,53,39,57,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,645.26,0.664,0.655,2018-10-01,99,100,99,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,621.07,0.664,0.097,2017-06-08,15,0,18,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,634.62,0.664,0.341,2021-03-25,51,59,49,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,641.27,0.664,0.526,2020-02-05,79,63,70,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,644.61,0.664,0.632,2017-08-30,95,96,94,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,644.39,0.664,0.625,2023-10-26,94.0,82.0,93.0,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,613.64,0.664,0.03,2016-05-11,5,32,33,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,625.08,0.664,0.152,2018-05-31,23,15,21,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,642.57,0.664,0.566,2016-12-21,85,54,84,2.441,24,33.8893255,74.6836692
DUDHGANGA,646.0,643.93,0.664,0.61,2021-11-25,92.0,99.0,92.0,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,625.84,0.664,0.164,2022-06-09,25.0,27.0,18.0,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,643.83,0.664,0.607,2022-08-18,91.0,92.0,91.0,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,644.0,0.664,0.612,2021-11-18,92.0,100.0,94.0,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,646.93,0.664,0.65,2022-08-24,98.0,94.0,93.0,2.441,24.0,33.8893255,74.6836692
DUDHGANGA,646.0,643.36,0.664,0.631,2023-09-06,95.0,92.0,96.0,2.441,24.0,33.8893255,74.6836692
