NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
GANDHI SAGAR,399.9,399.82,6.827,6.562,2016-10-27,96,90,59,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,397.86,6.827,5.4,2020-12-17,79,94,64,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.67,6.827,4.234,2015-07-23,62,57,20,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.65,6.827,2.911,2018-10-04,43,69,59,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.67,6.827,3.771,2017-06-08,55,38,18,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.14,6.827,3.523,2021-03-25,52,63,37,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.22,6.827,5.606,2020-02-06,82,15,34,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.95,6.827,4.392,2017-08-31,64,92,53,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.79,6.827,6.543,2023-10-26,96.0,96.0,93.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.52,6.827,2.859,2016-05-12,42,40,18,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,387.02,6.827,1.154,2018-05-31,17,56,23,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.74,6.827,5.917,2016-12-22,87,77,50,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.39,6.827,6.302,2021-11-25,92.0,89.0,81.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.01,6.827,4.403,2022-06-09,64.0,46.0,43.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.11,6.827,5.544,2022-08-18,81.0,65.0,63.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.52,6.827,6.38,2021-11-18,93.0,90.0,83.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.59,6.827,5.825,2022-08-25,85.0,69.0,76.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.24,6.827,4.522,2023-09-06,66.0,87.0,84.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,387.08,6.827,1.17,2018-05-24,17,57,22,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.32,6.827,4.063,2020-07-23,60,9,30,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.32,6.827,5.67,2015-12-03,83,68,49,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,3,0.65,6.827,6.455,2022-11-10,5.0,5.0,8.0,220,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,397.33,6.827,5.093,2021-01-21,75,87,51,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.35,6.827,4.077,2021-08-05,60,60,50,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,397.71,6.827,5.322,2015-12-17,78,64,47,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.31,6.827,3.601,2021-03-18,53,66,39,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.43,6.827,4.122,2017-08-24,60,88,52,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.65,6.827,2.911,2018-10-11,43,69,53,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.77,6.827,3.812,2023-05-04,56.0,66.0,49.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.18,6.827,5.59,2024-01-04,82.0,84.0,74.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.33,6.827,2.789,2016-07-28,41,89,30,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.05,6.827,2.688,2016-07-13,39,40,18,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.05,6.827,6.098,2020-09-24,89,92,67,220,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.29,6.827,4.048,2020-07-09,59,8,24,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.94,6.827,3.894,2016-02-18,57,47,31,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.8,6.827,6.55,2023-10-19,96.0,97.0,87.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.64,6.827,2.908,2016-05-05,43,40,23,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,381.32,6.827,0.044,2019-04-11,1,18,23,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.82,6.827,3.837,2022-06-23,56.0,46.0,38.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.49,6.827,6.367,2016-12-08,93,82,55,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,381.32,6.827,0.044,2019-04-04,1,18,23,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,393.19,6.827,3.127,2021-06-17,46,57,29,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,393.27,6.827,3.162,2021-06-03,46,57,24,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.8,6.827,2.973,2017-04-25,44,44,22,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.6,6.827,3.736,2016-02-25,55,46,30,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.04,6.827,4.417,2021-08-12,65,60,49,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.72,6.827,4.262,2024-03-14,62.0,64.0,48.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.33,6.827,4.069,2024-03-28,60.0,62.0,43.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.52,6.827,3.699,2017-06-22,54,36,19,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.53,6.827,5.787,2023-12-21,85.0,86.0,79.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.01,6.827,5.491,2024-01-11,80.0,81.0,76.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.6,6.827,3.734,2023-05-11,55.0,66.0,50.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.09,6.827,2.701,2015-07-09,40,57,17,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.26,6.827,6.232,2015-09-29,91,74,53,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,387.83,6.827,1.361,2019-01-24,20,40,40,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,392.81,6.827,2.976,2019-08-14,44,23,35,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.38,6.827,4.596,2017-11-02,67,96,61,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.91,6.827,4.358,2017-11-16,64,95,53,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.9,6.827,4.855,2022-03-17,71.0,53.0,51.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.66,6.827,6.466,2019-11-21,95,40,61,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.03,6.827,3.932,2020-05-21,58,0,25,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.15,6.827,6.167,2015-10-28,90,73,50,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.22,6.827,6.203,2015-10-14,91,73,52,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,391.2,6.827,2.38,2018-12-13,35,55,52,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.68,6.827,3.77,2024-04-25,55.0,57.0,49.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,395.34,6.827,4.075,2020-07-30,60,13,35,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.47,6.827,6.353,2022-11-17,93.0,93.0,87.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.22,6.827,4.514,2017-03-09,66,52,33,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.49,6.827,4.654,2017-03-01,68,53,33,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.89,6.827,6.607,2015-12-09,97,67,48,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,3.0,0.75,6.827,6.517,2022-11-03,5.0,6.0,85.0,220,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.62,6.827,6.439,2023-09-29,94.0,95.0,91.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.49,6.827,5.767,2022-01-06,84.0,77.0,71.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.35,6.827,5.685,2022-01-13,83.0,76.0,62.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.5,6.827,6.369,2020-10-01,93,93,72,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,396.67,6.827,4.74,2023-09-14,69.0,88.0,83.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.52,6.827,6.381,2020-10-15,93,96,74,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.4,6.827,6.308,2020-10-29,92,96,71,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,383.91,6.827,0.477,2019-03-19,7,22,33,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,393.32,6.827,3.179,2021-05-27,47,57,33,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,394.72,6.827,3.79,2024-04-18,56.0,59.0,41.0,220.0,115.0,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,391.2,6.827,2.38,2018-12-06,35,57,52,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.3,6.827,6.251,2016-09-14,92,92,58,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,398.23,6.827,5.622,2017-01-12,82,69,45,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.31,6.827,6.26,2016-08-31,92,91,49,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.61,6.827,6.438,2016-09-29,94,91,60,220,115,21.1457864,79.0987312544945
GANDHI SAGAR,399.9,399.83,6.827,6.569,2016-10-20,96,91,59,220,115,21.1457864,79.0987312544945
