NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
GERUSOPPA,55.0,49.22,0.13,0.098,2016-10-27,75,71,84,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.37,0.13,0.104,2020-12-17,80,85,79,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.74,0.13,0.106,2015-07-23,82,82,87,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.86,0.13,0.101,2018-10-03,78,87,78,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.59,0.13,0.1,2017-06-08,77,84,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,45.88,0.13,0.082,2021-03-25,63,91,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.48,0.13,0.115,2020-02-06,88,84,85,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.5,0.13,0.115,2017-08-30,88,82,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.82,0.13,0.112,2023-10-26,86.0,92.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,53.71,0.13,0.122,2016-05-12,94,94,88,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.76,0.13,0.111,2018-05-31,85,82,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.82,0.13,0.106,2016-12-22,82,72,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.06,0.13,0.113,2021-11-25,87.0,71.0,81.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.18,0.13,0.108,2022-06-09,83.0,85.0,80.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.52,0.13,0.094,2022-08-18,72.0,76.0,76.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.13,0.13,0.108,2021-11-18,83.0,80.0,81.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.42,0.13,0.099,2022-08-25,76.0,82.0,73.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.74,0.13,0.111,2023-09-06,85.0,81.0,78.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.36,0.13,0.109,2018-05-24,84,80,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.89,0.13,0.096,2020-07-23,74,78,84,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.98,0.13,0.097,2015-12-03,75,75,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.00,50.76,0.13,0.106,2022-11-10,82.0,78.0,81.0,83,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.84,0.13,0.091,2021-01-21,70,90,85,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.62,0.13,0.1,2021-08-05,77,83,82,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.66,0.13,0.09,2015-12-17,69,76,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,45.09,0.13,0.078,2021-03-18,60,83,81,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.03,0.13,0.102,2017-08-24,78,70,78,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,46.95,0.13,0.087,2018-10-11,67,85,79,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.44,0.13,0.094,2023-05-04,72.0,88.0,84.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.05,0.13,0.087,2024-01-04,67.0,76.0,81.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.46,0.13,0.094,2016-07-28,72,83,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.4,0.13,0.094,2016-07-14,72,77,81,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.88,0.13,0.096,2020-09-24,74,74,75,83,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.83,0.13,0.101,2020-07-09,78,81,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,54.17,0.13,0.125,2016-02-18,96,89,87,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.36,0.13,0.104,2023-10-19,80.0,75.0,77.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.21,0.13,0.114,2016-05-05,88,89,88,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,53.63,0.13,0.122,2019-04-08,94,92,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.23,0.13,0.098,2022-06-23,75.0,58.0,75.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.45,0.13,0.104,2016-12-08,80,76,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.4,0.13,0.104,2019-04-02,80,88,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.25,0.13,0.103,2021-06-17,79,75,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.93,0.13,0.092,2021-06-03,71,91,83,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.84,0.13,0.096,2017-04-27,74,74,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.71,0.13,0.106,2016-02-25,82,85,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,47.07,0.13,0.087,2021-08-12,67,88,78,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.03,0.13,0.113,2024-03-14,87.0,85.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.01,0.13,0.092,2024-03-28,71.0,83.0,78.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.78,0.13,0.101,2017-06-22,78,75,76,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.27,0.13,0.103,2023-12-21,79.0,78.0,79.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.09,0.13,0.087,2024-01-11,67.0,77.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.28,0.13,0.103,2023-05-11,79.0,81.0,83.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.36,0.13,0.094,2015-07-09,72,70,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,46.72,0.13,0.086,2015-09-30,66,61,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.72,0.13,0.117,2019-01-24,90,85,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.33,0.13,0.098,2019-08-10,75,82,77,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.04,0.13,0.113,2017-11-02,87,78,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.65,0.13,0.105,2017-11-15,81,81,81,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,47.96,0.13,0.092,2022-03-17,71.0,64.0,80.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.89,0.13,0.107,2019-11-21,82,85,84,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.15,0.13,0.103,2020-05-21,79,75,84,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.74,0.13,0.091,2015-10-29,70,89,88,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,45.9,0.13,0.082,2015-10-15,63,83,78,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.78,0.13,0.096,2018-12-13,74,75,81,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.04,0.13,0.097,2024-04-24,75.0,87.0,85.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.97,0.13,0.097,2020-07-30,75,83,80,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.82,0.13,0.112,2022-11-17,86.0,87.0,80.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.25,0.13,0.109,2017-03-16,84,78,78,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.6,0.13,0.11,2017-03-02,85,90,77,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.93,0.13,0.096,2015-12-10,74,84,84,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.24,0.13,0.103,2022-11-02,7.0,88.0,82.0,83,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,46.52,0.13,0.085,2023-09-29,65.0,68.0,77.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.64,0.13,0.1,2022-01-06,77.0,69.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.04,0.13,0.097,2022-01-13,75.0,89.0,85.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.79,0.13,0.101,2020-10-01,78,72,78,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.49,0.13,0.105,2023-09-14,81.0,69.0,79.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.79,0.13,0.106,2020-10-13,82,75,78,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.62,0.13,0.105,2020-10-29,81,71,82,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.29,0.13,0.109,2019-03-20,84,92,81,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.13,0.13,0.113,2021-05-27,87,88,83,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.71,0.13,0.095,2024-04-18,73.0,68.0,78.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.33,0.13,0.115,2018-12-06,88,85,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.86,0.13,0.117,2016-09-15,90,72,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.49,0.13,0.099,2017-01-12,76,83,81,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.94,0.13,0.107,2016-09-01,82,68,84,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.28,0.13,0.103,2016-09-29,79,66,79,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.36,0.13,0.094,2016-10-20,72,65,81,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.21,0.13,0.098,2015-07-30,75,79,87,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.3,0.13,0.098,2023-02-09,75.0,68.0,84.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.04,0.13,0.092,2019-08-27,71,69,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,53.75,0.13,0.123,2019-01-31,95,91,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,53.67,0.13,0.122,2018-09-20,94,85,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.61,0.13,0.105,2018-07-19,81,77,79,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.44,0.13,0.109,2019-06-06,84,82,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.68,0.13,0.095,2023-02-23,73.0,77.0,83.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.04,0.13,0.087,2015-09-23,67,72,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.43,0.13,0.115,2021-04-15,88,75,83,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.63,0.13,0.095,2016-07-06,73,82,77,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.69,0.13,0.111,2021-04-01,85,79,82,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.01,0.13,0.102,2021-04-29,78,72,82,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.27,0.13,0.103,2024-03-07,79.0,85.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.78,0.13,0.106,2021-06-10,82,68,80,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.98,0.13,0.113,2017-04-20,87,72,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.91,0.13,0.118,2018-01-31,91,85,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.99,0.13,0.118,2018-02-15,91,90,87,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,46.91,0.13,0.087,2023-07-13,67.0,81.0,78.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.46,0.13,0.094,2022-06-30,72.0,73.0,76.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.64,0.13,0.09,2023-07-06,69.0,77.0,75.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.88,0.13,0.101,2019-02-28,78,88,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.06,0.13,0.107,2019-06-12,82,83,79,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.51,0.13,0.11,2021-07-22,85,75,82,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,53.89,0.13,0.123,2016-03-10,95,77,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.58,0.13,0.105,2018-04-12,81,92,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,47.84,0.13,0.091,2023-08-24,70.0,76.0,75.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,45.32,0.13,0.079,2019-09-19,61,88,82,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.66,0.13,0.095,2016-11-10,73,78,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.12,0.13,0.103,2019-10-10,79,64,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,0.0,0.13,0.0,2020-03-19,0,80,80,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.72,0.13,0.106,2016-01-14,82,81,84,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.06,0.13,0.102,2022-12-22,78.0,83.0,81.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.75,0.13,0.108,2017-09-07,83,84,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,47.85,0.13,0.091,2016-08-24,70,65,80,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.18,0.13,0.103,2016-06-09,79,77,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.94,0.13,0.118,2016-01-28,91,85,84,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,48.68,0.13,0.095,2016-08-18,73,68,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.36,0.13,0.099,2015-11-19,76,87,86,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.27,0.13,0.109,2021-12-16,84.0,82.0,80.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.09,0.13,0.113,2017-10-26,87,74,83,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.63,0.13,0.111,2021-12-02,85.0,75.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.51,0.13,0.099,2022-05-12,76.0,84.0,84.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.46,0.13,0.089,2023-06-08,68.0,88.0,84.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,46.47,0.13,0.085,2021-10-07,65,75,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,45.32,0.13,0.079,2023-08-31,61.0,72.0,78.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.13,0.13,0.103,2019-05-30,79,84,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.00,52.67,0.13,0.116,2022-10-27,8.0,82.0,82,83,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.75,0.13,0.106,2020-01-06,82,85,82,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.05,0.13,0.087,2024-02-08,67.0,85.0,83.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.82,0.13,0.101,2024-02-22,78.0,72.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.94,0.13,0.092,2017-05-11,71,92,87,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.24,0.13,0.114,2020-08-13,88,75,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.48,0.13,0.11,2021-09-28,85,73,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.01,0.13,0.113,2020-01-22,87,88,85,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.89,0.13,0.096,2019-02-07,74,93,84,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,52.74,0.13,0.117,2018-04-04,90,89,82,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,46.68,0.13,0.086,2023-06-22,66.0,79.0,75.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.14,0.13,0.093,2020-11-26,72,92,85,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,51.23,0.13,0.108,2017-12-21,83,81,79,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.71,0.13,0.1,2018-06-28,77,86,78,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.0,0.13,0.102,2019-09-26,78,82,78,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.11,0.13,0.103,2018-06-14,79,72,78,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.14,0.13,0.108,2017-10-17,83,72,75,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.5,0.13,0.099,2023-04-27,76.0,68.0,78.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.96,0.13,0.102,2015-08-06,78,87,87,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.91,0.13,0.105,2016-06-23,81,77,77,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,49.97,0.13,0.102,2017-09-14,78,88,81,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,50.03,0.13,0.102,2022-12-08,78.0,87.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,48.86,0.13,0.096,2021-02-11,74,90,89,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.95,0.13,0.118,2020-03-24,91,78,75,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.42,0.13,0.099,2015-11-25,76,79,85,83,240,14.2433775,74.6532531
GERUSOPPA,55.0,51.68,0.13,0.111,2021-02-02,85,82,85,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,49.46,0.13,0.099,2022-02-24,76.0,88.0,82.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,52.49,0.13,0.115,2022-05-05,88.0,85.0,83.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,47.51,0.13,0.09,2022-07-28,69.0,70.0,78.0,83.0,240.0,14.2433775,74.6532531
GERUSOPPA,55.0,50.36,0.13,0.104,2022-07-14,80.0,85.0,78.0,83.0,240.0,14.2433775,74.6532531
