NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
GETALSUD,590.06,586.31,0.218,0.108,2020-12-17,50,63,53,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,584.91,0.218,0.076,2021-03-25,35,45,42,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,588.78,0.218,0.176,2023-10-26,81.0,67.0,70.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,587.38,0.218,0.135,2021-11-25,62.0,50.0,56.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,584.73,0.218,0.073,2022-06-09,33.0,44.0,39.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,587.04,0.218,0.127,2022-08-18,58.0,86.0,67.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,587.59,0.218,0.141,2021-11-18,65.0,51.0,57.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,589.33,0.218,0.194,2022-08-25,89.0,80.0,68.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,586.1,0.218,0.103,2023-09-06,47.0,93.0,74.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,0.06,587.1,0.218,0.128,2022-11-10,5.0,63.0,61.0,0,130.0,23.4454661,85.5456769
GETALSUD,590.06,586.34,0.218,0.109,2021-01-21,50,51,48,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,589.18,0.218,0.189,2021-08-05,87,45,54,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,585.0,0.218,0.078,2021-03-18,36,45,43,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,584.85,0.218,0.075,2023-05-04,34.0,35.0,37.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,587.01,0.218,0.126,2024-01-04,58.0,57.0,55.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,588.9,0.218,0.18,2023-10-19,83.0,79.0,75.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,584.73,0.218,0.073,2022-06-23,33.0,51.0,33.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,586.46,0.218,0.112,2021-06-17,51,45,32,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,585.85,0.218,0.097,2021-06-03,44,45,35,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,589.54,0.218,0.201,2021-08-12,92,45,57,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,586.77,0.218,0.119,2024-03-13,55.0,45.0,47.0,0.0,130.0,23.4454661,85.5456769
GETALSUD,590.06,586.83,0.218,0.121,2024-03-26,56.0,42.0,45.0,0.0,130.0,23.4454661,85.5456769
