NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
GIRNA,398.07,397.22,0.524,0.474,2016-10-26,90,10,50,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,397.35,0.524,0.48,2020-12-17,92,100,44,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,384.1,0.524,0.043,2015-07-22,8,7,17,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,391.79,0.524,0.25,2018-10-04,48,65,44,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,387.68,0.524,0.13,2017-06-08,25,0,9,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,391.96,0.524,0.256,2021-03-25,49,52,22,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,396.29,0.524,0.43,2020-02-06,82,29,27,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,393.21,0.524,0.299,2017-08-30,57,67,31,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,393.02,0.524,0.293,2023-10-26,56.0,100.0,71.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,379.73,0.524,0.0,2016-05-11,0,14,17,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,385.79,0.524,0.081,2018-05-31,15,24,11,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,395.8,0.524,0.397,2016-12-21,76,4,43,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,398.07,0.524,0.524,2021-11-25,100.0,100.0,54.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,389.98,0.524,0.194,2022-06-09,37.0,33.0,13.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,397.43,0.524,0.484,2022-08-18,92.0,41.0,35.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,398.07,0.524,0.524,2021-11-17,100.0,100.0,51.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,397.42,0.524,0.484,2022-08-25,92.0,44.0,40.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,389.91,0.524,0.192,2023-09-06,37.0,98.0,55.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,385.89,0.524,0.083,2018-05-23,16,25,13,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,390.26,0.524,0.202,2020-07-23,39,7,9,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,383.25,0.524,0.025,2015-12-02,5,41,54,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,395.36,0.524,0.385,2021-01-20,73,93,37,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,390.35,0.524,0.205,2021-08-05,39,47,24,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,383.11,0.524,0.022,2015-12-17,4,36,50,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,392.06,0.524,0.259,2021-03-18,49,56,23,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,392.66,0.524,0.28,2017-08-23,53,66,29,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,391.74,0.524,0.248,2018-10-11,47,66,46,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,388.42,0.524,0.178,2023-05-04,34.0,41.0,21.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,391.18,0.524,0.23,2023-12-28,44.0,96.0,66.0,79.0,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,383.64,0.524,0.033,2016-07-27,6,8,13,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,380.33,0.524,0.0,2016-07-13,0,9,12,79,-,74.7157151595633,20.4787568156919
GIRNA,398.07,398.07,0.524,0.524,2020-09-24,100,100,46,79,0.0,74.7157151595633,20.4787568156919
GIRNA,398.07,390.15,0.524,0.199,2020-07-09,38,7,8,79.0,0.0,74.7157151595633,20.4787568156919
