NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
GOBIND SAGAR(BHAKRA),512.06,499.48,6.229,4.08,2016-10-25,66,90,86,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,494.04,6.229,3.086,2020-12-17,50,68,71,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,499.28,6.229,4.054,2015-07-22,65,61,48,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,508.03,6.229,5.326,2018-10-04,86,87,87,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,475.87,6.229,1.558,2017-06-08,25,30,24,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,470.05,6.229,1.257,2021-03-25,20,39,38,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,496.27,6.229,3.37,2020-02-06,54,63,49,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,508.91,6.229,5.464,2017-08-31,88,69,81,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,506.74,6.229,4.823,2023-10-26,77.0,84.0,84.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,474.81,6.229,1.481,2016-05-11,24,39,24,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,454.69,6.229,0.359,2018-05-31,6,22,24,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,490.43,6.229,2.959,2016-12-22,48,73,68,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,498.65,6.229,3.68,2021-11-25,59.0,56.0,74.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,477.03,6.229,1.448,2022-06-09,23.0,9.0,26.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,502.07,6.229,4.485,2022-08-18,72.0,47.0,69.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,499.35,6.229,3.76,2021-11-18,60.0,57.0,79.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,505.58,6.229,4.892,2022-08-25,79.0,51.0,74.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,509.9,6.229,5.316,2023-09-06,85.0,82.0,84.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,456.34,6.229,0.43,2018-05-24,7,19,23,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,490.8,6.229,2.719,2020-07-23,44,57,44,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,506.18,6.229,5.038,2015-12-03,81,73,76,676,1200,,
GOBIND SAGAR(BHAKRA),50,0.03,6.22,5.185,2022-11-10,83.0,62.0,75.0,676,137.0,,
GOBIND SAGAR(BHAKRA),512.06,487.27,6.229,2.332,2021-01-21,37,60,58,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,488.08,6.229,2.415,2021-08-05,39,52,59,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,504.04,6.229,4.729,2015-12-16,76,67,70,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,472.5,6.229,1.157,2021-03-18,19,40,35,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,507.58,6.229,5.257,2017-08-24,84,64,78,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,508.54,6.229,5.407,2018-10-11,87,85,86,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,477.85,6.229,1.511,2023-05-04,24.0,23.0,27.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,496.57,6.229,3.409,2024-01-04,55.0,58.0,61.0,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,485.27,6.229,2.403,2016-07-28,39,71,54,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,481.89,6.229,2.064,2016-07-14,33,58,42,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,505.45,6.229,4.629,2020-09-24,74,86,88,676,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,484.69,6.229,2.088,2020-07-09,34,45,36,676.0,1379.0,,
GOBIND SAGAR(BHAKRA),512.06,491.29,6.229,3.058,2016-02-17,49,40,43,676,1200,,
GOBIND SAGAR(BHAKRA),512.06,507.43,6.229,4.932,2023-10-19,79.0,84.0,83.0,676.0,1379.0,,
