NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
GUMTI,93.55,92.4,0.312,0.258,2016-10-26,83,93,53,-,15,22.93108075,80.0367816265992
GUMTI,93.55,93.05,0.312,0.289,2020-12-16,93,44,49,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,90.65,0.312,0.201,2015-07-21,64,30,35,-,15,22.93108075,80.0367816265992
GUMTI,93.55,92.6,0.312,0.268,2018-10-03,86,97,60,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.9,0.312,0.195,2017-06-07,63,44,19,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.1,0.312,0.203,2021-03-24,65,23,23,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,88.35,0.312,0.102,2020-02-05,33,61,27,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,93.2,0.312,0.296,2017-08-29,95,76,54,-,15,22.93108075,80.0367816265992
GUMTI,93.55,92.2,0.312,0.25,2023-10-26,80.0,51.0,72.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,89.3,0.312,0.134,2016-05-11,43,4,6,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.8,0.312,0.232,2018-05-29,74,51,20,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.7,0.312,0.228,2016-12-21,73,78,37,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.7,0.312,0.228,2021-11-24,73.0,97.0,61.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,89.65,0.312,0.146,2022-06-08,47.0,53.0,36.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.6,0.312,0.224,2022-08-18,72.0,57.0,64.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.8,0.312,0.232,2021-11-18,74.0,99.0,63.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,92.0,0.312,0.24,2022-08-25,77.0,51.0,65.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.45,0.312,0.217,2023-09-05,70.0,46.0,70.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,94.7,0.312,0.312,2018-05-22,100,48,19,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.5,0.312,0.22,2020-07-22,71,51,49,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,92.5,0.312,0.263,2015-12-01,84,24,38,-,15,22.93108075,80.0367816265992
GUMTI,3.55,2.4,0.312,0.258,2022-11-07,83.0,78.0,71.0,0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,92.4,0.312,0.258,2021-01-21,83,36,39,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,90.0,0.312,0.158,2021-08-05,51,76,58,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,92.2,0.312,0.249,2015-12-15,80,20,35,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.25,0.312,0.209,2021-03-18,67,23,24,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,93.3,0.312,0.301,2017-08-22,96,54,49,-,15,22.93108075,80.0367816265992
GUMTI,93.55,92.65,0.312,0.27,2018-10-09,87,97,58,-,15,22.93108075,80.0367816265992
GUMTI,93.55,88.8,0.312,0.117,2023-05-04,38.0,36.0,29.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.3,0.312,0.212,2024-01-04,68.0,72.0,68.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,90.25,0.312,0.168,2016-07-27,54,63,39,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.15,0.312,0.164,2016-07-13,53,45,34,-,15,22.93108075,80.0367816265992
GUMTI,93.55,92.9,0.312,0.283,2020-09-23,91,57,65,0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,90.25,0.312,0.168,2020-07-09,54,29,46,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,90.95,0.312,0.197,2016-02-17,63,1,17,-,15,22.93108075,80.0367816265992
GUMTI,93.55,92.25,0.312,0.251,2023-10-19,80.0,94.0,84.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,89.4,0.312,0.137,2016-05-04,44,3,5,-,15,22.93108075,80.0367816265992
GUMTI,93.55,88.7,0.312,0.114,2019-04-10,37,55,17,-,15,22.93108075,80.0367816265992
GUMTI,93.55,89.6,0.312,0.144,2022-06-22,46.0,53.0,42.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.05,0.312,0.201,2016-12-07,64,83,39,-,15,22.93108075,80.0367816265992
GUMTI,93.55,88.95,0.312,0.122,2019-04-03,39,57,18,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.25,0.312,0.168,2021-06-16,54,43,35,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,90.1,0.312,0.158,2021-06-02,51,23,30,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,89.4,0.312,0.137,2017-04-27,44,45,10,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.7,0.312,0.187,2016-02-25,60,0,15,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.2,0.312,0.166,2021-08-12,53,77,60,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,89.85,0.312,0.153,2024-03-13,49.0,53.0,43.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,89.5,0.312,0.141,2024-03-28,45.0,46.0,37.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.1,0.312,0.203,2017-06-21,65,47,25,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.55,0.312,0.222,2023-12-21,71.0,76.0,69.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.25,0.312,0.209,2024-01-11,67.0,70.0,63.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,88.65,0.312,0.112,2023-05-11,36.0,37.0,30.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,88.45,0.312,0.105,2015-07-07,34,31,33,-,15,22.93108075,80.0367816265992
GUMTI,93.55,93.6,0.312,0.312,2015-09-29,100,43,52,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.45,0.312,0.177,2019-01-23,57,78,30,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.15,0.312,0.164,2019-08-13,53,93,55,-,15,22.93108075,80.0367816265992
GUMTI,93.55,93.8,0.312,0.312,2017-10-31,100,83,59,-,15,22.93108075,80.0367816265992
GUMTI,93.55,93.3,0.312,0.301,2017-11-14,96,83,57,-,15,22.93108075,80.0367816265992
GUMTI,93.55,90.2,0.312,0.166,2022-02-23,53.0,73.0,35.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,89.8,0.312,0.151,2019-11-20,48,76,60,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,85.2,0.312,0.021,2020-05-20,7,32,26,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,93.05,0.312,0.289,2015-10-28,93,47,52,-,15,22.93108075,80.0367816265992
GUMTI,93.55,93.35,0.312,0.303,2015-10-14,97,47,53,-,15,22.93108075,80.0367816265992
GUMTI,93.55,91.4,0.312,0.215,2018-12-12,69,87,47,-,15,22.93108075,80.0367816265992
GUMTI,93.55,88.9,0.312,0.12,2024-04-25,38.0,39.0,35.0,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,91.85,0.312,0.234,2020-07-29,75,52,51,0.0,15.0,22.93108075,80.0367816265992
GUMTI,93.55,92.65,0.312,0.27,2022-11-15,87.0,74.0,73.0,0.0,15.0,22.93108075,80.0367816265992
