NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
HARANGI,871.42,866.19,0.22,0.111,2016-10-26,50,32,64,53,-,12.4948912,75.8392181
HARANGI,871.42,860.72,0.22,0.073,2020-12-17,33,42,22,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.75,0.22,0.208,2015-07-22,95,94,77,53,-,12.4948912,75.8392181
HARANGI,871.42,869.99,0.22,0.184,2018-10-03,84,98,85,53,-,12.4948912,75.8392181
HARANGI,871.42,855.68,0.22,0.035,2017-06-07,16,8,15,53,-,12.4948912,75.8392181
HARANGI,871.42,860.43,0.22,0.071,2021-03-25,32,39,19,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,863.8,0.22,0.088,2020-02-06,40,19,19,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.04,0.22,0.217,2017-08-31,99,89,95,53,-,12.4948912,75.8392181
HARANGI,871.42,869.35,0.22,0.16,2023-10-26,73.0,86.0,77.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,851.98,0.22,0.016,2016-05-11,7,11,15,53,-,12.4948912,75.8392181
HARANGI,871.42,848.18,0.22,0.004,2018-05-31,2,15,16,53,-,12.4948912,75.8392181
HARANGI,871.42,859.02,0.22,0.059,2016-12-22,27,2,13,53,-,12.4948912,75.8392181
HARANGI,871.42,870.97,0.22,0.205,2021-11-25,93.0,52.0,37.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,868.89,0.22,0.151,2022-06-09,69.0,33.0,17.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.63,0.22,0.194,2022-08-18,88.0,100.0,94.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.13,0.22,0.21,2021-11-18,95.0,63.0,43.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.94,0.22,0.204,2022-08-25,93.0,99.0,95.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.23,0.22,0.182,2023-09-06,83.0,89.0,91.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,849.97,0.22,0.009,2018-05-22,4,15,16,53,-,12.4948912,75.8392181
HARANGI,871.42,870.35,0.22,0.195,2020-07-23,89,38,76,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,849.17,0.22,0.006,2015-12-02,3,34,36,53,-,12.4948912,75.8392181
HARANGI,871.42,868.25,0.22,0.138,2022-11-10,63.0,5.0,55.0,53,0.0,12.4948912,75.8392181
HARANGI,871.42,860.18,0.22,0.069,2021-01-20,31,40,20,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.41,0.22,0.197,2021-08-05,90,90,90,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,848.35,0.22,0.004,2015-12-17,2,15,20,53,-,12.4948912,75.8392181
HARANGI,871.42,860.49,0.22,0.072,2021-03-18,33,40,20,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.92,0.22,0.213,2017-08-23,97,95,96,53,-,12.4948912,75.8392181
HARANGI,871.42,869.77,0.22,0.178,2018-10-10,81,98,76,53,-,12.4948912,75.8392181
HARANGI,871.42,859.6,0.22,0.055,2023-05-04,25.0,60.0,21.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.84,0.22,0.075,2024-01-04,34.0,32.0,27.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.13,0.22,0.219,2016-07-26,100,96,81,53,-,12.4948912,75.8392181
HARANGI,871.42,871.04,0.22,0.217,2016-07-13,99,70,63,53,-,12.4948912,75.8392181
HARANGI,871.42,871.24,0.22,0.22,2020-09-24,100,99,89,53,0.0,12.4948912,75.8392181
HARANGI,871.42,868.28,0.22,0.147,2020-07-09,67,21,55,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,851.72,0.22,0.015,2016-02-18,7,8,16,53,-,12.4948912,75.8392181
HARANGI,871.42,870.51,0.22,0.191,2023-10-19,87.0,81.0,80.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,851.97,0.22,0.016,2016-05-05,7,11,15,53,-,12.4948912,75.8392181
HARANGI,871.42,854.9,0.22,0.03,2019-04-08,14,17,15,53,-,12.4948912,75.8392181
HARANGI,871.42,869.44,0.22,0.162,2022-06-23,74.0,46.0,29.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,858.34,0.22,0.054,2016-12-06,25,2,28,53,-,12.4948912,75.8392181
HARANGI,871.42,855.24,0.22,0.032,2019-04-03,15,17,15,53,-,12.4948912,75.8392181
HARANGI,871.42,862.39,0.22,0.082,2021-06-16,37,40,23,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,860.37,0.22,0.071,2021-06-02,32,38,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,855.48,0.22,0.034,2017-04-25,15,7,14,53,-,12.4948912,75.8392181
HARANGI,871.42,851.84,0.22,0.016,2016-02-24,7,8,16,53,-,12.4948912,75.8392181
HARANGI,871.42,870.35,0.22,0.195,2021-08-11,89,93,93,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.58,0.22,0.073,2024-03-14,33.0,32.0,26.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,861.89,0.22,0.07,2024-03-28,32.0,28.0,25.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,858.0,0.22,0.051,2017-06-22,23,15,23,53,-,12.4948912,75.8392181
HARANGI,871.42,862.76,0.22,0.074,2023-12-21,34.0,33.0,27.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,863.01,0.22,0.075,2024-01-11,34.0,32.0,28.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.55,0.22,0.054,2023-05-11,25.0,60.0,22.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,866.16,0.22,0.111,2015-07-08,50,36,56,53,-,12.4948912,75.8392181
HARANGI,871.42,865.52,0.22,0.105,2015-09-28,48,100,93,53,-,12.4948912,75.8392181
HARANGI,871.42,856.34,0.22,0.039,2019-01-24,18,29,17,53,-,12.4948912,75.8392181
HARANGI,871.42,870.73,0.22,0.207,2019-08-14,94,95,95,53,-,12.4948912,75.8392181
HARANGI,871.42,869.51,0.22,0.173,2017-10-31,79,39,58,53,-,12.4948912,75.8392181
HARANGI,871.42,864.37,0.22,0.094,2017-11-15,43,20,44,53,-,12.4948912,75.8392181
HARANGI,871.42,868.35,0.22,0.139,2022-03-17,63.0,33.0,18.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,868.78,0.22,0.158,2019-11-21,72,37,38,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.84,0.22,0.084,2020-05-21,38,15,15,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.61,0.22,0.064,2015-10-28,29,71,69,53,-,12.4948912,75.8392181
HARANGI,871.42,863.17,0.22,0.085,2015-10-14,39,92,80,53,-,12.4948912,75.8392181
HARANGI,871.42,855.93,0.22,0.037,2018-12-12,17,26,22,53,-,12.4948912,75.8392181
HARANGI,871.42,861.09,0.22,0.066,2024-04-24,30.0,25.0,24.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.98,0.22,0.215,2020-07-29,98,40,85,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,867.45,0.22,0.121,2022-11-17,55.0,95.0,50.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,855.89,0.22,0.036,2017-03-16,16,7,14,53,-,12.4948912,75.8392181
HARANGI,871.42,856.54,0.22,0.041,2017-02-27,19,7,14,53,-,12.4948912,75.8392181
HARANGI,871.42,848.59,0.22,0.005,2015-12-09,2,24,29,53,-,12.4948912,75.8392181
HARANGI,86.0,0.6,0.22,0.165,2022-11-02,75.0,2.0,64.0,53,0.0,12.4948912,75.8392181
HARANGI,871.42,869.92,0.22,0.172,2023-09-29,78.0,89.0,88.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.35,0.22,0.186,2022-01-06,85.0,29.0,17.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.47,0.22,0.19,2022-01-12,86.0,30.0,17.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.37,0.22,0.22,2020-10-01,100,94,85,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.23,0.22,0.214,2023-09-14,97.0,95.0,90.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.24,0.22,0.22,2020-10-15,100,99,75,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.07,0.22,0.218,2020-10-29,99,97,64,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,856.37,0.22,0.04,2019-03-20,18,23,15,53,-,12.4948912,75.8392181
HARANGI,871.42,860.25,0.22,0.07,2021-05-27,32,38,17,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,861.29,0.22,0.067,2024-04-18,30.0,26.0,25.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,857.96,0.22,0.05,2018-12-06,23,30,28,53,-,12.4948912,75.8392181
HARANGI,871.42,866.97,0.22,0.12,2016-09-15,55,70,94,53,-,12.4948912,75.8392181
HARANGI,871.42,859.35,0.22,0.062,2017-01-11,28,4,10,53,-,12.4948912,75.8392181
HARANGI,871.42,870.43,0.22,0.197,2016-08-30,90,82,96,53,-,12.4948912,75.8392181
HARANGI,871.42,869.45,0.22,0.171,2016-09-29,78,46,88,53,-,12.4948912,75.8392181
HARANGI,871.42,866.72,0.22,0.116,2016-10-20,53,36,68,53,-,12.4948912,75.8392181
HARANGI,871.42,870.93,0.22,0.213,2015-07-27,97,91,83,53,-,12.4948912,75.8392181
HARANGI,871.42,862.28,0.22,0.072,2023-02-09,33.0,90.0,27.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.12,0.22,0.219,2019-08-29,100,92,94,53,-,12.4948912,75.8392181
HARANGI,871.42,856.48,0.22,0.04,2019-01-30,18,29,16,53,-,12.4948912,75.8392181
HARANGI,871.42,870.26,0.22,0.192,2018-09-19,87,98,89,53,-,12.4948912,75.8392181
HARANGI,871.42,871.05,0.22,0.217,2018-07-19,99,55,73,53,-,12.4948912,75.8392181
HARANGI,871.42,855.08,0.22,0.031,2019-06-06,14,3,14,53,-,12.4948912,75.8392181
HARANGI,871.42,862.14,0.22,0.071,2023-02-23,32.0,91.0,27.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,867.9,0.22,0.139,2015-09-21,63,100,96,53,-,12.4948912,75.8392181
HARANGI,871.42,859.77,0.22,0.066,2021-04-15,30,38,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,868.34,0.22,0.148,2016-07-06,67,49,54,53,-,12.4948912,75.8392181
HARANGI,871.42,860.37,0.22,0.071,2021-03-31,32,39,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.39,0.22,0.062,2021-04-28,28,38,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.7,0.22,0.074,2024-03-07,34.0,32.0,27.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,860.51,0.22,0.072,2021-06-09,33,38,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,855.54,0.22,0.034,2017-04-19,15,7,14,53,-,12.4948912,75.8392181
HARANGI,871.42,859.54,0.22,0.064,2018-01-31,29,29,15,53,-,12.4948912,75.8392181
HARANGI,871.42,859.39,0.22,0.062,2018-02-14,28,30,16,53,-,12.4948912,75.8392181
HARANGI,871.42,865.9,0.22,0.099,2023-07-13,45.0,79.0,68.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,869.95,0.22,0.173,2022-06-30,79.0,50.0,43.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,861.51,0.22,0.068,2023-07-06,31.0,80.0,55.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,856.8,0.22,0.042,2019-02-28,19,23,15,53,-,12.4948912,75.8392181
HARANGI,871.42,854.99,0.22,0.031,2019-06-13,14,29,17,53,-,12.4948912,75.8392181
HARANGI,871.42,870.38,0.22,0.196,2021-07-22,89,87,80,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,851.97,0.22,0.016,2016-03-10,7,9,16,53,-,12.4948912,75.8392181
HARANGI,871.42,855.97,0.22,0.037,2018-04-12,17,16,15,53,-,12.4948912,75.8392181
HARANGI,871.42,871.24,0.22,0.214,2023-08-23,97.0,96.0,96.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.13,0.22,0.219,2019-09-19,100,87,88,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,861.49,0.22,0.077,2016-11-09,35,17,51,53,-,12.4948912,75.8392181
HARANGI,871.42,870.88,0.22,0.212,2019-10-10,96,81,77,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,863.67,0.22,0.088,2020-03-19,40,18,17,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,850.17,0.22,0.01,2016-01-13,5,5,13,53,-,12.4948912,75.8392181
HARANGI,871.42,862.17,0.22,0.071,2022-12-22,32.0,78.0,24.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.88,0.22,0.211,2017-09-06,96,81,94,53,-,12.4948912,75.8392181
HARANGI,871.42,870.77,0.22,0.208,2016-08-23,95,93,97,53,-,12.4948912,75.8392181
HARANGI,871.42,852.6,0.22,0.019,2016-06-09,9,14,18,53,-,12.4948912,75.8392181
HARANGI,871.42,850.92,0.22,0.012,2016-01-27,5,7,16,53,-,12.4948912,75.8392181
HARANGI,871.42,871.02,0.22,0.216,2016-08-17,98,100,97,53,-,12.4948912,75.8392181
HARANGI,871.42,852.9,0.22,0.021,2015-11-18,10,45,50,53,-,12.4948912,75.8392181
HARANGI,871.42,869.89,0.22,0.171,2021-12-16,78.0,34.0,21.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.98,0.22,0.215,2017-10-25,98,52,64,53,-,12.4948912,75.8392181
HARANGI,871.42,870.65,0.22,0.199,2021-12-02,90.0,45.0,32.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,867.98,0.22,0.132,2022-05-11,60.0,29.0,17.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.24,0.22,0.052,2023-06-08,24.0,68.0,22.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.19,0.22,0.22,2021-10-07,100,100,80,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.58,0.22,0.193,2023-08-31,88.0,90.0,94.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,855.21,0.22,0.032,2019-05-30,15,0,14,53,-,12.4948912,75.8392181
HARANGI,871.42,870.37,0.22,0.186,2022-10-27,85.0,6.0,75,53,0.0,12.4948912,75.8392181
HARANGI,871.42,863.35,0.22,0.086,2020-01-08,39,16,15,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,863.05,0.22,0.076,2024-02-08,35.0,33.0,30.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.92,0.22,0.075,2024-02-22,34.0,32.0,30.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,855.48,0.22,0.034,2017-05-09,15,7,15,53,-,12.4948912,75.8392181
HARANGI,871.42,870.88,0.22,0.212,2020-08-13,96,90,95,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.99,0.22,0.215,2021-09-30,98,100,86,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,863.65,0.22,0.087,2020-01-22,40,18,17,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,856.61,0.22,0.041,2019-02-06,19,29,17,53,-,12.4948912,75.8392181
HARANGI,871.42,855.92,0.22,0.037,2018-04-03,17,16,15,53,-,12.4948912,75.8392181
HARANGI,871.42,859.25,0.22,0.052,2023-06-22,24.0,73.0,34.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,866.32,0.22,0.113,2020-11-26,51,64,39,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,858.87,0.22,0.058,2017-12-20,26,27,16,53,-,12.4948912,75.8392181
HARANGI,871.42,864.58,0.22,0.096,2018-06-27,44,28,35,53,-,12.4948912,75.8392181
HARANGI,871.42,871.02,0.22,0.216,2019-09-25,98,81,86,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.57,0.22,0.064,2018-06-13,29,19,17,53,-,12.4948912,75.8392181
HARANGI,871.42,871.0,0.22,0.215,2017-10-18,98,52,68,53,-,12.4948912,75.8392181
HARANGI,871.42,859.7,0.22,0.056,2023-04-27,25.0,60.0,21.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.99,0.22,0.215,2015-08-05,98,93,94,53,-,12.4948912,75.8392181
HARANGI,871.42,855.41,0.22,0.033,2016-06-22,15,25,25,53,-,12.4948912,75.8392181
HARANGI,871.42,870.83,0.22,0.21,2017-09-14,95,58,91,53,-,12.4948912,75.8392181
HARANGI,871.42,863.86,0.22,0.08,2022-12-08,36.0,84.0,32.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,860.44,0.22,0.071,2021-02-11,32,40,21,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,863.09,0.22,0.085,2020-03-24,39,17,17,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,850.06,0.22,0.009,2015-11-26,4,38,42,53,-,12.4948912,75.8392181
HARANGI,871.42,860.4,0.22,0.071,2021-02-04,32,40,20,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.84,0.22,0.201,2022-02-24,91.0,33.0,19.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,867.95,0.22,0.131,2022-05-04,60.0,29.0,17.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.81,0.22,0.2,2022-07-28,91.0,90.0,85.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.01,0.22,0.175,2022-07-14,80.0,70.0,64.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.25,0.22,0.192,2020-08-06,87,42,90,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,866.44,0.22,0.114,2021-07-07,52,59,55,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,855.45,0.22,0.034,2017-05-03,15,7,14,53,-,12.4948912,75.8392181
HARANGI,871.42,856.23,0.22,0.039,2018-05-09,18,15,15,53,-,12.4948912,75.8392181
HARANGI,871.42,860.43,0.22,0.062,2024-05-16,28.0,25.0,24.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,860.83,0.22,0.065,2024-05-02,30.0,25.0,23.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.22,0.22,0.182,2022-10-20,83.0,100.0,76.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.67,0.22,0.065,2017-02-09,30,6,13,53,-,12.4948912,75.8392181
HARANGI,871.42,871.14,0.22,0.22,2021-09-09,100,93,91,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,855.18,0.22,0.032,2019-05-22,15,4,14,53,-,12.4948912,75.8392181
HARANGI,871.42,871.12,0.22,0.21,2022-09-15,95.0,100.0,90.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.24,0.22,0.22,2021-10-13,100,98,77,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.15,0.22,0.071,2023-01-12,32.0,86.0,25.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.92,0.22,0.204,2022-09-01,93.0,100.0,95.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.68,0.22,0.196,2022-09-29,89.0,98.0,86.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.16,0.22,0.211,2021-10-28,96.0,95.0,68.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.43,0.22,0.063,2018-01-18,29,29,15,53,-,12.4948912,75.8392181
HARANGI,871.42,849.75,0.22,0.008,2016-01-06,4,5,12,53,-,12.4948912,75.8392181
HARANGI,871.42,862.88,0.22,0.084,2020-04-02,38,15,16,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.04,0.22,0.217,2017-09-28,99,75,87,53,-,12.4948912,75.8392181
HARANGI,871.42,862.75,0.22,0.083,2020-04-16,38,14,15,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,860.11,0.22,0.068,2021-05-20,31,38,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.12,0.22,0.219,2019-10-17,100,78,73,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.55,0.22,0.201,2019-10-03,91,84,85,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,866.12,0.22,0.111,2018-11-07,50,59,50,53,-,12.4948912,75.8392181
HARANGI,871.42,857.32,0.22,0.046,2016-11-16,21,11,46,53,-,12.4948912,75.8392181
HARANGI,871.42,861.76,0.22,0.069,2023-03-16,31.0,63.0,23.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.02,0.22,0.071,2023-03-02,32.0,89.0,25.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,861.17,0.22,0.076,2016-11-03,35,22,56,53,-,12.4948912,75.8392181
HARANGI,871.42,859.5,0.22,0.063,2018-01-25,29,29,16,53,-,12.4948912,75.8392181
HARANGI,871.42,857.83,0.22,0.049,2018-03-08,22,17,15,53,-,12.4948912,75.8392181
HARANGI,871.42,851.89,0.22,0.016,2016-02-27,7,8,16,53,-,12.4948912,75.8392181
HARANGI,871.42,868.26,0.22,0.138,2023-11-02,63.0,75.0,67.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,868.14,0.22,0.135,2023-11-16,61.0,56.0,50.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,851.98,0.22,0.016,2016-03-17,7,9,16,53,-,12.4948912,75.8392181
HARANGI,871.42,865.14,0.22,0.101,2019-12-11,46,17,24,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.85,0.22,0.084,2020-06-04,38,15,15,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,857.86,0.22,0.049,2018-03-22,22,16,15,53,-,12.4948912,75.8392181
HARANGI,871.42,862.08,0.22,0.071,2023-01-05,32.0,84.0,24.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,869.94,0.22,0.173,2022-07-07,79.0,52.0,51.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.66,0.22,0.055,2023-06-30,25.0,79.0,49.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.84,0.22,0.084,2018-11-20,38,37,39,53,-,12.4948912,75.8392181
HARANGI,871.42,861.6,0.22,0.078,2017-07-05,35,62,50,53,-,12.4948912,75.8392181
HARANGI,871.42,863.47,0.22,0.087,2017-07-10,40,85,60,53,-,12.4948912,75.8392181
HARANGI,871.42,860.92,0.22,0.075,2016-06-29,34,43,40,53,-,12.4948912,75.8392181
HARANGI,871.42,859.84,0.22,0.057,2023-04-20,26.0,60.0,21.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.07,0.22,0.218,2018-08-01,99,100,92,53,-,12.4948912,75.8392181
HARANGI,871.42,849.47,0.22,0.007,2018-06-06,3,16,16,53,-,12.4948912,75.8392181
HARANGI,871.42,856.73,0.22,0.042,2019-02-14,19,28,17,53,-,12.4948912,75.8392181
HARANGI,871.42,855.09,0.22,0.031,2019-05-09,14,18,15,53,-,12.4948912,75.8392181
HARANGI,871.42,851.99,0.22,0.016,2016-04-21,7,10,15,53,-,12.4948912,75.8392181
HARANGI,871.42,863.05,0.22,0.085,2020-06-11,39,14,16,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.62,0.22,0.064,2017-02-22,29,7,14,53,-,12.4948912,75.8392181
HARANGI,871.42,863.73,0.22,0.088,2020-01-30,40,18,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.31,0.22,0.22,2021-09-23,100,100,86,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,867.15,0.22,0.124,2019-12-05,56,24,30,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,860.54,0.22,0.063,2024-05-09,29.0,25.0,24.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,869.67,0.22,0.167,2022-10-13,76.0,100.0,80.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,865.07,0.22,0.091,2023-11-30,41.0,42.0,40.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,851.99,0.22,0.016,2016-03-31,7,9,16,53,-,12.4948912,75.8392181
HARANGI,871.42,868.71,0.22,0.147,2022-05-25,67.0,31.0,16.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.09,0.22,0.218,2017-10-11,99,49,74,53,-,12.4948912,75.8392181
HARANGI,871.42,870.84,0.22,0.21,2019-10-31,95,59,59,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.48,0.22,0.063,2021-05-05,29,38,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,857.43,0.22,0.046,2015-11-04,21,60,63,53,-,12.4948912,75.8392181
HARANGI,871.42,871.06,0.22,0.217,2016-08-04,99,97,94,53,-,12.4948912,75.8392181
HARANGI,871.42,870.89,0.22,0.212,2016-08-10,96,100,94,53,-,12.4948912,75.8392181
HARANGI,871.42,850.51,0.22,0.011,2016-01-20,5,6,15,53,-,12.4948912,75.8392181
HARANGI,871.42,863.8,0.22,0.088,2020-03-04,40,19,17,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,859.57,0.22,0.064,2021-05-12,29,38,18,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,862.69,0.22,0.083,2020-04-30,38,14,15,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.13,0.22,0.219,2019-10-24,100,69,68,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,857.74,0.22,0.048,2016-11-23,22,5,39,53,-,12.4948912,75.8392181
HARANGI,871.42,869.93,0.22,0.172,2021-12-23,78.0,28.0,18.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,860.33,0.22,0.061,2023-03-30,28.0,63.0,20.0,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,871.18,0.22,0.22,2019-09-05,100,87,92,53.0,0.0,12.4948912,75.8392181
HARANGI,871.42,870.18,0.22,0.189,2020-11-05,86,93,57,53.0,0.0,12.4948912,75.8392181
