NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
HARIHARJHOR,147.5,145.74,0.059,0.048,2020-12-17,81,88,61,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.46,0.059,0.024,2021-03-25,41,78,34,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.16,0.059,0.052,2020-02-06,88,41,49,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.66,0.059,0.054,2023-10-26,92.0,80.0,76.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.95,0.059,0.025,2021-11-25,42.0,81.0,71.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,140.7,0.059,0.0,2022-06-09,0.0,0.0,22.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.77,0.059,0.055,2022-08-18,93.0,22.0,78.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.59,0.059,0.025,2021-11-18,42.0,80.0,71.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.73,0.059,0.055,2022-08-23,93.0,22.0,76.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,147.2,0.059,0.057,2023-09-06,97.0,93.0,80.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.9,0.059,0.056,2020-07-22,95,0,42,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.50,144.71,0.05,0.036,2022-11-10,61.0,4.0,6.0,.,5.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,145.5,0.059,0.045,2021-01-21,76,90,58,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.1,0.059,0.02,2021-08-05,34,95,66,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.67,0.059,0.026,2021-03-18,44,81,36,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,140.21,0.059,0.0,2023-05-04,0.0,2.0,19.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,145.7,0.059,0.047,2023-12-28,80.0,58.0,58.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.55,0.059,0.054,2020-09-24,92,88,86,10,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,145.5,0.059,0.045,2020-07-08,76,0,24,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,147.0,0.059,0.056,2023-10-19,95.0,88.0,81.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,140.69,0.059,0.0,2022-06-23,0.0,0.0,22.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,141.0,0.059,0.0,2021-06-17,0,59,24,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.82,0.059,0.0,2021-06-03,0,59,22,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,142.57,0.059,0.015,2021-08-12,25,90,69,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,144.54,0.059,0.035,2024-03-14,59.0,10.0,37.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.88,0.059,0.028,2024-03-28,47.0,19.0,34.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,145.7,0.059,0.047,2023-12-21,80.0,58.0,61.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,145.7,0.059,0.047,2024-01-11,80.0,58.0,58.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,139.7,0.059,0.0,2023-05-11,0.0,0.0,19.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,142.86,0.059,0.018,2022-03-17,31.0,44.0,39.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,144.69,0.059,0.036,2020-05-16,61,0,20,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.16,0.059,0.02,2024-04-25,34.0,0.0,20.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.38,0.059,0.053,2020-07-30,90,0,44,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,144.5,0.059,0.034,2022-11-17,58.0,42.0,64.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,145.11,0.05,0.041,2022-11-03,6.0,56.0,73.0,.,5.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,147.1,0.059,0.056,2023-09-29,95.0,88.0,90.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.59,0.059,0.025,2022-01-06,42.0,81.0,71.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.8,0.059,0.027,2022-01-13,46.0,80.0,66.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.73,0.059,0.055,2020-09-30,93,88,85,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,147.0,0.059,0.056,2023-09-14,95.0,90.0,86.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.85,0.059,0.055,2020-10-14,93,88,81,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.69,0.059,0.054,2020-10-29,92,88,71,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,140.83,0.059,0.0,2021-05-27,0,61,24,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.3,0.059,0.022,2024-04-18,37.0,0.0,24.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.63,0.059,0.025,2023-02-09,42.0,42.0,54.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.14,0.059,0.02,2023-02-23,34.0,39.0,46.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,142.56,0.059,0.015,2021-04-15,25,66,36,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.22,0.059,0.021,2021-04-01,36,75,41,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,141.74,0.059,0.006,2021-04-29,10,66,27,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,144.73,0.059,0.036,2024-03-07,61.0,10.0,39.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,140.82,0.059,0.0,2021-06-08,0,59,25,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,140.5,0.059,0.0,2023-07-13,0.0,24.0,25.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,142.02,0.059,0.011,2022-06-30,19.0,0.0,29.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,140.0,0.059,0.0,2023-07-06,0.0,20.0,24.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,141.55,0.059,0.002,2021-07-22,3,95,49,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,147.1,0.059,0.056,2023-08-24,95.0,93.0,76.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,145.75,0.059,0.048,2020-03-19,81,19,31,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,144.5,0.059,0.034,2022-12-22,58.0,42.0,63.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.59,0.059,0.025,2021-12-16,42.0,81.0,69.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,143.59,0.059,0.025,2021-12-02,42.0,81.0,69.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,141.0,0.059,0.0,2022-05-12,0.0,0.0,24.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,139.61,0.059,0.0,2023-06-08,0.0,0.0,17.0,9.95,0.0,84.0151588306839,21.0375606778149
HARIHARJHOR,147.5,146.11,0.059,0.051,2021-10-07,86,93,90,9.95,0.0,84.0151588306839,21.0375606778149
