NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
HATHMATI,180.74,180.02,0.153,0.127,2020-12-17,83,84,47,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.94,0.153,0.057,2021-03-25,37,41,12,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,179.16,0.153,0.102,2020-02-06,67,27,20,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.61,0.153,0.063,2023-10-26,41.0,97.0,57.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.97,0.153,0.057,2021-11-24,37.0,92.0,75.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,172.24,0.153,0.005,2022-06-09,3.0,32.0,12.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,179.8,0.153,0.121,2022-08-18,79.0,30.0,22.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.0,0.153,0.058,2021-11-17,38.0,96.0,79.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,181.02,0.153,0.149,2022-08-25,97.0,30.0,28.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.31,0.153,0.064,2023-09-06,42.0,97.0,42.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.3,0.153,0.048,2020-07-23,31,7,7,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.75,0.153,0.14,2022-11-10,7.0,38.0,61.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,179.31,0.153,0.106,2021-01-21,69,73,37,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.12,0.153,0.046,2021-08-05,30,31,18,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.0,0.153,0.058,2021-03-18,38,41,13,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.09,0.153,0.06,2023-05-04,39.0,5.0,18.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.74,0.153,0.054,2024-01-03,35.0,77.0,59.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.89,0.153,0.149,2020-09-24,97,32,39,5,0.0,23.5378487,72.899316
HATHMATI,180.74,177.3,0.153,0.048,2020-07-09,31,8,6,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.64,0.153,0.071,2023-10-19,46.0,97.0,59.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,172.12,0.153,0.004,2022-06-23,3.0,31.0,8.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.3,0.153,0.048,2021-06-17,31,32,8,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.39,0.153,0.049,2021-06-03,32,33,9,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.12,0.153,0.046,2021-08-12,30,31,20,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,175.96,0.153,0.032,2024-03-14,21.0,42.0,24.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,175.87,0.153,0.031,2024-03-28,20.0,42.0,24.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.91,0.153,0.057,2023-12-21,37.0,82.0,63.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.66,0.153,0.053,2024-01-11,35.0,75.0,57.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.03,0.153,0.059,2023-05-11,39.0,5.0,15.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,174.83,0.153,0.021,2019-08-14,14,35,18,5.166,0,23.5378487,72.899316
HATHMATI,180.74,173.25,0.153,0.01,2022-03-16,7.0,38.0,24.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.75,0.153,0.149,2019-11-20,97,65,37,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.73,0.153,0.054,2020-05-21,35,8,9,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,175.69,0.153,0.029,2024-04-25,19.0,40.0,22.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.24,0.153,0.047,2020-07-30,31,7,14,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.71,0.153,0.148,2022-11-17,97.0,38.0,71.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.75,0.153,0.14,2022-11-03,7.0,3.0,55.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.64,0.153,0.071,2023-09-29,46.0,97.0,51.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,176.9,0.153,0.043,2022-01-05,28.0,74.0,48.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,176.6,0.153,0.039,2022-01-12,25.0,73.0,45.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.88,0.153,0.149,2020-10-01,97,41,44,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.31,0.153,0.064,2023-09-14,42.0,97.0,46.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.76,0.153,0.149,2020-10-15,97,97,50,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.75,0.153,0.149,2020-10-29,97,97,50,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.45,0.153,0.05,2021-05-27,33,35,8,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,175.72,0.153,0.029,2024-04-18,19.0,41.0,22.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,179.01,0.153,0.098,2023-02-09,64.0,16.0,34.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,175.75,0.153,0.033,2019-08-29,22,37,22,5.166,0,23.5378487,72.899316
HATHMATI,180.74,178.76,0.153,0.092,2023-02-23,60.0,13.0,30.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.82,0.153,0.055,2021-04-15,36,38,10,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.91,0.153,0.057,2021-04-01,37,39,12,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.67,0.153,0.053,2021-04-29,35,37,12,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,175.99,0.153,0.032,2024-03-07,21.0,43.0,27.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.33,0.153,0.048,2021-06-10,31,32,8,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.06,0.153,0.059,2023-07-13,39.0,5.0,8.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,172.06,0.153,0.004,2022-06-30,3.0,31.0,10.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.79,0.153,0.055,2023-07-06,36.0,3.0,10.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.09,0.153,0.045,2021-07-22,29,31,10,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.34,0.153,0.065,2023-08-24,42.0,97.0,36.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.33,0.153,0.048,2019-09-19,31,38,35,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.59,0.153,0.145,2019-10-10,95,66,41,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.22,0.153,0.062,2020-03-18,41,10,5,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,180.01,0.153,0.126,2022-12-22,82.0,30.0,48.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.21,0.153,0.047,2021-12-16,31.0,83.0,55.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.76,0.153,0.054,2021-12-01,35.0,88.0,68.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,172.82,0.153,0.008,2022-05-12,5.0,33.0,20.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,177.82,0.153,0.055,2023-06-08,36.0,3.0,10.0,5.166,0.0,23.5378487,72.899316
HATHMATI,180.74,178.18,0.153,0.062,2021-10-07,41,97,57,5.166,0.0,23.5378487,72.899316
