NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
HEMAVATHY,890.63,875.13,0.927,0.154,2016-10-26,17,25,77,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,883.68,0.927,0.507,2020-12-17,55,70,39,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,887.58,0.927,0.761,2015-07-22,82,55,65,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,888.5,0.927,0.832,2018-10-03,90,34,73,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,869.47,0.927,0.036,2017-06-07,4,10,7,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,879.88,0.927,0.313,2021-03-25,34,51,19,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,883.62,0.927,0.503,2020-02-06,54,18,22,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,882.19,0.927,0.429,2017-08-31,46,53,83,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,883.77,0.927,0.426,2023-10-26,46.0,99.0,71.0,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,872.71,0.927,0.093,2016-05-11,10,14,10,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,873.25,0.927,0.105,2018-05-31,11,4,8,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,873.28,0.927,0.105,2016-12-22,11,15,39,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,887.9,0.927,0.785,2021-11-25,85.0,78.0,50.0,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,885.46,0.927,0.616,2022-06-09,66.0,25.0,13.0,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,890.58,0.927,0.923,2022-08-18,100.0,93.0,85.0,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,886.92,0.927,0.714,2021-11-18,77.0,85.0,54.0,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,890.6,0.927,0.924,2022-08-25,100.0,90.0,84.0,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,885.07,0.927,0.505,2023-09-06,54.0,100.0,84.0,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,872.36,0.927,0.086,2018-05-22,9,4,9,265,-,13.1463734,76.4483751
HEMAVATHY,890.63,882.5,0.927,0.445,2020-07-23,48,39,56,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,876.04,0.927,0.175,2015-12-02,19,68,62,265,-,13.1463734,76.4483751
HEMAVATHY,.77,0.0,27.0,0.851,2022-11-10,2.0,75.0,58.0,265,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,880.68,0.927,0.35,2021-01-20,38,54,27,265.0,0.0,13.1463734,76.4483751
HEMAVATHY,890.63,889.94,0.927,0.927,2021-08-05,100,60,72,265.0,0.0,13.1463734,76.4483751
