NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
HIRAKUD,192.02,192.07,5.378,4.852,2016-10-26,90,82,92,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.16,5.378,4.274,2020-12-16,79,87,86,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,185.43,5.378,1.494,2015-07-21,28,13,23,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.86,5.378,4.72,2018-10-04,88,91,95,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,183.86,5.378,0.987,2017-06-07,18,14,15,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,187.3,5.378,2.219,2021-03-24,41,69,53,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,190.81,5.378,4.058,2020-02-06,75,63,69,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,188.84,5.378,2.941,2017-08-31,55,56,66,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.52,5.378,4.51,2023-10-26,84.0,89.0,87.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,185.3,5.378,1.452,2016-05-11,27,24,27,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,184.88,5.378,1.307,2018-05-30,24,22,18,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.64,5.378,4.581,2016-12-22,85,72,83,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.9,5.378,4.745,2021-11-24,88.0,81.0,86.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,183.25,5.378,0.807,2022-06-08,15.0,17.0,17.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,190.37,5.378,3.778,2022-08-18,70.0,34.0,46.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,191.92,5.378,4.759,2021-11-18,88.0,82.0,86.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,190.14,5.378,3.651,2022-08-25,68.0,50.0,57.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,189.2,5.378,3.134,2023-09-06,58.0,69.0,70.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,185.38,5.378,1.479,2018-05-23,28,24,21,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,183.74,5.378,0.951,2020-07-22,18,11,21,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,190.59,5.378,3.909,2015-12-03,73,86,90,153,307,21.54901785,83.8937312620797
HIRAKUD,1,1.5,5.378,4.551,2022-11-10,85.0,88.0,86.0,153,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,190.12,5.378,3.641,2021-01-21,68,80,76,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,186.14,5.378,1.752,2021-08-04,33,22,33,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,190.54,5.378,3.876,2015-12-17,72,82,86,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,187.66,5.378,2.376,2021-03-18,44,68,57,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,188.08,5.378,2.579,2017-08-23,48,50,56,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.66,5.378,4.6,2018-10-11,86,91,92,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,186.11,5.378,1.739,2023-05-04,32.0,30.0,31.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,191.42,5.378,4.439,2024-01-04,83.0,77.0,77.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,184.8,5.378,1.282,2016-07-27,24,31,35,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,182.22,5.378,0.535,2016-07-13,10,44,16,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.76,5.378,4.659,2020-09-23,87,90,88,153,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,183.04,5.378,0.745,2020-07-07,14,12,10,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,189.22,5.378,3.144,2016-02-18,58,58,65,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,191.57,5.378,4.532,2023-10-19,84.0,90.0,87.0,153.0,307.0,21.54901785,83.8937312620797
HIRAKUD,192.02,185.57,5.378,1.543,2016-05-04,29,27,29,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,187.57,5.378,2.335,2019-04-10,43,42,41,153,307,21.54901785,83.8937312620797
HIRAKUD,192.02,182.97,5.378,0.727,2022-06-23,14.0,19.0,17.0,153.0,307.0,21.54901785,83.8937312620797
