NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
IDAMALAYAR,169.0,154.01,1.018,0.609,2016-10-26,60,53,79,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,162.34,1.018,0.826,2020-12-17,81,77,71,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,145.3,1.018,0.413,2015-07-22,41,35,42,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,159.72,1.018,0.752,2018-10-03,74,74,73,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,131.6,1.018,0.17,2017-06-07,17,16,15,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,147.82,1.018,0.467,2021-03-25,46,44,41,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,154.58,1.018,0.622,2020-02-06,61,54,58,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,151.32,1.018,0.546,2017-08-31,54,54,66,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,155.24,1.018,0.638,2023-10-26,63.0,82.0,78.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,134.3,1.018,0.209,2016-05-12,21,28,23,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,130.14,1.018,0.149,2018-05-31,15,17,16,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,153.66,1.018,0.6,2016-12-22,59,56,72,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,165.55,1.018,0.918,2021-11-25,90.0,84.0,74.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,138.46,1.018,0.28,2022-06-09,28.0,28.0,16.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,163.32,1.018,0.854,2022-08-18,84.0,66.0,62.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,165.39,1.018,0.914,2021-11-18,90.0,85.0,75.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,163.05,1.018,0.846,2022-08-25,83.0,68.0,64.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,145.82,1.018,0.424,2023-09-06,42.0,88.0,73.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,131.54,1.018,0.169,2018-05-23,17,19,18,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,135.88,1.018,0.233,2020-07-23,23,16,41,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,152.4,1.018,0.571,2015-12-02,56,89,80,33,75,10.1925052,76.7211181
IDAMALAYAR,160.,0.0,1.018,0.785,2022-11-10,77.0,0.0,75.0,33,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,158.89,1.018,0.729,2021-01-20,72,69,64,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,154.57,1.018,0.622,2021-08-05,61,35,51,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,152.43,1.018,0.572,2015-12-17,56,86,75,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,149.0,1.018,0.493,2021-03-18,48,46,43,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,147.2,1.018,0.453,2017-08-23,44,52,63,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,158.94,1.018,0.73,2018-10-10,72,73,74,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,140.56,1.018,0.32,2023-05-04,31.0,34.0,26.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,157.57,1.018,0.694,2024-01-04,68.0,69.0,71.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,146.64,1.018,0.441,2016-07-28,43,46,47,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,141.26,1.018,0.334,2016-07-13,33,35,32,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,163.43,1.018,0.857,2020-09-24,84,71,76,33,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,130.92,1.018,0.16,2020-07-09,16,10,28,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,148.33,1.018,0.478,2016-02-18,47,65,56,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,154.61,1.018,0.623,2023-10-19,61.0,82.0,78.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,134.94,1.018,0.219,2016-05-05,22,31,26,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,139.88,1.018,0.307,2019-04-08,30,35,33,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,139.34,1.018,0.296,2022-06-23,29.0,35.0,21.0,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,154.2,1.018,0.613,2016-12-08,60,56,76,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,140.96,1.018,0.328,2019-04-03,32,38,35,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,140.35,1.018,0.316,2021-06-16,31,14,16,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,138.49,1.018,0.281,2021-06-02,28,16,15,33.0,75.0,10.1925052,76.7211181
IDAMALAYAR,169.0,137.75,1.018,0.267,2017-04-27,26,24,28,33,75,10.1925052,76.7211181
IDAMALAYAR,169.0,147.28,1.018,0.455,2016-02-25,45,63,53,33,75,10.1925052,76.7211181
