NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
IDUKKI,732.43,715.67,1.46,0.645,2016-10-26,44,56,69,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,728.84,1.46,1.262,2020-12-17,86,77,67,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,717.5,1.46,0.719,2015-07-22,49,28,37,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,727.78,1.46,1.204,2018-10-03,82,61,63,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,701.27,1.46,0.158,2017-06-07,11,19,18,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,717.65,1.46,0.725,2021-03-25,50,56,42,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,723.31,1.46,0.978,2020-02-06,67,66,56,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,714.35,1.46,0.592,2017-08-31,41,47,58,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,717.49,1.46,0.718,2023-10-26,49.0,81.0,75.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,706.89,1.46,0.326,2016-05-12,22,41,25,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,708.17,1.46,0.369,2018-05-31,25,11,18,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,713.96,1.46,0.576,2016-12-22,39,59,68,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,731.66,1.46,1.415,2021-11-25,97.0,89.0,69.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,713.04,1.46,0.54,2022-06-09,37.0,39.0,22.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,727.16,1.46,1.171,2022-08-18,80.0,66.0,58.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,731.34,1.46,1.397,2021-11-18,96.0,89.0,69.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,726.91,1.46,1.157,2022-08-25,79.0,67.0,59.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,709.93,1.46,0.431,2023-09-06,30.0,80.0,67.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,708.28,1.46,0.373,2018-05-23,26,12,21,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,711.23,1.46,0.476,2020-07-23,33,18,40,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,720.63,1.46,0.853,2015-12-02,58,78,74,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,727.25,1.46,1.176,2022-11-10,81.0,4.0,71.0,0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,727.06,1.46,1.165,2021-01-20,80,71,61,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,722.48,1.46,0.939,2021-08-05,64,41,48,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,720.9,1.46,0.865,2015-12-17,59,76,72,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,718.79,1.46,0.771,2021-03-18,53,58,45,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,711.93,1.46,0.501,2017-08-23,34,46,56,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,727.62,1.46,1.196,2018-10-10,82,62,64,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,710.68,1.46,0.457,2023-05-04,31.0,38.0,31.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,720.9,1.46,0.866,2024-01-04,59.0,69.0,70.0,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,714.06,1.46,0.58,2016-07-28,40,54,43,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,711.31,1.46,0.479,2016-07-13,33,45,31,-,780,9.8154785,76.9991599480914
IDUKKI,732.43,727.48,1.46,1.188,2020-09-24,81,69,68,0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,710.41,1.46,0.448,2020-07-09,31,13,30,0.0,780.0,9.8154785,76.9991599480914
IDUKKI,732.43,717.44,1.46,0.716,2016-02-18,49,63,54,-,780,9.8154785,76.9991599480914
