NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
INDIRA SAGAR,262.13,261.98,9.745,9.655,2016-10-27,99,80,75,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,260.35,9.745,8.254,2020-12-17,85,92,67,2380.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,251.05,9.745,2.423,2015-07-23,25,17,16,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,261.87,9.745,9.589,2018-10-04,98,38,79,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,248.81,9.745,1.702,2017-06-08,17,12,8,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,254.71,9.745,4.173,2021-03-23,43,54,35,2380.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,258.92,9.745,7.056,2020-02-06,72,60,45,2380.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,252.27,9.745,2.899,2017-08-31,30,84,68,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,261.66,9.745,8.909,2023-10-19,91.0,94.0,89.0,123.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,249.3,9.745,1.9,2016-05-12,19,21,14,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,249.25,9.745,1.88,2018-05-31,19,21,11,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,259.79,9.745,7.771,2016-12-22,80,63,54,2380,1000,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,258.71,9.745,6.914,2021-11-25,71.0,95.0,77.0,2380.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,248.1,9.745,1.431,2022-06-09,15.0,15.0,15.0,123.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,261.14,9.745,8.497,2022-08-18,87.0,27.0,60.0,123.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,259.05,9.745,7.136,2021-11-18,73.0,98.0,80.0,2380.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,261.86,9.745,9.068,2022-08-25,93.0,32.0,71.0,123.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,260.27,9.745,7.807,2023-09-06,80.0,93.0,79.0,123.0,1000.0,22.28453935,76.4718831695605
INDIRA SAGAR,262.13,249.64,9.745,2.039,2018-05-24,21,23,13,2380,1000,22.28453935,76.4718831695605
