NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
ISAPUR,441.0,435.34,0.965,0.484,2016-10-26,50,36,70,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,440.19,0.965,0.887,2020-12-17,92,77,59,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,429.96,0.965,0.187,2015-07-22,19,44,32,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,437.64,0.965,0.643,2018-10-04,67,15,57,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,426.5,0.965,0.032,2017-06-08,3,2,23,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,437.79,0.965,0.656,2021-03-25,68,55,38,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,437.33,0.965,0.619,2020-02-06,64,38,42,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,427.62,0.965,0.075,2017-08-29,8,34,53,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,439.26,0.965,0.804,2023-10-26,83.0,100.0,69.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,427.63,0.965,0.075,2016-05-11,8,20,29,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,423.36,0.965,0.0,2018-05-31,0,4,21,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,434.31,0.965,0.416,2016-12-21,43,22,56,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,441.0,0.965,0.964,2021-11-25,100.0,99.0,65.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,435.19,0.965,0.462,2022-06-09,48.0,43.0,21.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,440.61,0.965,0.927,2022-08-18,96.0,70.0,44.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,441.0,0.965,0.964,2021-11-18,100.0,100.0,66.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,440.64,0.965,0.928,2022-08-25,96.0,80.0,52.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,437.95,0.965,0.669,2023-09-06,69.0,97.0,59.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,423.76,0.965,0.0,2018-05-23,0,7,22,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,435.2,0.965,0.463,2020-07-23,48,1,29,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,431.7,0.965,0.269,2015-12-02,28,65,66,104,-,20.5899347,77.2098188093994
ISAPUR,0.,65.0,0.0,64.0,2022-11-10,100.0,100.0,73.0,104,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,439.52,0.965,0.827,2021-01-21,86,69,55,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,437.76,0.965,0.653,2021-08-05,68,53,44,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,430.7,0.965,0.221,2015-12-17,23,58,63,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,437.88,0.965,0.663,2021-03-18,69,56,39,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,427.47,0.965,0.069,2017-08-23,7,33,53,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,437.58,0.965,0.639,2018-10-11,66,15,58,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,436.15,0.965,0.526,2023-05-04,55.0,59.0,30.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,438.17,0.965,0.686,2024-01-04,71.0,90.0,62.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,428.68,0.965,0.123,2016-07-27,13,18,37,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,427.14,0.965,0.056,2016-07-13,6,22,31,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,441.0,0.965,0.964,2020-09-24,100,28,60,104,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,434.56,0.965,0.42,2020-07-09,44,0,22,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,430.15,0.965,0.195,2016-02-17,20,42,48,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,439.3,0.965,0.807,2023-10-19,84.0,100.0,75.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,427.82,0.965,0.083,2016-05-04,9,21,30,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,430.23,0.965,0.187,2019-04-10,19,1,23,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,435.37,0.965,0.475,2022-06-23,49.0,48.0,23.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,435.08,0.965,0.466,2016-12-07,48,26,63,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,430.58,0.965,0.203,2019-04-04,21,3,29,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,434.87,0.965,0.441,2021-06-17,46,36,21,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,434.59,0.965,0.422,2021-06-03,44,36,21,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,429.24,0.965,0.155,2017-04-26,16,10,32,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,430.1,0.965,0.193,2016-02-24,20,39,46,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,437.87,0.965,0.662,2021-08-12,69,54,45,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,436.46,0.965,0.552,2024-03-14,57.0,69.0,46.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,435.66,0.965,0.495,2024-03-28,51.0,65.0,43.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,426.44,0.965,0.03,2017-06-21,3,1,24,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,438.71,0.965,0.757,2023-12-21,78.0,92.0,61.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,438.05,0.965,0.661,2024-01-11,68.0,89.0,59.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,436.18,0.965,0.527,2023-05-11,55.0,56.0,28.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,430.55,0.965,0.214,2015-07-08,22,44,27,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,433.08,0.965,0.343,2015-09-29,36,81,70,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,433.83,0.965,0.375,2019-01-24,39,7,43,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,429.21,0.965,0.141,2019-08-14,15,34,45,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,429.15,0.965,0.151,2017-11-01,16,50,68,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,429.06,0.965,0.147,2017-11-15,15,49,64,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,438.4,0.965,0.705,2022-03-17,73.0,69.0,42.0,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,438.76,0.965,0.762,2019-11-21,79,60,58,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,433.88,0.965,0.378,2020-05-21,39,7,20,104.0,0.0,20.5899347,77.2098188093994
ISAPUR,441.0,433.18,0.965,0.348,2015-10-29,36,76,71,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,433.22,0.965,0.351,2015-10-14,36,80,71,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,435.58,0.965,0.489,2018-12-13,51,14,51,104,-,20.5899347,77.2098188093994
ISAPUR,441.0,434.31,0.965,0.404,2024-04-25,42.0,56.0,35.0,104.0,0.0,20.5899347,77.2098188093994
