NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
JAISAMAND,295.54,293.38,0.296,0.192,2023-10-26,65.0,100.0,75.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.71,0.296,0.093,2022-06-09,31.0,54.0,31.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,296.05,0.296,0.159,2022-08-18,54.0,51.0,41.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,297.49,0.296,0.217,2022-08-25,73.0,51.0,49.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,293.06,0.296,0.179,2023-09-06,60.0,91.0,63.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,0.2,6.0,0.2,6.0,2022-11-10,100.0,6.0,70.0,16,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.96,0.296,0.176,2023-05-04,59.0,56.0,38.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.54,0.296,0.16,2024-01-04,54.0,88.0,64.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,293.42,0.296,0.194,2023-10-19,66.0,100.0,75.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.63,0.296,0.09,2022-06-23,30.0,53.0,29.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.66,0.296,0.091,2024-03-14,31.0,63.0,51.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.62,0.296,0.089,2024-03-28,30.0,63.0,48.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.8,0.296,0.17,2023-12-21,57.0,92.0,67.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.26,0.296,0.15,2024-01-11,51.0,86.0,63.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.96,0.296,0.176,2023-05-11,59.0,55.0,37.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.05,0.296,0.086,2024-04-25,29.0,59.0,44.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,299.09,0.296,0.296,2022-11-17,100.0,68.0,68.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,0.2,6.0,0.2,6.0,2022-11-03,100.0,6.0,70.0,16,0.0,24.2408582,73.9493619
JAISAMAND,295.54,293.34,0.296,0.191,2023-09-29,65.0,100.0,74.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,293.06,0.296,0.179,2023-09-14,60.0,95.0,68.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.61,0.296,0.088,2024-04-18,30.0,62.0,45.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,294.12,0.296,0.225,2023-02-09,76.0,76.0,53.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,293.72,0.296,0.208,2023-02-23,70.0,76.0,50.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.76,0.296,0.094,2024-03-07,32.0,63.0,50.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.74,0.296,0.167,2023-07-13,56.0,31.0,30.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,290.56,0.296,0.088,2022-06-30,30.0,52.0,29.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.66,0.296,0.165,2023-07-06,56.0,30.0,30.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,293.04,0.296,0.178,2023-08-24,60.0,73.0,53.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,298.64,0.296,0.272,2022-12-22,92.0,68.0,61.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,292.78,0.296,0.169,2023-06-08,57.0,31.0,32.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,293.06,0.296,0.179,2023-08-31,60.0,73.0,58.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,0.2,6.0,0.2,6.0,2022-10-27,100.0,6.0,70,16,0.0,24.2408582,73.9493619
JAISAMAND,295.54,291.66,0.296,0.128,2024-02-08,43.0,76.0,58.0,16.0,0.0,24.2408582,73.9493619
JAISAMAND,295.54,291.16,0.296,0.109,2024-02-22,37.0,70.0,55.0,16.0,0.0,24.2408582,73.9493619
