NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
JAWAI DAM,313.4,313.41,0.193,0.193,2023-10-26,100.0,100.0,66.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,299.16,0.193,0.027,2021-11-25,14.0,78.0,56.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,292.27,0.193,0.009,2022-06-09,5.0,23.0,14.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,307.94,0.193,0.1,2022-08-18,52.0,1.0,31.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,299.39,0.193,0.028,2021-11-18,15.0,79.0,56.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,309.94,0.193,0.131,2022-08-25,68.0,1.0,37.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,313.3,0.193,0.191,2023-09-06,99.0,78.0,53.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,304.57,0.193,0.061,2023-05-04,32.0,6.0,16.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,310.32,0.193,0.12,2024-01-04,62.0,62.0,44.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,313.41,0.193,0.193,2023-10-19,100.0,100.0,67.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,292.19,0.193,0.009,2022-06-23,5.0,23.0,13.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,304.34,0.193,0.045,2024-03-14,23.0,31.0,22.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,303.97,0.193,0.042,2024-03-28,22.0,24.0,19.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,311.24,0.193,0.143,2023-12-21,74.0,67.0,45.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,310.22,0.193,0.123,2024-01-11,64.0,58.0,40.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,304.39,0.193,0.06,2023-05-11,31.0,6.0,14.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,295.9,0.193,0.016,2022-03-17,8.0,23.0,21.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,303.06,0.193,0.035,2024-04-25,18.0,33.0,18.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,312.58,0.193,0.17,2022-11-17,88.0,15.0,52.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,313.37,0.193,0.192,2023-09-29,99.0,99.0,58.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,297.64,0.193,0.022,2022-01-06,11.0,60.0,41.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,297.41,0.193,0.021,2022-01-13,11.0,54.0,37.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,313.41,0.193,0.193,2023-09-14,100.0,91.0,59.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,303.3,0.193,0.037,2024-04-18,19.0,19.0,18.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,308.69,0.193,0.1,2023-02-09,52.0,9.0,25.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,307.0,0.193,0.07,2023-02-23,36.0,9.0,21.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,305.06,0.193,0.052,2024-03-07,27.0,31.0,23.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,309.81,0.193,0.13,2023-07-13,67.0,8.0,12.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,292.18,0.193,0.009,2022-06-30,5.0,23.0,13.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,308.46,0.193,0.193,2023-07-06,100.0,6.0,12.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,312.97,0.193,0.183,2023-08-24,95.0,68.0,46.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,310.72,0.193,0.13,2022-12-22,67.0,12.0,42.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,298.43,0.193,0.024,2021-12-16,12.0,69.0,48.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,298.93,0.193,0.026,2021-12-02,13.0,78.0,54.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,293.16,0.193,0.011,2022-05-12,6.0,23.0,16.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,303.76,0.193,0.04,2023-06-08,21.0,5.0,13.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,313.17,0.193,0.188,2023-08-31,97.0,68.0,45.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,308.01,0.193,0.087,2024-02-08,45.0,52.0,30.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,307.18,0.193,0.076,2024-02-22,39.0,36.0,23.0,38.67,0.0,25.09880775,73.1498723820145
JAWAI DAM,313.4,307.6,0.193,0.074,2023-06-22,38.0,5.0,12.0,38.67,0.0,25.09880775,73.1498723820145
