NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
JAYAKWADI(PAITHAN),463.91,462.83,2.171,1.775,2016-10-27,82,5,52,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.55,2.171,2.032,2020-12-17,94,99,52,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,455.42,2.171,0.0,2015-07-23,0,2,22,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.04,2.171,0.905,2018-10-04,42,100,50,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,457.89,2.171,0.412,2017-06-08,19,0,11,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,461.83,2.171,1.428,2021-03-25,66,69,26,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.04,2.171,1.847,2020-02-06,85,14,30,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,462.16,2.171,1.544,2017-08-30,71,66,36,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.41,2.171,1.004,2023-10-26,46.0,100.0,69.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,454.2,2.171,0.0,2016-05-12,0,7,20,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,458.72,2.171,0.581,2018-05-30,27,19,11,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,462.24,2.171,1.57,2016-12-22,72,10,47,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.88,2.171,2.16,2021-11-25,99.0,100.0,53.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.44,2.171,0.756,2022-06-09,35.0,35.0,12.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.67,2.171,2.077,2022-08-18,96.0,41.0,39.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.91,2.171,2.171,2021-11-18,100.0,100.0,54.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.77,2.171,2.118,2022-08-24,98.0,41.0,39.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.27,2.171,0.715,2023-09-06,33.0,97.0,66.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,458.99,2.171,0.646,2018-05-23,30,21,12,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.03,2.171,0.902,2020-07-23,42,0,8,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,456.99,2.171,0.239,2015-12-03,11,28,56,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.,1.0,2.171,2.171,2022-11-10,100.0,100.0,5.0,227,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.06,2.171,1.853,2021-01-21,85,90,41,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.93,2.171,0.876,2021-08-05,40,54,23,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,456.87,2.171,0.22,2015-12-16,10,31,54,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,461.98,2.171,1.479,2021-03-18,68,72,27,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,461.6,2.171,1.357,2017-08-23,63,66,31,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.77,2.171,0.837,2018-10-11,39,100,51,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.64,2.171,1.071,2023-05-04,49.0,50.0,24.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.13,2.171,0.926,2024-01-04,43.0,89.0,64.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,455.33,2.171,0.0,2016-07-28,0,0,17,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,454.61,2.171,0.0,2016-07-14,0,0,15,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,463.68,2.171,2.081,2020-09-24,96,100,56,227,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.91,2.171,0.873,2020-07-09,40,0,6,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,455.93,2.171,0.065,2016-02-18,3,22,40,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.45,2.171,1.016,2023-10-19,47.0,100.0,70.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,454.34,2.171,0.0,2016-05-05,0,8,22,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,455.23,2.171,0.0,2019-04-10,0,49,21,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.27,2.171,0.715,2022-06-23,33.0,33.0,12.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,462.56,2.171,1.68,2016-12-08,77,11,47,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,455.31,2.171,0.0,2019-04-04,0,52,22,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.33,2.171,0.729,2021-06-17,34,37,11,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.52,2.171,0.776,2021-06-03,36,38,11,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.1,2.171,0.673,2017-04-26,31,0,19,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,455.87,2.171,0.054,2016-02-25,2,20,38,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,459.96,2.171,0.885,2021-08-12,41,57,34,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,458.47,2.171,0.529,2024-03-14,24.0,67.0,42.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,458.21,2.171,0.477,2024-03-28,22.0,63.0,39.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,457.9,2.171,0.414,2017-06-22,19,0,10,227,-,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.21,2.171,0.947,2023-12-21,44.0,93.0,72.0,227.0,0.0,19.47248495,75.3639212430826
JAYAKWADI(PAITHAN),463.91,460.1,2.171,0.918,2024-01-11,42.0,87.0,59.0,227.0,0.0,19.47248495,75.3639212430826
