NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
JHAKAM,359.5,359.55,0.132,0.132,2016-10-27,100,92,85,28,-,24.0984575,74.7282574
JHAKAM,359.5,356.6,0.132,0.103,2020-12-17,78,83,72,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,343.5,0.132,0.025,2015-07-22,19,34,25,28,-,24.0984575,74.7282574
JHAKAM,359.5,359.7,0.132,0.132,2018-10-03,100,100,86,28,-,24.0984575,74.7282574
JHAKAM,359.5,346.35,0.132,0.036,2017-06-08,27,7,16,28,-,24.0984575,74.7282574
JHAKAM,359.5,345.4,0.132,0.032,2021-03-25,24,30,24,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,351.75,0.132,0.066,2020-02-06,50,45,36,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,360.1,0.132,0.132,2017-08-31,100,100,77,28,-,24.0984575,74.7282574
JHAKAM,359.5,356.8,0.132,0.105,2023-10-26,80.0,100.0,98.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,337.75,0.132,0.01,2016-05-11,8,19,17,28,-,24.0984575,74.7282574
JHAKAM,359.5,346.75,0.132,0.038,2018-05-31,29,28,17,28,-,24.0984575,74.7282574
JHAKAM,359.5,356.3,0.132,0.101,2016-12-22,77,58,59,28,-,24.0984575,74.7282574
JHAKAM,359.5,359.35,0.132,0.13,2021-11-25,98.0,92.0,89.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,350.65,0.132,0.058,2022-06-09,44.0,22.0,24.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,360.35,0.132,0.132,2022-08-18,100.0,35.0,77.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,358.9,0.132,0.127,2021-11-18,96.0,96.0,94.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,360.6,0.132,0.132,2022-08-25,100.0,36.0,83.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,350.9,0.132,0.06,2023-09-05,45.0,100.0,89.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.8,0.132,0.038,2018-05-24,29,28,17,28,-,24.0984575,74.7282574
JHAKAM,359.5,346.45,0.132,0.037,2020-07-23,28,38,28,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,355.05,0.132,0.091,2015-12-02,69,77,68,28,-,24.0984575,74.7282574
JHAKAM,359.5,353.2,0.132,0.077,2021-01-21,58,64,54,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.3,0.132,0.036,2021-08-05,27,28,54,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,353.85,0.132,0.082,2015-12-17,62,71,61,28,-,24.0984575,74.7282574
JHAKAM,359.5,345.4,0.132,0.032,2021-03-18,24,30,24,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,359.75,0.132,0.132,2017-08-24,100,100,73,28,-,24.0984575,74.7282574
JHAKAM,359.5,359.65,0.132,0.132,2018-10-10,100,100,86,28,-,24.0984575,74.7282574
JHAKAM,359.5,345.8,0.132,0.034,2023-05-04,26.0,48.0,27.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,353.35,0.132,0.078,2024-01-04,59.0,64.0,66.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,344.5,0.132,0.028,2016-07-28,21,77,39,28,-,24.0984575,74.7282574
JHAKAM,359.5,337.45,0.132,0.009,2016-07-12,7,17,21,28,-,24.0984575,74.7282574
JHAKAM,359.5,359.7,0.132,0.132,2020-09-24,100,100,93,28,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.4,0.132,0.036,2020-07-09,27,35,22,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,345.15,0.132,0.031,2016-02-17,23,34,29,28,-,24.0984575,74.7282574
JHAKAM,359.5,356.8,0.132,0.105,2023-10-19,80.0,100.0,96.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,337.8,0.132,0.01,2016-05-05,8,19,17,28,-,24.0984575,74.7282574
JHAKAM,359.5,345.65,0.132,0.033,2019-04-10,25,30,20,28,-,24.0984575,74.7282574
JHAKAM,359.5,350.5,0.132,0.057,2022-06-23,43.0,22.0,24.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,357.05,0.132,0.108,2016-12-08,82,68,66,28,-,24.0984575,74.7282574
JHAKAM,359.5,345.7,0.132,0.033,2019-04-03,25,30,20,28,-,24.0984575,74.7282574
JHAKAM,359.5,344.75,0.132,0.029,2021-06-17,22,27,22,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,344.8,0.132,0.029,2021-06-03,22,27,23,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.7,0.132,0.038,2017-04-27,29,8,17,28,-,24.0984575,74.7282574
JHAKAM,359.5,342.8,0.132,0.022,2016-02-25,17,28,25,28,-,24.0984575,74.7282574
JHAKAM,359.5,348.25,0.132,0.045,2021-08-12,34,30,73,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,343.6,0.132,0.025,2024-03-14,19.0,27.0,28.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,343.6,0.132,0.025,2024-03-28,19.0,27.0,28.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.3,0.132,0.036,2017-06-21,27,6,16,28,-,24.0984575,74.7282574
JHAKAM,359.5,354.3,0.132,0.086,2023-12-21,65.0,75.0,76.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,352.3,0.132,0.07,2024-01-11,53.0,63.0,64.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,345.75,0.132,0.034,2023-05-11,26.0,48.0,27.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,343.15,0.132,0.023,2015-07-08,17,41,19,28,-,24.0984575,74.7282574
JHAKAM,359.5,358.5,0.132,0.122,2015-09-29,92,94,83,28,-,24.0984575,74.7282574
JHAKAM,359.5,352.45,0.132,0.072,2019-01-24,55,57,45,28,-,24.0984575,74.7282574
JHAKAM,359.5,355.1,0.132,0.092,2019-08-13,70,42,67,28,-,24.0984575,74.7282574
JHAKAM,359.5,359.5,0.132,0.132,2017-11-02,100,100,85,28,-,24.0984575,74.7282574
JHAKAM,359.5,358.7,0.132,0.124,2017-11-16,94,98,78,28,-,24.0984575,74.7282574
JHAKAM,359.5,351.55,0.132,0.065,2022-03-17,49.0,24.0,27.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,359.4,0.132,0.131,2019-11-21,99,91,80,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.6,0.132,0.037,2020-05-21,28,23,20,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,358.35,0.132,0.121,2015-10-28,92,95,84,28,-,24.0984575,74.7282574
JHAKAM,359.5,358.45,0.132,0.122,2015-10-13,92,95,84,28,-,24.0984575,74.7282574
JHAKAM,359.5,356.9,0.132,0.106,2018-12-12,80,80,67,28,-,24.0984575,74.7282574
JHAKAM,359.5,343.35,0.132,0.023,2024-04-25,17.0,26.0,27.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.45,0.132,0.037,2020-07-30,28,39,49,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,359.15,0.132,0.129,2022-11-17,98.0,96.0,95.0,28.0,0.0,24.0984575,74.7282574
JHAKAM,359.5,346.95,0.132,0.039,2017-03-16,30,83,25,28,-,24.0984575,74.7282574
JHAKAM,359.5,348.65,0.132,0.047,2017-03-01,36,13,22,28,-,24.0984575,74.7282574
