NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
JIRGO,98.2,94.87,0.147,0.076,2020-12-17,52,76,49,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,93.01,0.147,0.049,2021-03-25,33,56,37,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,95.98,0.147,0.097,2020-02-06,66,36,35,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,90.5,0.147,0.003,2023-10-26,2.0,19.0,52.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,95.45,0.147,0.087,2021-11-25,59.0,55.0,54.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,92.43,0.147,0.043,2022-06-09,29.0,29.0,33.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,19.12,0.147,0.03,2022-08-18,20.0,61.0,50.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,95.54,0.147,0.089,2021-11-18,61.0,56.0,54.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,91.18,0.147,0.03,2022-08-25,20.0,63.0,56.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,90.3,0.147,0.002,2023-09-06,1.0,24.0,56.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,96.7,0.147,0.112,2020-07-23,76,24,29,13.14,0.0,25.0699961,82.9374163
JIRGO,8.20,0.33,0.147,0.024,2022-11-10,16.0,61.0,54.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,94.2,0.147,0.066,2021-01-21,45,70,43,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,94.42,0.147,0.07,2021-08-05,48,76,37,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,93.07,0.147,0.05,2021-03-18,34,58,37,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,87.13,0.147,0.003,2023-05-04,2.0,34.0,32.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,89.08,0.147,0.002,2024-01-04,1.0,12.0,39.0,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,96.49,0.147,0.108,2020-09-24,73,51,56,13,0.0,25.0699961,82.9374163
JIRGO,98.2,96.52,0.147,0.109,2020-07-09,74,18,24,13.14,0.0,25.0699961,82.9374163
JIRGO,98.2,90.6,0.147,0.003,2023-10-19,2.0,21.0,50.0,13.14,0.0,25.0699961,82.9374163
