NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KABINI,696.16,690.9,0.444,0.178,2016-10-26,40,52,45,85,-,12.0140065,76.4152088
KABINI,696.66,692.3,0.444,0.241,2020-12-17,54,75,42,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,695.74,0.444,0.418,2015-07-22,94,91,49,85,-,12.0140065,76.4152088
KABINI,696.16,695.68,0.444,0.415,2018-10-03,93,88,54,85,-,12.0140065,76.4152088
KABINI,696.16,685.21,0.444,0.0,2017-06-07,0,0,7,85,-,12.0140065,76.4152088
KABINI,696.66,690.56,0.444,0.164,2021-03-25,37,60,28,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,694.41,0.444,0.346,2020-02-06,78,68,40,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,693.63,0.444,0.306,2017-08-31,69,68,59,85,-,12.0140065,76.4152088
KABINI,696.66,692.89,0.444,0.269,2023-10-26,61.0,97.0,81.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,685.17,0.444,0.0,2016-05-11,0,42,8,85,-,12.0140065,76.4152088
KABINI,696.16,688.18,0.444,0.076,2018-05-31,17,0,7,85,-,12.0140065,76.4152088
KABINI,696.16,689.32,0.444,0.115,2016-12-22,26,36,31,85,-,12.0140065,76.4152088
KABINI,696.66,696.13,0.444,0.442,2021-11-25,100.0,66.0,50.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,689.38,0.444,0.118,2022-06-09,27.0,33.0,16.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,696.02,0.444,0.435,2022-08-18,98.0,97.0,76.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,696.16,0.444,0.444,2021-11-18,100.0,74.0,54.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,696.16,0.444,0.444,2022-08-25,100.0,96.0,77.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,693.01,0.444,0.106,2023-09-06,24.0,98.0,82.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,687.23,0.444,0.046,2018-05-22,10,0,8,85,-,12.0140065,76.4152088
KABINI,696.66,693.94,0.444,0.321,2020-07-23,72,57,61,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,691.11,0.444,0.187,2015-12-02,42,62,33,85,-,12.0140065,76.4152088
KABINI,6,4.84,0.444,0.368,2022-11-10,83.0,100.0,66.0,85,0.0,12.0140065,76.4152088
KABINI,696.66,692.48,0.444,0.249,2021-01-20,56,76,46,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,695.26,0.444,0.391,2021-08-05,88,84,68,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,690.58,0.444,0.165,2015-12-17,37,65,30,85,-,12.0140065,76.4152088
KABINI,696.66,690.88,0.444,0.177,2021-03-18,40,62,32,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,691.66,0.444,0.211,2017-08-23,48,74,60,85,-,12.0140065,76.4152088
KABINI,696.16,695.98,0.444,0.433,2018-10-10,98,86,51,85,-,12.0140065,76.4152088
KABINI,696.66,686.69,0.444,0.03,2023-05-04,7.0,27.0,21.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,692.86,0.444,0.267,2024-01-04,60.0,55.0,57.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,693.13,0.444,0.281,2016-07-26,63,98,56,85,-,12.0140065,76.4152088
KABINI,696.16,691.69,0.444,0.213,2016-07-13,48,95,47,85,-,12.0140065,76.4152088
KABINI,696.66,696.01,0.444,0.434,2020-09-24,98,100,69,85,0.0,12.0140065,76.4152088
KABINI,696.66,691.67,0.444,0.212,2020-07-09,48,35,46,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,690.31,0.444,0.154,2016-02-18,35,72,37,85,-,12.0140065,76.4152088
KABINI,696.66,693.44,0.444,0.296,2023-10-19,67.0,100.0,82.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,685.49,0.444,0.0,2016-05-05,0,44,9,85,-,12.0140065,76.4152088
KABINI,696.16,690.6,0.444,0.166,2019-04-08,37,22,15,85,-,12.0140065,76.4152088
KABINI,696.66,689.12,0.444,0.108,2022-06-21,24.0,70.0,30.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,689.72,0.444,0.13,2016-12-07,29,39,30,85,-,12.0140065,76.4152088
KABINI,696.16,690.8,0.444,0.174,2019-04-03,39,25,17,85,-,12.0140065,76.4152088
KABINI,696.66,690.93,0.444,0.179,2021-06-16,40,27,20,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,690.18,0.444,0.149,2021-06-02,34,27,15,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,685.66,0.444,0.004,2017-04-26,1,5,11,85,-,12.0140065,76.4152088
KABINI,696.16,690.0,0.444,0.141,2016-02-24,32,71,34,85,-,12.0140065,76.4152088
KABINI,696.66,695.54,0.444,0.407,2021-08-11,92,98,73,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,691.19,0.444,0.19,2024-03-14,43.0,29.0,43.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.66,690.52,0.444,0.162,2024-03-28,36.0,23.0,37.0,85.0,0.0,12.0140065,76.4152088
KABINI,696.16,685.86,0.444,0.008,2017-06-22,2,0,15,85,-,12.0140065,76.4152088
KABINI,696.66,692.99,0.444,0.274,2023-12-21,62.0,53.0,58.0,85.0,0.0,12.0140065,76.4152088
