NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KADANA,127.7,127.71,1.472,1.472,2016-10-27,100,53,69,200,120,,
KADANA,127.7,126.82,1.472,1.101,2020-12-17,75,77,67,200.0,120.0,,
KADANA,127.7,121.54,1.472,0.638,2015-07-22,43,55,47,200,120,,
KADANA,127.7,127.28,1.472,0.115,2018-10-03,8,80,77,200,120,,
KADANA,127.7,123.09,1.472,0.76,2017-06-08,52,18,46,200,120,,
KADANA,127.7,123.12,1.472,0.762,2021-03-25,52,51,54,200.0,120.0,,
KADANA,127.7,125.25,1.472,0.947,2020-02-06,64,52,55,200.0,120.0,,
KADANA,127.7,127.05,1.472,1.124,2017-08-31,76,8,54,200,120,,
KADANA,127.7,127.71,1.472,1.192,2023-10-26,81.0,81.0,76.0,200.0,120.0,,
KADANA,127.7,116.99,1.472,0.354,2016-05-11,24,61,53,200,120,,
KADANA,127.7,121.18,1.472,0.612,2018-05-31,42,53,47,200,120,,
KADANA,127.7,126.65,1.472,1.083,2016-12-22,74,46,65,200,120,,
KADANA,127.7,127.18,1.472,1.137,2021-11-25,77.0,79.0,74.0,200.0,120.0,,
KADANA,127.7,117.98,1.472,0.408,2022-06-09,28.0,40.0,46.0,200.0,120.0,,
KADANA,127.7,126.7,1.472,1.088,2022-08-18,74.0,29.0,51.0,200.0,120.0,,
KADANA,127.7,127.41,1.472,1.161,2021-11-18,79.0,79.0,75.0,200.0,120.0,,
KADANA,127.7,126.9,1.472,1.109,2022-08-25,75.0,31.0,58.0,200.0,120.0,,
KADANA,127.7,117.83,1.472,0.399,2023-09-05,27.0,80.0,64.0,200.0,120.0,,
KADANA,127.7,121.52,1.472,0.636,2018-05-24,43,54,48,200,120,,
KADANA,127.7,119.86,1.472,0.522,2020-07-23,35,34,43,200.0,120.0,,
KADANA,127.7,122.45,1.472,0.709,2015-12-03,48,75,68,200,120,,
KADANA,127.7,127.66,1.472,1.186,2022-11-10,81.0,81.0,77.0,200,120.0,,
KADANA,127.7,125.73,1.472,0.992,2021-01-21,67,69,62,200.0,120.0,,
KADANA,127.7,118.92,1.472,0.463,2021-08-05,31,26,49,200.0,120.0,,
KADANA,127.7,122.23,1.472,0.691,2015-12-17,47,74,67,200,120,,
KADANA,127.7,123.19,1.472,0.769,2021-03-18,52,52,54,200.0,120.0,,
KADANA,127.7,126.72,1.472,1.109,2017-08-24,75,74,62,200,120,,
KADANA,127.7,126.87,1.472,1.106,2018-10-10,75,78,72,200,120,,
KADANA,127.7,119.13,1.472,0.476,2023-05-04,32.0,36.0,50.0,200.0,120.0,,
KADANA,127.7,126.7,1.472,1.088,2024-01-04,74.0,68.0,67.0,200.0,120.0,,
KADANA,127.7,120.02,1.472,0.532,2016-07-28,36,64,50,200,120,,
KADANA,127.7,115.9,1.472,0.301,2016-07-12,20,48,45,200,120,,
KADANA,127.7,127.56,1.472,1.176,2020-09-24,80,77,78,200,120.0,,
KADANA,127.7,119.99,1.472,0.53,2020-07-09,36,40,39,200.0,120.0,,
KADANA,127.7,119.61,1.472,0.505,2016-02-18,34,67,61,200,120,,
KADANA,127.7,127.71,1.472,1.192,2023-10-19,81.0,81.0,76.0,200.0,120.0,,
KADANA,127.7,117.22,1.472,0.367,2016-05-05,25,61,53,200,120,,
KADANA,127.7,121.57,1.472,0.639,2019-04-10,43,48,54,200,120,,
