NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KADDAM (K.N.R.),213.36,210.61,0.137,0.137,2023-10-26,100.0,100.0,86.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,212.17,0.137,0.109,2023-09-06,80.0,87.0,87.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.27,0.137,0.114,2024-01-04,83.0,85.0,68.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,211.14,0.137,0.087,2023-10-19,64.0,96.0,91.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,206.24,0.137,0.006,2024-03-14,4.0,36.0,30.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.99,0.137,0.0,2024-03-28,0.0,29.0,23.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.39,0.137,0.037,2023-12-21,27.0,75.0,67.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.21,0.137,0.034,2024-01-11,25.0,71.0,64.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.43,0.137,0.0,2024-04-25,0.0,12.0,9.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,213.17,0.137,0.137,2023-09-27,100.0,93.0,91.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,212.58,0.137,0.137,2023-09-14,100.0,81.0,87.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.57,0.137,0.0,2024-04-18,0.0,14.0,11.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,206.37,0.137,0.008,2024-03-07,6.0,38.0,34.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,212.2,0.137,0.109,2023-08-31,80.0,83.0,85.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,207.43,0.137,0.022,2024-02-08,16.0,52.0,50.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,206.62,0.137,0.011,2024-02-22,8.0,46.0,42.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.11,0.137,0.0,2024-05-16,0.0,8.0,4.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.28,0.137,0.0,2024-05-02,0.0,9.0,7.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,209.84,0.137,0.137,2023-11-02,100.0,100.0,80.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.21,0.137,0.113,2023-11-16,82.0,85.0,69.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.21,0.137,0.0,2024-05-09,0.0,9.0,5.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.13,0.137,0.112,2023-11-29,82.0,100.0,71.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,206.49,0.137,0.009,2024-02-29,7.0,42.0,39.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,206.81,0.137,0.014,2024-02-15,10.0,49.0,47.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,207.87,0.137,0.107,2024-02-01,78.0,56.0,54.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.09,0.137,0.111,2023-11-23,81.0,85.0,68.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,204.89,0.137,0.0,2024-05-30,0.0,6.0,4.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.02,0.137,0.0,2024-05-22,0.0,7.0,4.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.95,0.137,0.125,2023-11-09,91.0,100.0,74.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,204.69,0.137,0.0,2024-06-13,0.0,4.0,8.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,211.89,0.137,0.103,2023-10-12,75.0,92.0,90.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,204.8,0.137,0.0,2024-06-06,0.0,5.0,3.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.0,0.137,0.11,2024-01-25,80.0,86.0,57.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,213.06,0.137,0.137,2023-10-05,100.0,91.0,91.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,206.11,0.137,0.004,2024-03-21,3.0,31.0,27.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.34,0.137,0.036,2023-12-28,26.0,74.0,66.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.38,0.137,0.037,2023-12-14,27.0,75.0,67.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.13,0.137,0.111,2024-01-18,81.0,88.0,64.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.85,0.137,0.0,2024-04-04,0.0,21.0,16.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,212.33,0.137,0.112,2023-09-21,82.0,88.0,89.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,208.29,0.137,0.114,2023-12-07,83.0,100.0,71.0,27.73,0.0,19.0991812,78.7800368
KADDAM (K.N.R.),213.36,205.76,0.137,0.0,2024-04-10,0.0,20.0,14.0,27.73,0.0,19.0991812,78.7800368
