NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KAKKI,981.46,968.95,0.447,0.266,2016-10-26,60,52,81,23,300,,
KAKKI,981.46,978.36,0.447,0.393,2020-12-17,88,79,76,23.0,300.0,,
KAKKI,981.46,959.11,0.447,0.175,2015-07-22,39,27,46,23,300,,
KAKKI,981.46,975.0,0.447,0.344,2018-10-03,77,70,74,23,300,,
KAKKI,981.46,939.12,0.447,0.061,2017-06-07,14,28,21,23,300,,
KAKKI,981.46,972.54,0.447,0.312,2021-03-25,70,49,50,23.0,300.0,,
KAKKI,981.46,970.32,0.447,0.284,2020-02-06,64,61,67,23.0,300.0,,
KAKKI,981.46,963.7,0.447,0.214,2017-08-31,48,64,68,23,300,,
KAKKI,981.46,973.12,0.447,0.319,2023-10-26,71.0,85.0,77.0,23.0,300.0,,
KAKKI,981.46,955.23,0.447,0.145,2016-05-12,32,32,29,23,300,,
KAKKI,981.46,952.12,0.447,0.123,2018-05-31,28,13,21,23,300,,
KAKKI,981.46,967.26,0.447,0.248,2016-12-22,55,75,82,23,300,,
KAKKI,981.46,980.43,0.447,0.428,2021-11-25,96.0,88.0,75.0,23.0,300.0,,
KAKKI,981.46,952.44,0.447,0.126,2022-06-09,28.0,46.0,18.0,23.0,300.0,,
KAKKI,981.46,975.96,0.447,0.357,2022-08-18,80.0,72.0,61.0,23.0,300.0,,
KAKKI,981.46,980.4,0.447,0.427,2021-11-18,96.0,87.0,75.0,23.0,300.0,,
KAKKI,981.46,976.37,0.447,0.363,2022-08-25,81.0,72.0,63.0,23.0,300.0,,
KAKKI,981.46,959.65,0.447,0.18,2023-09-06,40.0,82.0,71.0,23.0,300.0,,
KAKKI,981.46,954.96,0.447,0.136,2018-05-23,30,14,24,23,300,,
KAKKI,981.46,948.84,0.447,0.105,2020-07-23,23,15,41,23.0,300.0,,
KAKKI,981.46,972.76,0.447,0.315,2015-12-02,70,77,87,23,300,,
KAKKI,76.,7.0,0.447,0.372,2022-11-10,83.0,4.0,76.0,23,300.0,,
KAKKI,981.46,978.75,0.447,0.399,2021-01-20,89,70,70,23.0,300.0,,
KAKKI,981.46,972.56,0.447,0.312,2021-08-05,70,37,48,23.0,300.0,,
KAKKI,981.46,974.27,0.447,0.334,2015-12-17,75,78,85,23,300,,
KAKKI,981.46,973.4,0.447,0.322,2021-03-18,72,51,54,23.0,300.0,,
KAKKI,981.46,958.9,0.447,0.173,2017-08-23,39,63,65,23,300,,
KAKKI,981.46,975.12,0.447,0.346,2018-10-10,77,72,75,23,300,,
KAKKI,981.46,956.1,0.447,0.151,2023-05-04,34.0,36.0,31.0,23.0,300.0,,
KAKKI,981.46,976.12,0.447,0.359,2024-01-04,80.0,75.0,75.0,23.0,300.0,,
KAKKI,981.46,966.85,0.447,0.244,2016-07-28,55,44,51,23,300,,
KAKKI,981.46,962.67,0.447,0.205,2016-07-13,46,33,36,23,300,,
KAKKI,981.46,976.5,0.447,0.365,2020-09-24,82,74,71,23,300.0,,
KAKKI,981.46,944.86,0.447,0.084,2020-07-09,19,8,29,23.0,300.0,,
KAKKI,981.46,970.56,0.447,0.286,2016-02-18,64,70,68,23,300,,
KAKKI,981.46,972.46,0.447,0.31,2023-10-19,69.0,82.0,77.0,23.0,300.0,,
KAKKI,981.46,956.4,0.447,0.153,2016-05-05,34,33,32,23,300,,
KAKKI,981.46,961.16,0.447,0.192,2019-04-08,43,55,45,23,300,,
KAKKI,981.46,950.16,0.447,0.112,2022-06-23,25.0,53.0,22.0,23.0,300.0,,
KAKKI,981.46,967.95,0.447,0.255,2016-12-08,57,72,84,23,300,,
KAKKI,981.46,962.46,0.447,0.204,2019-04-03,46,64,48,23,300,,
KAKKI,981.46,963.41,0.447,0.212,2021-06-16,47,13,18,23.0,300.0,,
KAKKI,981.46,962.56,0.447,0.204,2021-06-02,46,13,17,23.0,300.0,,
KAKKI,981.46,950.03,0.447,0.111,2017-04-27,25,39,36,23,300,,
KAKKI,981.46,969.8,0.447,0.277,2016-02-25,62,68,66,23,300,,
KAKKI,981.46,973.21,0.447,0.32,2021-08-12,72,62,57,23.0,300.0,,
KAKKI,981.46,967.89,0.447,0.255,2024-03-14,57.0,55.0,57.0,23.0,300.0,,
KAKKI,981.46,965.4,0.447,0.229,2024-03-28,51.0,51.0,51.0,23.0,300.0,,
KAKKI,981.46,936.7,0.447,0.052,2017-06-22,12,30,23,23,300,,
KAKKI,981.46,976.78,0.447,0.369,2023-12-21,83.0,79.0,78.0,23.0,300.0,,
KAKKI,981.46,975.88,0.447,0.356,2024-01-11,80.0,73.0,74.0,23.0,300.0,,
KAKKI,981.46,953.7,0.447,0.135,2023-05-11,30.0,33.0,28.0,23.0,300.0,,
KAKKI,981.46,955.63,0.447,0.148,2015-07-09,33,12,32,23,300,,
KAKKI,981.46,963.92,0.447,0.216,2015-09-30,48,75,83,23,300,,
KAKKI,981.46,970.78,0.447,0.288,2019-01-24,64,83,72,23,300,,
KAKKI,981.46,961.35,0.447,0.194,2019-08-14,43,98,60,23,300,,
KAKKI,981.46,974.74,0.447,0.34,2017-11-01,76,60,80,23,300,,
KAKKI,981.46,975.76,0.447,0.354,2017-11-15,79,59,81,23,300,,
KAKKI,981.46,968.19,0.447,0.258,2022-03-17,58.0,72.0,55.0,23.0,300.0,,
KAKKI,981.46,976.56,0.447,0.366,2019-11-20,82,73,77,23.0,300.0,,
KAKKI,981.46,946.66,0.447,0.093,2020-05-21,21,20,22,23.0,300.0,,
KAKKI,981.46,965.88,0.447,0.234,2015-10-29,52,74,86,23,300,,
