NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KALLADA(PARAPPAR),115.82,98.82,0.507,0.176,2016-10-26,35,51,84,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,110.52,0.507,0.372,2020-12-17,73,91,80,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,95.12,0.507,0.129,2015-07-22,25,34,48,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,113.05,0.507,0.423,2018-10-03,83,75,68,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,88.55,0.507,0.067,2017-06-07,13,39,22,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,103.24,0.507,0.237,2021-03-25,47,61,53,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,112.8,0.507,0.418,2020-02-06,82,84,72,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,101.93,0.507,0.208,2017-08-31,41,43,61,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,112.82,0.507,0.419,2023-10-26,83.0,71.0,76.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,103.74,0.507,0.244,2016-05-12,48,31,26,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,107.68,0.507,0.317,2018-05-31,63,10,21,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,100.89,0.507,0.202,2016-12-22,40,91,84,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,114.59,0.507,0.458,2021-11-25,90.0,85.0,79.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,95.65,0.507,0.135,2022-06-09,27.0,51.0,31.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,107.3,0.507,0.309,2022-08-18,61.0,62.0,57.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,114.15,0.507,0.45,2021-11-18,89.0,86.0,78.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,107.26,0.507,0.308,2022-08-25,61.0,64.0,60.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,103.07,0.507,0.234,2023-09-06,46.0,72.0,67.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,107.68,0.507,0.317,2018-05-23,63,11,23,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,95.96,0.507,0.155,2020-07-23,31,40,49,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,113.82,0.507,0.441,2015-12-02,87,93,88,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),111.64,0.507,0.3,5.0,2022-11-10,78.0,87.0,76.0,62,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,110.98,0.507,0.381,2021-01-20,75,88,76,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,107.18,0.507,0.307,2021-08-05,61,37,51,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,114.92,0.507,0.464,2015-12-17,92,91,86,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,104.26,0.507,0.252,2021-03-18,50,64,56,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,100.23,0.507,0.195,2017-08-23,38,47,59,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,112.03,0.507,0.404,2018-10-10,80,76,71,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,96.33,0.507,0.142,2023-05-04,28.0,34.0,36.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,114.01,0.507,0.447,2024-01-04,88.0,71.0,79.0,62.0,0.0,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,106.2,0.507,0.287,2016-07-27,57,28,49,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,106.37,0.507,0.29,2016-07-13,57,24,37,62,-,80.95,77.0722222222222
KALLADA(PARAPPAR),115.82,111.42,0.507,0.39,2020-09-24,77,87,73,62,0.0,80.95,77.0722222222222
