NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KANDALERU,85.0,81.06,1.792,1.286,2021-03-25,72,37,24,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,66.42,1.792,0.19,2023-10-26,11.0,77.0,39.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,82.81,1.792,1.498,2021-11-25,84.0,86.0,40.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,77.62,1.792,0.927,2022-06-09,52.0,61.0,20.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,75.95,1.792,0.774,2022-08-18,43.0,56.0,16.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,82.59,1.792,1.469,2021-11-18,82.0,88.0,39.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,77.15,1.792,0.882,2022-08-25,49.0,65.0,17.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,71.12,1.792,0.427,2023-09-06,24.0,63.0,16.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,77.62,1.792,0.927,2021-08-05,52,25,16,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,81.35,1.792,1.319,2021-03-18,74,39,25,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,77.4,1.792,0.906,2023-05-04,51.0,59.0,24.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,67.49,1.792,0.235,2023-12-28,13.0,78.0,47.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,66.49,1.792,0.193,2023-10-19,11.0,78.0,32.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,76.84,1.792,0.854,2022-06-23,48.0,57.0,19.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,79.03,1.792,1.064,2021-06-17,59,28,19,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,79.66,1.792,1.132,2021-06-03,63,32,18,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,77.87,1.792,0.95,2021-08-12,53,25,15,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,64.49,1.792,0.121,2024-03-14,7.0,60.0,28.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,63.8,1.792,0.098,2024-03-28,5.0,59.0,27.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,67.54,1.792,0.237,2023-12-21,13.0,78.0,44.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,67.35,1.792,0.229,2024-01-11,13.0,75.0,45.0,300.0,9.0,14.34397655,79.5958785963203
KANDALERU,85.0,76.85,1.792,0.854,2023-05-11,48.0,58.0,26.0,300.0,9.0,14.34397655,79.5958785963203
