NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KANGSABATI,134.14,130.76,0.914,0.638,2016-10-25,70,25,46,341,-,22.792957,86.9767406
KANGSABATI,134.14,128.29,0.914,0.451,2020-12-17,49,78,50,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,128.52,0.914,0.468,2015-07-22,51,42,38,341,-,22.792957,86.9767406
KANGSABATI,134.14,128.32,0.914,0.453,2018-10-04,50,74,61,341,-,22.792957,86.9767406
KANGSABATI,134.14,124.11,0.914,0.233,2017-06-08,25,20,14,341,-,22.792957,86.9767406
KANGSABATI,134.14,124.24,0.914,0.237,2021-03-25,26,58,35,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,130.68,0.914,0.632,2020-02-06,69,37,39,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,131.81,0.914,0.73,2017-08-31,80,77,56,341,-,22.792957,86.9767406
KANGSABATI,134.14,130.9,0.914,0.648,2023-10-26,71.0,59.0,60.0,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,122.7,0.914,0.18,2016-05-12,20,21,12,341,-,22.792957,86.9767406
KANGSABATI,134.14,127.86,0.914,0.422,2018-05-31,46,26,15,341,-,22.792957,86.9767406
KANGSABATI,134.14,129.89,0.914,0.572,2016-12-22,63,25,41,341,-,22.792957,86.9767406
KANGSABATI,134.14,133.11,0.914,0.862,2021-11-24,94.0,50.0,54.0,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,127.88,0.914,0.423,2022-06-09,46.0,30.0,31.0,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,128.4,0.914,0.459,2022-08-18,50.0,78.0,59.0,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,133.01,0.914,0.853,2021-11-18,93.0,50.0,54.0,341.0,0.0,22.792957,86.9767406
KANGSABATI,134.14,132.24,0.914,0.777,2022-08-25,85.0,74.0,62.0,341.0,0.0,22.792957,86.9767406
