NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KANHER,690.78,688.51,0.272,0.232,2020-12-17,85,94,81,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,680.95,0.272,0.123,2021-03-25,45,51,43,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,685.81,0.272,0.188,2020-02-06,69,65,63,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,687.17,0.272,0.21,2023-10-26,77.0,100.0,94.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,688.23,0.272,0.227,2021-11-25,83.0,94.0,86.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,675.42,0.272,0.068,2022-06-09,25.0,18.0,18.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,689.28,0.272,0.245,2022-08-18,90.0,86.0,89.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,688.56,0.272,0.232,2021-11-18,85.0,99.0,89.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,689.67,0.272,0.252,2022-08-25,93.0,88.0,89.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,687.69,0.272,0.218,2023-09-06,80.0,98.0,94.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,680.51,0.272,0.117,2020-07-23,43,31,56,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,685.96,0.272,0.191,2021-01-21,70,80,68,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,687.63,0.272,0.217,2021-08-05,80,59,73,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,681.68,0.272,0.132,2021-03-18,49,56,46,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,677.63,0.272,0.087,2023-05-04,32.0,38.0,33.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,681.51,0.272,0.129,2024-01-04,47.0,77.0,74.0,44.78,4.0,22.6329916,78.8144437915916
KANHER,690.78,690.54,0.272,0.267,2020-09-24,98,99,97,45,4.0,22.6329916,78.8144437915916
