NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KARJAN,115.25,109.07,0.523,0.349,2016-10-26,67,66,95,51,3,21.7118499,73.5043874
KARJAN,115.25,113.54,0.523,0.465,2020-12-17,89,98,78,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,99.57,0.523,0.165,2015-07-23,32,35,48,51,3,21.7118499,73.5043874
KARJAN,115.25,113.24,0.523,0.457,2018-10-04,87,93,90,51,3,21.7118499,73.5043874
KARJAN,115.25,96.56,0.523,0.124,2017-06-08,24,11,36,51,3,21.7118499,73.5043874
KARJAN,115.25,108.78,0.523,0.34,2021-03-25,65,57,54,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,108.46,0.523,0.336,2020-02-06,64,65,66,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,110.98,0.523,0.397,2017-08-31,76,37,68,51,3,21.7118499,73.5043874
KARJAN,115.25,115.07,0.523,0.515,2023-10-26,98.0,98.0,89.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,93.4,0.523,0.089,2016-05-12,17,36,51,51,3,21.7118499,73.5043874
KARJAN,115.25,101.8,0.523,0.201,2018-05-30,38,26,35,51,3,21.7118499,73.5043874
KARJAN,115.25,107.56,0.523,0.314,2016-12-20,60,51,83,51,3,21.7118499,73.5043874
KARJAN,115.25,114.97,0.523,0.515,2021-11-24,98.0,93.0,81.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,104.94,0.523,0.265,2022-06-08,51.0,42.0,30.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,109.48,0.523,0.357,2022-08-18,68.0,47.0,61.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,115.06,0.523,0.506,2021-11-17,97.0,95.0,84.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,110.3,0.523,0.378,2022-08-25,72.0,51.0,65.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,110.0,0.523,0.37,2023-09-06,71.0,78.0,73.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,102.73,0.523,0.217,2018-05-24,41,28,37,51,3,21.7118499,73.5043874
KARJAN,115.25,99.9,0.523,0.168,2020-07-23,32,34,37,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,105.84,0.523,0.279,2015-12-03,53,83,91,51,3,21.7118499,73.5043874
KARJAN,115.25,112.11,0.523,0.426,2021-01-20,81,73,70,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,103.75,0.523,0.243,2021-08-05,46,33,51,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,105.32,0.523,0.266,2015-12-17,51,78,89,51,3,21.7118499,73.5043874
KARJAN,115.25,109.16,0.523,0.35,2021-03-18,67,59,56,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,110.04,0.523,0.398,2017-08-24,76,34,63,51,3,21.7118499,73.5043874
KARJAN,115.25,113.11,0.523,0.453,2018-10-11,87,93,92,51,3,21.7118499,73.5043874
KARJAN,115.25,106.54,0.523,0.29,2023-05-04,55.0,63.0,44.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,113.46,0.523,0.465,2024-01-04,89.0,86.0,75.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,89.44,0.523,0.078,2016-07-28,15,63,50,51,3,21.7118499,73.5043874
KARJAN,115.25,86.8,0.523,0.038,2016-07-14,7,32,39,51,3,21.7118499,73.5043874
KARJAN,115.25,114.19,0.523,0.484,2020-09-24,93,94,86,51,3.0,21.7118499,73.5043874
KARJAN,115.25,99.69,0.523,0.151,2020-07-09,29,33,31,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,101.9,0.523,0.202,2016-02-18,39,64,75,51,3,21.7118499,73.5043874
KARJAN,115.25,115.11,0.523,0.515,2023-10-19,98.0,98.0,90.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,94.78,0.523,0.103,2016-05-05,20,39,54,51,3,21.7118499,73.5043874
KARJAN,115.25,104.5,0.523,0.257,2019-04-11,49,55,50,51,3,21.7118499,73.5043874
KARJAN,115.25,103.09,0.523,0.222,2022-06-23,42.0,41.0,29.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,108.3,0.523,0.331,2016-12-07,63,52,85,51,3,21.7118499,73.5043874
KARJAN,115.25,105.25,0.523,0.271,2019-04-04,52,58,52,51,3,21.7118499,73.5043874
KARJAN,115.25,102.31,0.523,0.217,2021-06-17,41,34,29,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,103.04,0.523,0.221,2021-06-03,42,36,32,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,100.63,0.523,0.181,2017-04-27,35,23,52,51,3,21.7118499,73.5043874
KARJAN,115.25,101.05,0.523,0.188,2016-02-25,36,62,74,51,3,21.7118499,73.5043874
KARJAN,115.25,103.81,0.523,0.244,2021-08-12,47,42,55,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,110.32,0.523,0.378,2024-03-13,72.0,69.0,57.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,109.48,0.523,0.357,2024-03-28,68.0,66.0,57.0,51.0,3.0,21.7118499,73.5043874
KARJAN,115.25,96.77,0.523,0.127,2017-06-20,24,8,31,51,3,21.7118499,73.5043874
