NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KHADAKVASLA,582.47,581.89,0.056,0.048,2016-10-26,86,25,59,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,581.89,0.056,0.048,2020-12-17,86,88,64,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,578.75,0.056,0.013,2015-07-22,23,50,54,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,581.74,0.056,0.046,2018-10-04,82,98,75,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,579.85,0.056,0.024,2017-06-08,43,43,29,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.06,0.056,0.026,2021-03-25,46,88,57,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.31,0.056,0.041,2020-02-06,73,55,59,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,582.47,0.056,0.056,2017-08-30,100,100,70,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.0,0.056,0.025,2023-10-25,45.0,96.0,75.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.04,0.056,0.037,2016-05-11,66,73,34,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,579.97,0.056,0.025,2018-05-31,45,36,36,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.31,0.056,0.029,2016-12-21,52,41,54,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,579.88,0.056,0.024,2021-11-25,43.0,71.0,73.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,579.21,0.056,0.017,2022-06-09,30.0,43.0,39.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,582.47,0.056,0.056,2022-08-18,100.0,70.0,82.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,579.73,0.056,0.022,2021-11-18,39.0,71.0,75.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,582.47,0.056,0.056,2022-08-25,100.0,45.0,77.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.22,0.056,0.028,2023-09-06,50.0,95.0,84.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,579.06,0.056,0.015,2018-05-23,27,25,36,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,579.3,0.056,0.018,2020-07-23,32,68,68,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.31,0.056,0.041,2015-12-02,73,84,55,78,8,18.4372365,73.7651846
KHADAKVASLA,580.,8.0,0.056,0.037,2022-11-10,66.0,36.0,68.0,78,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.34,0.056,0.029,2021-01-21,52,95,68,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,582.47,0.056,0.056,2021-08-05,100,50,89,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.22,0.056,0.028,2015-12-17,50,71,54,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.0,0.056,0.025,2021-03-18,45,82,61,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.99,0.056,0.049,2017-08-23,88,100,68,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,581.35,0.056,0.041,2018-10-11,73,96,75,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.58,0.056,0.032,2023-05-04,57.0,41.0,59.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.58,0.056,0.032,2024-01-04,57.0,57.0,61.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.56,0.056,0.044,2016-07-27,79,36,64,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,582.29,0.056,0.053,2016-07-13,95,21,39,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,582.47,0.056,0.056,2020-09-24,100,91,80,78,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.37,0.056,0.029,2020-07-09,52,77,43,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.86,0.056,0.035,2016-02-17,63,61,48,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.58,0.056,0.032,2023-10-19,57.0,100.0,73.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.07,0.056,0.038,2016-05-04,68,75,32,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.37,0.056,0.029,2019-04-04,52,61,50,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,578.27,0.056,0.008,2022-06-23,14.0,59.0,29.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.25,0.056,0.04,2016-12-07,71,66,59,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.37,0.056,0.029,2019-04-04,52,61,50,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.31,0.056,0.029,2021-06-17,52,59,27,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,579.88,0.056,0.024,2021-06-03,43,36,43,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.56,0.056,0.044,2017-04-26,79,48,38,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.37,0.056,0.029,2016-02-24,52,63,41,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,581.8,0.056,0.047,2021-08-12,84,98,91,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.37,0.056,0.029,2024-03-14,52.0,50.0,64.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.52,0.056,0.031,2024-03-28,55.0,52.0,59.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,578.08,0.056,0.007,2017-06-21,13,14,20,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,581.5,0.056,0.043,2023-12-20,77.0,63.0,59.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.16,0.056,0.027,2024-01-11,48.0,68.0,64.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.58,0.056,0.032,2023-05-11,57.0,38.0,54.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,580.03,0.056,0.026,2015-07-08,46,38,45,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,579.36,0.056,0.019,2015-09-29,34,88,82,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.52,0.056,0.031,2019-01-24,55,73,59,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,582.47,0.056,0.056,2019-08-14,100,100,75,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,581.53,0.056,0.043,2017-11-01,77,77,59,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,581.8,0.056,0.047,2017-11-15,84,77,63,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,579.55,0.056,0.02,2022-03-17,36.0,45.0,64.0,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,581.89,0.056,0.048,2019-11-21,86,71,68,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,578.97,0.056,0.015,2020-05-21,27,30,41,78.0,8.0,18.4372365,73.7651846
KHADAKVASLA,582.47,584.63,0.056,0.056,2015-10-28,100,71,66,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,578.97,0.056,0.015,2015-10-14,27,68,79,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.1,0.056,0.026,2018-12-13,46,77,66,78,8,18.4372365,73.7651846
KHADAKVASLA,582.47,580.46,0.056,0.03,2024-04-25,54.0,54.0,57.0,78.0,8.0,18.4372365,73.7651846
