NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KHANDONG,725.0,722.4,0.18,0.14,2023-10-26,78.0,20.0,59.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,719.3,0.18,0.1,2023-09-06,56.0,6.0,51.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,716.15,0.18,0.067,2024-01-04,37.0,0.0,26.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,722.4,0.18,0.14,2023-10-19,78.0,6.0,54.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,710.05,0.18,0.022,2024-03-14,12.0,0.0,12.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,711.1,0.18,0.028,2024-03-28,16.0,10.0,13.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,718.35,0.18,0.089,2023-12-21,49.0,0.0,33.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,714.8,0.18,0.055,2024-01-11,31.0,0.0,22.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,707.4,0.18,0.01,2024-04-24,6.0,22.0,30.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,722.15,0.18,0.136,2023-09-29,76.0,4.0,52.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,720.9,0.18,0.119,2023-09-14,66.0,7.0,52.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,706.7,0.18,0.007,2024-04-18,4.0,21.0,29.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,710.95,0.18,0.027,2024-03-07,15.0,0.0,12.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,719.7,0.18,0.105,2023-08-31,58.0,0.0,48.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,709.2,0.18,0.018,2024-02-08,10.0,0.0,13.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,710.35,0.18,0.024,2024-02-22,13.0,0.0,13.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,719.35,0.18,0.1,2024-05-16,56.0,28.0,42.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,713.55,0.18,0.045,2024-05-02,25.0,25.0,32.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,722.1,0.18,0.136,2023-11-02,76.0,8.0,54.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,720.95,0.18,0.12,2023-11-16,67.0,0.0,48.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,720.35,0.18,0.112,2024-05-09,62.0,27.0,33.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,720.4,0.18,0.113,2023-11-30,63.0,0.0,41.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,711.25,0.18,0.029,2024-02-29,16.0,0.0,12.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,709.75,0.18,0.02,2024-02-15,11.0,0.0,14.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,709.15,0.18,0.017,2024-02-01,9.0,0.0,14.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,720.95,0.18,0.12,2023-11-16,67.0,0.0,48.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,728.35,0.18,0.18,2024-05-30,100.0,38.0,39.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,718.7,0.18,0.093,2024-05-24,52.0,36.0,39.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,721.6,0.18,0.129,2023-11-09,72.0,2.0,54.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,719.45,0.18,0.101,2024-06-13,56.0,46.0,56.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,721.65,0.18,0.129,2023-10-12,72.0,8.0,54.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,720.8,0.18,0.118,2024-06-05,66.0,46.0,49.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,711.3,0.18,0.029,2024-01-25,16.0,0.0,16.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,722.2,0.18,0.137,2023-10-05,76.0,11.0,53.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,710.5,0.18,0.025,2024-03-21,14.0,1.0,12.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,717.35,0.18,0.078,2023-12-28,43.0,0.0,29.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,719.3,0.18,0.1,2023-12-14,56.0,0.0,35.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,713.2,0.18,0.042,2024-01-18,23.0,0.0,19.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,711.4,0.18,0.03,2024-04-04,17.0,14.0,27.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,721.6,0.18,0.129,2023-09-21,72.0,4.0,51.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,719.65,0.18,0.104,2023-12-07,58.0,0.0,38.0,0.0,75.0,25.523157,92.6523398
KHANDONG,725.0,709.3,0.18,0.018,2024-04-12,10.0,19.0,22.0,0.0,75.0,25.523157,92.6523398
