NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KOLAR DAM,462.2,458.2,0.27,0.191,2020-12-17,71,81,47,25.68,0.0,,
KOLAR DAM,462.2,451.95,0.27,0.113,2021-03-25,42,47,23,25.68,0.0,,
KOLAR DAM,462.2,455.16,0.27,0.151,2020-02-06,56,16,26,25.677,0.0,,
KOLAR DAM,462.2,460.57,0.27,0.229,2023-10-26,85.0,99.0,72.0,25.68,0.0,,
KOLAR DAM,462.2,457.99,0.27,0.188,2021-11-25,70.0,80.0,62.0,25.677,0.0,,
KOLAR DAM,462.2,449.11,0.27,0.082,2022-06-09,30.0,35.0,21.0,25.677,0.0,,
KOLAR DAM,462.2,460.15,0.27,0.222,2022-08-18,82.0,52.0,57.0,25.677,0.0,,
KOLAR DAM,462.2,458.44,0.27,0.195,2021-11-18,72.0,83.0,65.0,25.677,0.0,,
KOLAR DAM,462.2,461.61,0.27,0.251,2022-08-25,93.0,56.0,64.0,25.677,0.0,,
KOLAR DAM,462.2,457.96,0.27,0.188,2023-09-06,70.0,97.0,71.0,25.68,0.0,,
KOLAR DAM,462.2,452.2,0.27,0.116,2020-07-23,43,10,27,25.677,0.0,,
KOLAR DAM,462.20,461.87,0.27,0.257,2022-11-10,5.0,76.0,67.0,25.677,0.0,,
KOLAR DAM,462.2,454.79,0.27,0.147,2021-01-21,54,63,34,25.68,0.0,,
KOLAR DAM,462.2,452.73,0.27,0.122,2021-08-05,45,44,44,25.68,0.0,,
KOLAR DAM,462.2,452.09,0.27,0.114,2021-03-18,42,47,24,25.68,0.0,,
KOLAR DAM,462.2,452.57,0.27,0.12,2023-05-04,44.0,33.0,23.0,25.68,0.0,,
KOLAR DAM,462.2,456.7,0.27,0.171,2024-01-04,63.0,69.0,40.0,25.68,0.0,,
KOLAR DAM,462.2,462.12,0.27,0.263,2020-09-24,97,95,71,26,0.0,,
KOLAR DAM,462.2,452.25,0.27,0.116,2020-07-09,43,10,18,25.68,0.0,,
