NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KOL DAM,642.0,641.61,0.089,0.083,2020-12-17,93,92,94,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,636.79,0.089,0.012,2021-03-25,13,91,54,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.53,0.089,0.082,2020-02-06,92,97,69,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.26,0.089,0.078,2023-10-26,88.0,88.0,90.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.28,0.089,0.078,2021-11-25,88.0,93.0,92.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.13,0.089,0.017,2022-06-09,19.0,17.0,35.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.4,0.089,0.021,2022-08-18,24.0,34.0,56.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.72,0.089,0.084,2021-11-18,94.0,92.0,91.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.1,0.089,0.061,2022-08-25,69.0,44.0,52.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.77,0.089,0.07,2023-09-06,79.0,62.0,53.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,638.63,0.089,0.039,2020-07-22,44,73,60,0.0,800.0,31.3826712,76.8815127
KOL DAM,642,641.16,0.08,0.076,2022-11-10,85.0,87.0,1.0,0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.08,0.089,0.06,2021-01-21,67,92,83,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.58,0.089,0.023,2021-08-05,26,61,53,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,636.87,0.089,0.013,2021-03-18,15,90,57,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.27,0.089,0.078,2023-05-04,88.0,84.0,55.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.2,0.089,0.077,2024-01-04,87.0,89.0,88.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.91,0.089,0.072,2020-09-24,81,74,82,0,800.0,31.3826712,76.8815127
KOL DAM,642.0,638.51,0.089,0.037,2020-07-09,42,73,56,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.12,0.089,0.076,2023-10-19,85.0,83.0,87.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.45,0.089,0.021,2022-06-23,24.0,16.0,34.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.8,0.089,0.027,2021-06-16,30,63,36,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.32,0.089,0.02,2021-06-03,22,10,33,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,639.75,0.089,0.055,2021-08-12,62,33,40,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.27,0.089,0.078,2024-03-14,88.0,85.0,62.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.25,0.089,0.078,2024-03-28,88.0,80.0,58.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.34,0.089,0.079,2023-12-21,89.0,91.0,92.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.38,0.089,0.079,2024-01-11,89.0,90.0,87.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.65,0.089,0.069,2023-05-11,78.0,76.0,44.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.9,0.089,0.072,2022-03-17,81.0,16.0,51.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.44,0.089,0.08,2019-11-20,90,94,88,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,638.37,0.089,0.035,2020-05-21,39,73,47,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.87,0.089,0.072,2024-04-25,81.0,75.0,56.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,638.44,0.089,0.036,2020-07-30,40,73,53,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.05,0.089,0.075,2022-11-17,84.0,92.0,92.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.08,0.08,0.075,2022-11-03,84.0,88.0,0.0,0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.0,0.089,0.074,2023-09-29,83.0,72.0,76.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.27,0.089,0.078,2022-01-06,88.0,81.0,87.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.56,0.089,0.082,2022-01-13,92.0,75.0,83.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.64,0.089,0.083,2020-10-01,93,54,78,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.02,0.089,0.074,2023-09-14,83.0,65.0,69.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.38,0.089,0.079,2020-10-15,89,87,88,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.78,0.089,0.085,2020-10-29,96,91,90,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.78,0.089,0.026,2021-05-27,29,24,37,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.13,0.089,0.076,2024-04-18,85.0,89.0,62.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.88,0.089,0.072,2023-02-09,81.0,90.0,71.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.24,0.089,0.073,2023-02-23,82.0,82.0,69.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.45,0.089,0.021,2021-04-15,24,73,55,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.27,0.089,0.019,2021-04-01,21,85,57,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.63,0.089,0.024,2021-04-29,27,64,51,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.23,0.089,0.077,2024-03-07,87.0,78.0,62.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.44,0.089,0.021,2021-06-10,24,17,37,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.49,0.089,0.022,2023-07-13,25.0,39.0,43.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.28,0.089,0.019,2022-06-30,21.0,24.0,36.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,639.63,0.089,0.054,2023-07-06,61.0,53.0,55.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,637.86,0.089,0.027,2021-07-22,30,44,56,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,638.71,0.089,0.04,2023-08-24,45.0,62.0,52.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,639.78,0.089,0.056,2019-09-19,63,70,78,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.56,0.089,0.067,2019-10-08,75,84,87,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.4,0.089,0.08,2020-03-19,90,49,49,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.42,0.089,0.08,2022-12-22,90.0,90.0,92.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.27,0.089,0.078,2021-12-16,88.0,92.0,94.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,641.24,0.089,0.077,2021-12-02,87.0,94.0,96.0,0.0,800.0,31.3826712,76.8815127
KOL DAM,642.0,640.47,0.089,0.066,2022-05-12,74.0,29.0,30.0,0.0,800.0,31.3826712,76.8815127
