NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KONAR,425.81,425.0,0.176,0.161,2020-12-17,91,95,82,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.51,0.176,0.12,2021-03-25,68,89,59,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.73,0.176,0.174,2023-10-26,99.0,100.0,94.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.84,0.176,0.176,2021-11-24,100.0,96.0,90.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,416.91,0.176,0.047,2022-06-09,27.0,40.0,32.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,415.53,0.176,0.034,2022-08-18,19.0,73.0,64.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.87,0.176,0.176,2021-11-18,100.0,97.0,91.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.55,0.176,0.065,2022-08-25,37.0,69.0,68.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.11,0.176,0.06,2023-09-05,34.0,52.0,73.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,419.56,0.176,0.077,2020-07-22,44,16,43,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.88,0.176,0.176,2022-11-10,100.0,100.0,2.0,0,0.0,23.8836171,85.7962407
KONAR,425.81,424.22,0.176,0.148,2021-01-21,84,93,76,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,423.18,0.176,0.13,2021-08-05,74,70,57,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.71,0.176,0.123,2021-03-18,70,93,61,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.81,0.176,0.094,2023-05-04,53.0,52.0,46.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,424.22,0.176,0.148,2024-01-04,84.0,90.0,84.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.75,0.176,0.174,2020-09-24,99,41,80,0,0.0,23.8836171,85.7962407
KONAR,425.81,425.93,0.176,0.175,2023-10-19,99.0,100.0,93.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,415.53,0.176,0.034,2022-06-23,19.0,47.0,31.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.72,0.176,0.067,2021-06-17,38,22,28,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.81,0.176,0.094,2021-06-03,53,26,32,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,423.0,0.176,0.127,2021-08-12,72,72,63,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.03,0.176,0.112,2024-03-14,64.0,70.0,64.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,421.43,0.176,0.104,2024-03-28,59.0,68.0,59.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,424.57,0.176,0.154,2023-12-21,88.0,92.0,86.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,424.05,0.176,0.144,2024-01-11,82.0,88.0,82.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.44,0.176,0.089,2023-05-11,51.0,48.0,45.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,423.34,0.176,0.133,2022-03-17,76.0,70.0,68.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.49,0.176,0.17,2019-11-21,97,76,85,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.23,0.176,0.086,2024-04-25,49.0,57.0,47.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.85,0.176,0.095,2020-07-30,54,20,47,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.76,0.176,0.175,2022-11-17,99.0,100.0,91.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.0,0.176,0.176,2022-11-02,100.0,100.0,1.0,0,0.0,23.8836171,85.7962407
KONAR,425.81,421.46,0.176,0.104,2023-09-29,59.0,94.0,89.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.3,0.176,0.167,2022-01-05,95.0,88.0,83.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.21,0.176,0.165,2022-01-11,94.0,86.0,84.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.78,0.176,0.174,2020-10-01,99,76,84,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.43,0.176,0.063,2023-09-14,36.0,65.0,78.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.88,0.176,0.176,2020-10-15,100,86,88,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.85,0.176,0.176,2020-10-28,100,95,86,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,419.68,0.176,0.078,2021-05-27,44,32,35,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.56,0.176,0.091,2024-04-18,52.0,61.0,49.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,423.87,0.176,0.142,2023-02-09,81.0,89.0,75.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,423.43,0.176,0.134,2023-02-23,76.0,86.0,70.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,421.94,0.176,0.111,2021-04-13,63,74,52,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.32,0.176,0.117,2021-04-01,66,82,56,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,421.42,0.176,0.103,2021-04-29,59,57,46,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.27,0.176,0.116,2024-03-07,66.0,72.0,64.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.76,0.176,0.067,2021-06-10,38,19,30,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.03,0.176,0.058,2023-07-13,33.0,16.0,36.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,415.14,0.176,0.031,2022-06-30,18.0,35.0,30.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,417.88,0.176,0.057,2023-07-06,32.0,18.0,32.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.14,0.176,0.084,2021-07-22,48,44,44,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,417.61,0.176,0.054,2023-08-24,31.0,34.0,64.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,424.19,0.176,0.147,2019-10-10,84,83,88,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.03,0.176,0.162,2022-12-22,92.0,95.0,85.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.46,0.176,0.17,2021-12-15,97.0,92.0,87.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.68,0.176,0.174,2021-12-02,99.0,95.0,89.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.06,0.176,0.083,2022-05-12,47.0,56.0,44.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.93,0.176,0.069,2023-06-08,39.0,28.0,32.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,426.02,0.176,0.176,2021-10-07,100,100,91,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.23,0.176,0.061,2023-08-31,35.0,39.0,69.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,426.08,0.176,0.176,2022-10-27,100.0,100.0,2,0,0.0,23.8836171,85.7962407
KONAR,425.81,425.23,0.176,0.165,2020-01-09,94,68,76,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,423.31,0.176,0.132,2024-02-08,75.0,81.0,74.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.85,0.176,0.125,2024-02-21,71.0,77.0,71.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.93,0.176,0.126,2020-08-12,72,27,59,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,426.08,0.176,0.176,2021-09-30,100,99,89,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.1,0.176,0.163,2020-01-23,93,66,73,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.06,0.176,0.059,2023-06-22,34.0,19.0,31.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.39,0.176,0.168,2020-11-26,95,97,86,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,421.17,0.176,0.099,2023-04-27,56.0,56.0,50.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,425.39,0.176,0.169,2022-12-08,96.0,98.0,88.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,423.79,0.176,0.14,2021-02-11,80,91,70,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,424.43,0.176,0.151,2022-02-23,86.0,77.0,70.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,420.62,0.176,0.091,2022-05-04,52.0,57.0,46.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,413.8,0.176,0.021,2022-07-28,12.0,51.0,48.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,414.59,0.176,0.027,2022-07-14,15.0,47.0,36.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,422.06,0.176,0.113,2020-08-03,64,21,52,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,418.55,0.176,0.064,2021-07-08,36,30,35,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,419.34,0.176,0.074,2024-05-16,42.0,48.0,40.0,0.0,0.0,23.8836171,85.7962407
KONAR,425.81,419.94,0.176,0.082,2024-05-01,47.0,55.0,46.0,0.0,0.0,23.8836171,85.7962407
