NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KOYANA,657.9,658.65,2.652,2.595,2016-10-26,98,70,95,-,1920,,
KOYANA,657.9,657.33,2.652,2.583,2020-12-17,97,96,84,0.0,1920.0,,
KOYANA,657.9,644.47,2.652,1.305,2015-07-22,49,26,60,-,1920,,
KOYANA,657.9,657.35,2.652,2.586,2018-10-04,98,100,97,-,1920,,
KOYANA,657.9,624.66,2.652,0.206,2017-06-08,8,3,24,-,1920,,
KOYANA,657.9,647.9,2.652,1.731,2021-03-25,65,68,55,0.0,1920.0,,
KOYANA,657.9,653.16,2.652,2.165,2020-02-06,82,76,71,0.0,1920.0,,
KOYANA,657.9,657.81,2.652,2.495,2017-08-30,94,99,95,-,1920,,
KOYANA,657.9,655.63,2.652,2.38,2023-10-26,90.0,100.0,95.0,0.0,1920.0,,
KOYANA,657.9,627.74,2.652,0.327,2016-05-11,12,36,36,-,1920,,
KOYANA,657.9,632.84,2.652,0.701,2018-05-31,26,9,24,-,1920,,
KOYANA,657.9,653.06,2.652,2.011,2016-12-21,76,57,84,-,1920,,
KOYANA,657.9,656.39,2.652,2.471,2021-11-25,93.0,100.0,90.0,0.0,1920.0,,
KOYANA,657.9,625.15,2.652,0.369,2022-06-09,14.0,24.0,19.0,0.0,1920.0,,
KOYANA,657.9,657.5,2.652,2.604,2022-08-18,98.0,93.0,92.0,0.0,1920.0,,
KOYANA,657.9,656.54,2.652,2.489,2021-11-18,94.0,100.0,91.0,0.0,1920.0,,
KOYANA,657.9,657.89,2.652,2.649,2022-08-25,100.0,95.0,94.0,0.0,1920.0,,
KOYANA,657.9,654.48,2.652,2.275,2023-09-06,86.0,100.0,97.0,0.0,1920.0,,
KOYANA,657.9,634.37,2.652,0.777,2018-05-23,29,13,27,-,1920,,
KOYANA,657.9,642.24,2.652,1.268,2020-07-23,48,49,58,0.0,1920.0,,
KOYANA,657.9,648.39,2.652,1.625,2015-12-02,61,91,91,-,1920,,
KOYANA,65,0.0,2.652,2.652,2022-11-10,100.0,5.0,3.0,0,1.0,,
KOYANA,657.9,654.66,2.652,2.289,2021-01-20,86,86,75,0.0,1920.0,,
