NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
KRISHNARAJA SAGARA,752.5,739.06,1.163,0.19,2016-10-26,16,56,86,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,750.95,1.163,1.085,2020-12-17,93,100,69,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,747.94,1.163,0.769,2015-07-22,66,50,58,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,752.35,1.163,1.163,2018-10-03,100,66,76,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,735.12,1.163,0.055,2017-06-07,5,12,9,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,745.8,1.163,0.586,2021-03-25,50,60,33,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,749.85,1.163,0.96,2020-02-06,83,65,54,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,744.3,1.163,0.476,2017-08-31,41,32,78,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,744.79,1.163,0.398,2023-10-26,34.0,100.0,84.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,738.68,1.163,0.174,2016-05-10,15,21,17,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,737.26,1.163,0.121,2018-05-31,10,5,11,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,738.62,1.163,0.172,2016-12-22,15,60,72,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,752.5,1.163,1.163,2021-11-25,100.0,100.0,75.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,746.58,1.163,0.537,2022-06-09,46.0,20.0,12.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,752.1,1.163,1.111,2022-08-18,96.0,95.0,76.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,752.5,1.163,1.163,2021-11-18,100.0,100.0,77.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,752.5,1.163,1.163,2022-08-25,100.0,94.0,75.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,744.51,1.163,0.378,2023-09-06,33.0,100.0,81.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,735.66,1.163,0.07,2018-05-22,6,5,14,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,747.29,1.163,0.711,2020-07-23,61,25,48,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,747.87,1.163,0.763,2015-12-02,66,94,81,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.50,752.27,1.163,1.134,2022-11-10,8.0,100.0,7.0,7,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,750.16,1.163,0.994,2021-01-20,85,92,60,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,749.72,1.163,0.947,2021-08-05,81,60,58,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,747.55,1.163,0.734,2015-12-16,63,90,76,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,746.67,1.163,0.657,2021-03-18,56,65,37,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,742.2,1.163,0.344,2017-08-23,30,38,78,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,752.5,1.163,1.163,2018-10-10,100,70,75,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,740.6,1.163,0.149,2023-05-04,13.0,34.0,20.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,743.91,1.163,0.337,2024-01-04,29.0,80.0,72.0,79.0,0.0,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,744.79,1.163,0.51,2016-07-26,44,64,66,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,743.29,1.163,0.41,2016-07-13,35,64,45,79,-,12.4726381,76.4773086532637
KRISHNARAJA SAGARA,752.5,752.07,1.163,1.163,2020-09-24,100,100,79,79,0.0,12.4726381,76.4773086532637
