NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
LINGANAMAKKI,554.43,547.42,4.294,2.446,2016-10-25,57,53,86,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,551.96,4.294,3.563,2020-12-17,83,87,73,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,542.89,4.294,1.603,2015-07-23,37,34,45,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,553.52,4.294,4.014,2018-10-04,93,61,79,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,531.11,4.294,0.357,2017-06-07,8,16,14,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,547.01,4.294,2.357,2021-03-25,55,50,37,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,549.84,4.294,3.009,2020-02-06,70,56,54,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,546.75,4.294,2.305,2017-08-31,54,53,76,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,544.43,4.294,1.862,2023-10-26,43.0,88.0,85.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,537.53,4.294,0.896,2016-05-12,21,19,21,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,534.48,4.294,0.605,2018-05-31,14,9,15,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,546.05,4.294,2.165,2016-12-19,50,52,74,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,552.62,4.294,3.753,2021-11-25,87.0,87.0,76.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,534.21,4.294,0.582,2022-06-09,14.0,32.0,15.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,552.56,4.294,3.735,2022-08-18,87.0,86.0,72.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,552.79,4.294,3.799,2021-11-18,88.0,89.0,78.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,552.95,4.294,3.846,2022-08-25,90.0,87.0,72.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,544.83,4.294,1.934,2023-09-06,45.0,91.0,78.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,535.14,4.294,0.661,2018-05-24,15,10,17,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,539.77,4.294,1.157,2020-07-23,27,25,39,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,546.51,4.294,2.256,2015-12-03,53,80,82,-,55,14.1731954,74.8292508
LINGANAMAKKI,552.04,4.2,4.0,3.585,2022-11-10,83.0,8.0,7.0,0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,550.45,4.294,3.16,2021-01-21,74,76,60,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,551.16,4.294,3.457,2021-08-05,81,33,53,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,546.37,4.294,2.229,2015-12-17,52,76,78,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,547.45,4.294,2.453,2021-03-18,57,52,39,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,545.1,4.294,1.984,2017-08-24,46,51,70,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,553.41,4.294,3.981,2018-10-11,93,62,82,-,55,14.1731954,74.8292508
LINGANAMAKKI,554.43,536.97,4.294,0.837,2023-05-03,19.0,26.0,24.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,542.44,4.294,1.53,2024-01-04,36.0,65.0,66.0,0.0,55.0,14.1731954,74.8292508
LINGANAMAKKI,554.43,542.62,4.294,1.558,2016-07-28,36,39,51,-,55,14.1731954,74.8292508
