NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
LOWER BHAWANI,278.89,264.47,0.792,0.145,2016-10-26,18,24,56,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,277.36,0.792,0.707,2020-12-17,89,100,55,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,274.65,0.792,0.542,2015-07-22,68,25,55,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,279.02,0.792,0.792,2018-10-03,100,60,44,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,260.69,0.792,0.071,2017-06-08,9,7,29,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,276.84,0.792,0.673,2021-03-25,85,82,29,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,279.54,0.792,0.792,2020-02-06,100,66,37,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,266.75,0.792,0.207,2017-08-31,26,21,55,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,268.73,0.792,0.272,2023-10-26,34.0,100.0,68.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,257.99,0.792,0.037,2016-05-12,5,20,34,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,264.64,0.792,0.149,2018-05-31,19,9,25,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,262.5,0.792,0.102,2016-12-22,13,54,65,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,280.11,0.792,0.792,2021-11-25,100.0,91.0,59.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,273.68,0.792,0.489,2022-06-09,62.0,75.0,25.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,279.5,0.792,0.792,2022-08-18,100.0,100.0,62.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,280.18,0.792,0.792,2021-11-18,100.0,91.0,58.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,279.5,0.792,0.792,2022-08-25,100.0,100.0,61.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,272.06,0.792,0.409,2023-09-06,52.0,100.0,70.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,263.68,0.792,0.126,2018-05-23,16,9,24,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,274.17,0.792,0.516,2020-07-23,65,26,40,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,271.87,0.792,0.4,2015-12-02,51,69,75,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,278.24,0.792,0.767,2021-01-20,97,100,45,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,278.98,0.792,0.792,2021-08-05,100,73,48,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,272.55,0.792,0.432,2015-12-17,55,66,70,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,276.98,0.792,0.683,2021-03-18,86,84,31,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,265.31,0.792,0.166,2017-08-23,21,23,58,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,279.5,0.792,0.792,2018-10-10,100,58,43,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,273.59,0.792,0.485,2023-05-04,61.0,57.0,27.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,273.56,0.792,0.483,2024-01-04,61.0,100.0,65.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,266.72,0.792,0.206,2016-07-28,26,69,59,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,265.65,0.792,0.176,2016-07-13,22,67,52,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,279.47,0.792,0.792,2020-09-24,100,92,53,105,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,273.46,0.792,0.478,2020-07-09,60,24,32,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,268.23,0.792,0.255,2016-02-18,32,42,52,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,269.32,0.792,0.294,2023-10-19,37.0,100.0,68.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,257.9,0.792,0.036,2016-05-05,5,17,34,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,267.96,0.792,0.245,2019-04-08,31,20,23,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,273.54,0.792,0.482,2022-06-22,61.0,84.0,30.0,105.0,8.0,27.709805,85.6071765
LOWER BHAWANI,278.89,262.24,0.792,0.097,2016-12-08,12,54,69,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,268.39,0.792,0.26,2019-04-03,33,19,24,105,8,27.709805,85.6071765
LOWER BHAWANI,278.89,275.58,0.792,0.596,2021-06-16,75,56,25,105.0,8.0,27.709805,85.6071765
