NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
LOWER MANAIR,280.42,279.78,0.621,0.621,2016-10-27,100,18,61,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,279.94,0.621,0.621,2020-12-17,100,85,64,199.0,60.0,18.3996537,79.1310126
LOWER MANAIR,280.42,269.46,0.621,0.118,2015-07-23,19,42,25,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,272.89,0.621,0.229,2018-10-04,37,33,60,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,272.43,0.621,0.211,2017-06-08,34,11,23,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,277.61,0.621,0.476,2021-03-25,77,40,38,199.0,60.0,18.3996537,79.1310126
LOWER MANAIR,280.42,274.08,0.621,0.28,2020-02-06,45,45,51,199.0,60.0,18.3996537,79.1310126
LOWER MANAIR,280.42,272.31,0.621,0.206,2017-08-31,33,22,43,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,279.08,0.621,0.577,2023-10-26,93.0,100.0,68.0,199.0,60.0,18.3996537,79.1310126
LOWER MANAIR,280.42,267.61,0.621,0.075,2016-05-12,12,21,26,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,268.93,0.621,0.103,2018-05-31,17,35,23,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,279.03,0.621,0.574,2016-12-22,92,16,66,199,60,18.3996537,79.1310126
LOWER MANAIR,280.42,279.94,0.621,0.621,2021-11-25,100.0,100.0,65.0,199.0,60.0,18.3996537,79.1310126
LOWER MANAIR,280.42,273.86,0.621,0.27,2022-06-09,43.0,47.0,27.0,199.0,60.0,18.3996537,79.1310126
LOWER MANAIR,280.42,279.04,0.621,0.575,2022-08-18,93.0,91.0,47.0,199.0,60.0,18.3996537,79.1310126
LOWER MANAIR,280.42,279.85,0.621,0.621,2021-11-18,100.0,100.0,61.0,199.0,60.0,18.3996537,79.1310126
