NAME OF RESERVOIR,FRL (m),RESERVOIR LEVEL (m),LIVE CAPACITY AT FRL (BCM),CURRENT LIVE STORAGE (BCM),DATE,CURRENT YEAR,LAST YEAR,LAST 10 YEARS AVERAGE,IRR. (CCA) IN TH. HA,HYDEL IN MW,Latitude,Longitude
MACHCHHU-I,135.33,134.7,0.071,0.055,2020-12-16,77,92,46,0.0,0.0,,
MACHCHHU-I,135.33,129.91,0.071,0.019,2021-03-24,27,38,21,0.0,0.0,,
MACHCHHU-I,135.33,133.95,0.071,0.046,2020-02-06,65,11,21,0.0,0.0,,
MACHCHHU-I,135.33,134.99,0.071,0.06,2023-10-26,85.0,85.0,63.0,0.0,0.0,,
MACHCHHU-I,135.33,135.12,0.071,0.064,2021-11-24,90.0,92.0,70.0,0.0,0.0,,
MACHCHHU-I,135.33,128.72,0.071,0.014,2022-06-09,20.0,15.0,14.0,0.0,0.0,,
MACHCHHU-I,135.33,131.86,0.071,0.03,2022-08-17,42.0,17.0,35.0,0.0,0.0,,
MACHCHHU-I,135.33,135.19,0.071,0.065,2021-11-17,92.0,94.0,73.0,0.0,0.0,,
MACHCHHU-I,135.33,133.11,0.071,0.039,2022-08-25,55.0,17.0,39.0,0.0,0.0,,
MACHCHHU-I,135.33,135.04,0.071,0.062,2023-09-06,87.0,65.0,41.0,0.0,0.0,,
MACHCHHU-I,135.33,130.75,0.071,0.023,2020-07-23,32,11,28,0.0,0.0,,
MACHCHHU-I,135.33,133.32,0.071,0.041,2021-01-21,58,70,48,0.0,0.0,,
MACHCHHU-I,135.33,128.44,0.071,0.013,2021-08-05,18,31,35,0.0,0.0,,
MACHCHHU-I,135.33,130.06,0.071,0.02,2021-03-18,28,42,23,0.0,0.0,,
MACHCHHU-I,135.33,127.92,0.071,0.011,2023-05-04,15.0,25.0,20.0,0.0,0.0,,
MACHCHHU-I,135.33,132.46,0.071,0.034,2024-01-04,48.0,54.0,56.0,0.0,0.0,,
MACHCHHU-I,135.33,135.33,0.071,0.069,2020-09-24,97,97,49,0,0.0,,
MACHCHHU-I,135.33,129.95,0.071,0.019,2020-07-09,27,14,13,0.0,0.0,,
MACHCHHU-I,135.33,135.04,0.071,0.062,2023-10-19,87.0,90.0,65.0,0.0,0.0,,
MACHCHHU-I,135.33,128.51,0.071,0.013,2022-06-23,18.0,15.0,13.0,0.0,0.0,,
MACHCHHU-I,135.33,127.94,0.071,0.011,2021-06-17,15,21,13,0.0,0.0,,
MACHCHHU-I,135.33,128.17,0.071,0.012,2021-06-03,17,21,14,0.0,0.0,,
MACHCHHU-I,135.33,128.4,0.071,0.013,2021-08-12,18,42,42,0.0,0.0,,
MACHCHHU-I,135.33,129.65,0.071,0.018,2024-03-13,25.0,21.0,27.0,0.0,0.0,,
MACHCHHU-I,135.33,129.25,0.071,0.016,2024-03-28,23.0,20.0,24.0,0.0,0.0,,
MACHCHHU-I,135.33,133.15,0.071,0.037,2023-12-21,52.0,62.0,62.0,0.0,0.0,,
MACHCHHU-I,135.33,132.17,0.071,0.032,2024-01-10,45.0,49.0,56.0,0.0,0.0,,
MACHCHHU-I,135.33,128.5,0.071,0.013,2023-05-10,18.0,24.0,20.0,0.0,0.0,,
MACHCHHU-I,135.33,135.33,0.071,0.069,2019-08-14,97,17,39,-,0,,
MACHCHHU-I,135.33,130.85,0.071,0.024,2022-03-15,34.0,30.0,25.0,0.0,0.0,,
MACHCHHU-I,135.33,135.31,0.071,0.069,2019-11-21,97,15,34,0.0,0.0,,
MACHCHHU-I,135.33,129.0,0.071,0.017,2020-05-21,24,14,15,0.0,0.0,,
MACHCHHU-I,135.33,128.43,0.071,0.013,2024-04-24,18.0,15.0,20.0,0.0,0.0,,
MACHCHHU-I,135.33,130.67,0.071,0.023,2020-07-30,32,20,34,0.0,0.0,,
MACHCHHU-I,135.33,134.77,0.071,0.056,2022-11-17,79.0,92.0,76.0,0.0,0.0,,
MACHCHHU-I,134.0,3.0,0.071,0.05,2022-11-03,83.0,6.0,66.0,0,0.0,,
MACHCHHU-I,135.33,135.0,0.071,0.061,2023-09-29,86.0,96.0,62.0,0.0,0.0,,
MACHCHHU-I,135.33,133.85,0.071,0.045,2022-01-05,63.0,63.0,54.0,0.0,0.0,,
MACHCHHU-I,135.33,133.64,0.071,0.043,2022-01-12,61.0,61.0,42.0,0.0,0.0,,
MACHCHHU-I,135.33,135.33,0.071,0.069,2020-10-01,97,97,58,0.0,0.0,,
MACHCHHU-I,135.33,134.94,0.071,0.06,2023-09-14,85.0,80.0,51.0,0.0,0.0,,
MACHCHHU-I,135.33,135.31,0.071,0.068,2020-10-15,96,97,58,0.0,0.0,,
MACHCHHU-I,135.33,135.33,0.071,0.069,2020-10-29,97,97,56,0.0,0.0,,
MACHCHHU-I,135.33,128.3,0.071,0.012,2021-05-27,17,23,14,0.0,0.0,,
